[1507, 1065]
[ordered-list, [0.0, 44.0, 1059.0, 36.0], shoonya_0sY6DSCDD6J8VM, 5698388]
[ordered-list, [0.0, 80.0, 1059.0, 36.0], shoonya_0sY6DSCDD6J8VM, 5698388]
[ordered-list, [0.0, 116.0, 1059.0, 36.0], shoonya_0sY6DSCDD6J8VM, 5698388]
[ordered-list, [0.0, 152.0, 1059.0, 36.0], shoonya_0sY6DSCDD6J8VM, 5698388]
[ordered-list, [0.0, 188.0, 1059.0, 36.0], shoonya_0sY6DSCDD6J8VM, 5698388]
[ordered-list, [0.0, 224.0, 1059.0, 36.0], shoonya_0sY6DSCDD6J8VM, 5698388]
[ordered-list, [0.0, 260.0, 1059.0, 36.0], shoonya_0sY6DSCDD6J8VM, 5698388]
[ordered-list, [0.0, 296.0, 1059.0, 36.0], shoonya_0sY6DSCDD6J8VM, 5698388]
[ordered-list, [0.0, 332.0, 1059.0, 36.0], shoonya_0sY6DSCDD6J8VM, 5698388]
[ordered-list, [0.0, 368.0, 1059.0, 36.0], shoonya_0sY6DSCDD6J8VM, 5698388]
[ordered-list, [0.0, 404.0, 1059.0, 36.0], shoonya_0sY6DSCDD6J8VM, 5698388]
[ordered-list, [0.0, 440.0, 1059.0, 36.0], shoonya_0sY6DSCDD6J8VM, 5698388]
[ordered-list, [0.0, 476.0, 1059.0, 36.0], shoonya_0sY6DSCDD6J8VM, 5698388]
[ordered-list, [0.0, 512.0, 1059.0, 36.0], shoonya_0sY6DSCDD6J8VM, 5698388]
[ordered-list, [0.0, 548.0, 1059.0, 36.0], shoonya_0sY6DSCDD6J8VM, 5698388]
[ordered-list, [0.0, 584.0, 1059.0, 36.0], shoonya_0sY6DSCDD6J8VM, 5698388]
[ordered-list, [0.0, 620.0, 1059.0, 36.0], shoonya_0sY6DSCDD6J8VM, 5698388]
[ordered-list, [0.0, 656.0, 1059.0, 36.0], shoonya_0sY6DSCDD6J8VM, 5698388]
[ordered-list, [0.0, 692.0, 1059.0, 36.0], shoonya_0sY6DSCDD6J8VM, 5698388]
[ordered-list, [0.0, 728.0, 1059.0, 36.0], shoonya_0sY6DSCDD6J8VM, 5698388]
[ordered-list, [0.0, 764.0, 1059.0, 36.0], shoonya_0sY6DSCDD6J8VM, 5698388]
[ordered-list, [0.0, 800.0, 1059.0, 36.0], shoonya_0sY6DSCDD6J8VM, 5698388]
[ordered-list, [0.0, 836.0, 1059.0, 36.0], shoonya_0sY6DSCDD6J8VM, 5698388]
[ordered-list, [0.0, 872.0, 1059.0, 36.0], shoonya_0sY6DSCDD6J8VM, 5698388]
[ordered-list, [0.0, 908.0, 1059.0, 36.0], shoonya_0sY6DSCDD6J8VM, 5698388]
[ordered-list, [0.0, 944.0, 1059.0, 36.0], shoonya_0sY6DSCDD6J8VM, 5698388]
[ordered-list, [0.0, 980.0, 1059.0, 36.0], shoonya_0sY6DSCDD6J8VM, 5698388]
[ordered-list, [0.0, 1016.0, 1059.0, 36.0], shoonya_0sY6DSCDD6J8VM, 5698388]
[ordered-list, [0.0, 1052.0, 1059.0, 36.0], shoonya_0sY6DSCDD6J8VM, 5698388]
[ordered-list, [0.0, 1088.0, 1059.0, 36.0], shoonya_0sY6DSCDD6J8VM, 5698388]
[ordered-list, [0.0, 1124.0, 1059.0, 36.0], shoonya_0sY6DSCDD6J8VM, 5698388]
[ordered-list, [0.0, 1160.0, 1059.0, 36.0], shoonya_0sY6DSCDD6J8VM, 5698388]
[ordered-list, [0.0, 1196.0, 1059.0, 36.0], shoonya_0sY6DSCDD6J8VM, 5698388]
[ordered-list, [0.0, 1232.0, 1059.0, 36.0], shoonya_0sY6DSCDD6J8VM, 5698388]
[ordered-list, [0.0, 1268.0, 1059.0, 36.0], shoonya_0sY6DSCDD6J8VM, 5698388]
[ordered-list, [0.0, 1304.0, 1059.0, 36.0], shoonya_0sY6DSCDD6J8VM, 5698388]
[ordered-list, [0.0, 1340.0, 1059.0, 36.0], shoonya_0sY6DSCDD6J8VM, 5698388]
[ordered-list, [0.0, 1376.0, 1059.0, 36.0], shoonya_0sY6DSCDD6J8VM, 5698388]
[folio, [1.0, 1468.0, 213.0, 36.0], cp_P9Y2Y9i, 5698388]
