[1806, 1262]
[folio, [460.0, 102.0, 629.0, 36.0], shoonya_0sYR2H8Q5OWE0I, 5681802]
[paragraph, [638.0, 168.0, 530.0, 36.0], MXFPjiCMk5, 5681802]
[paragraph, [638.0, 204.0, 530.0, 36.0], MXFPjiCMk5, 5681802]
[paragraph, [638.0, 240.0, 530.0, 36.0], MXFPjiCMk5, 5681802]
[paragraph, [638.0, 276.0, 530.0, 36.0], MXFPjiCMk5, 5681802]
[paragraph, [638.0, 312.0, 530.0, 36.0], MXFPjiCMk5, 5681802]
[paragraph, [638.0, 348.0, 530.0, 36.0], MXFPjiCMk5, 5681802]
[paragraph, [638.0, 384.0, 530.0, 36.0], MXFPjiCMk5, 5681802]
[paragraph, [638.0, 420.0, 530.0, 36.0], MXFPjiCMk5, 5681802]
[paragraph, [638.0, 456.0, 530.0, 36.0], MXFPjiCMk5, 5681802]
[paragraph, [638.0, 492.0, 530.0, 36.0], MXFPjiCMk5, 5681802]
[paragraph, [638.0, 528.0, 530.0, 36.0], MXFPjiCMk5, 5681802]
[paragraph, [638.0, 564.0, 530.0, 36.0], MXFPjiCMk5, 5681802]
[paragraph, [638.0, 600.0, 530.0, 36.0], MXFPjiCMk5, 5681802]
[paragraph, [638.0, 636.0, 530.0, 36.0], MXFPjiCMk5, 5681802]
[paragraph, [638.0, 672.0, 530.0, 36.0], MXFPjiCMk5, 5681802]
[paragraph, [638.0, 708.0, 530.0, 36.0], MXFPjiCMk5, 5681802]
[paragraph, [638.0, 744.0, 530.0, 36.0], MXFPjiCMk5, 5681802]
[paragraph, [638.0, 780.0, 530.0, 36.0], MXFPjiCMk5, 5681802]
[paragraph, [638.0, 816.0, 530.0, 36.0], MXFPjiCMk5, 5681802]
[paragraph, [638.0, 852.0, 530.0, 36.0], MXFPjiCMk5, 5681802]
[paragraph, [638.0, 888.0, 530.0, 36.0], MXFPjiCMk5, 5681802]
[paragraph, [638.0, 924.0, 530.0, 36.0], MXFPjiCMk5, 5681802]
[paragraph, [638.0, 960.0, 530.0, 36.0], MXFPjiCMk5, 5681802]
[paragraph, [638.0, 996.0, 530.0, 36.0], MXFPjiCMk5, 5681802]
[paragraph, [638.0, 1032.0, 530.0, 36.0], MXFPjiCMk5, 5681802]
[paragraph, [638.0, 1068.0, 530.0, 36.0], MXFPjiCMk5, 5681802]
[paragraph, [99.0, 184.0, 504.0, 36.0], shoonya_3sMYHL8KATVPV9, 5681802]
[paragraph, [99.0, 220.0, 504.0, 36.0], shoonya_3sMYHL8KATVPV9, 5681802]
[paragraph, [98.0, 295.0, 506.0, 36.0], shoonya_4sA5SNND4NR0AD, 5681802]
[paragraph, [98.0, 331.0, 506.0, 36.0], shoonya_4sA5SNND4NR0AD, 5681802]
[paragraph, [98.0, 367.0, 506.0, 36.0], shoonya_4sA5SNND4NR0AD, 5681802]
[paragraph, [98.0, 403.0, 506.0, 36.0], shoonya_4sA5SNND4NR0AD, 5681802]
[quote, [165.0, 474.0, 381.0, 36.0], shoonya_5s6U2X1PANBU59, 5681802]
[quote, [165.0, 510.0, 381.0, 36.0], shoonya_5s6U2X1PANBU59, 5681802]
[quote, [165.0, 546.0, 381.0, 36.0], shoonya_5s6U2X1PANBU59, 5681802]
[quote, [165.0, 582.0, 381.0, 36.0], shoonya_5s6U2X1PANBU59, 5681802]
[quote, [165.0, 618.0, 381.0, 36.0], shoonya_5s6U2X1PANBU59, 5681802]
[quote, [165.0, 654.0, 381.0, 36.0], shoonya_5s6U2X1PANBU59, 5681802]
[quote, [165.0, 690.0, 381.0, 36.0], shoonya_5s6U2X1PANBU59, 5681802]
[quote, [165.0, 726.0, 381.0, 36.0], shoonya_5s6U2X1PANBU59, 5681802]
[quote, [165.0, 762.0, 381.0, 36.0], shoonya_5s6U2X1PANBU59, 5681802]
[quote, [165.0, 798.0, 381.0, 36.0], shoonya_5s6U2X1PANBU59, 5681802]
[quote, [165.0, 834.0, 381.0, 36.0], shoonya_5s6U2X1PANBU59, 5681802]
[quote, [165.0, 870.0, 381.0, 36.0], shoonya_5s6U2X1PANBU59, 5681802]
[quote, [165.0, 906.0, 381.0, 36.0], shoonya_5s6U2X1PANBU59, 5681802]
[quote, [165.0, 942.0, 381.0, 36.0], shoonya_5s6U2X1PANBU59, 5681802]
[quote, [165.0, 978.0, 381.0, 36.0], shoonya_5s6U2X1PANBU59, 5681802]
[quote, [165.0, 1014.0, 381.0, 36.0], shoonya_5s6U2X1PANBU59, 5681802]
[quote, [165.0, 1050.0, 381.0, 36.0], shoonya_5s6U2X1PANBU59, 5681802]
[paragraph, [91.0, 1123.0, 523.0, 36.0], shoonya_6s94D4BFNKYKF9, 5681802]
[paragraph, [91.0, 1159.0, 523.0, 36.0], shoonya_6s94D4BFNKYKF9, 5681802]
[paragraph, [91.0, 1195.0, 523.0, 36.0], shoonya_6s94D4BFNKYKF9, 5681802]
[paragraph, [91.0, 1231.0, 523.0, 36.0], shoonya_6s94D4BFNKYKF9, 5681802]
[paragraph, [91.0, 1267.0, 523.0, 36.0], shoonya_6s94D4BFNKYKF9, 5681802]
[paragraph, [91.0, 1303.0, 523.0, 36.0], shoonya_6s94D4BFNKYKF9, 5681802]
[paragraph, [91.0, 1339.0, 523.0, 36.0], shoonya_6s94D4BFNKYKF9, 5681802]
[paragraph, [91.0, 1375.0, 523.0, 36.0], shoonya_6s94D4BFNKYKF9, 5681802]
[paragraph, [91.0, 1411.0, 523.0, 36.0], shoonya_6s94D4BFNKYKF9, 5681802]
[paragraph, [91.0, 1447.0, 523.0, 36.0], shoonya_6s94D4BFNKYKF9, 5681802]
[paragraph, [91.0, 1483.0, 523.0, 36.0], shoonya_6s94D4BFNKYKF9, 5681802]
[paragraph, [644.0, 1127.0, 516.0, 36.0], 0LBd8mCT2y, 5681802]
[paragraph, [644.0, 1163.0, 516.0, 36.0], 0LBd8mCT2y, 5681802]
[paragraph, [644.0, 1199.0, 516.0, 36.0], 0LBd8mCT2y, 5681802]
[paragraph, [644.0, 1235.0, 516.0, 36.0], 0LBd8mCT2y, 5681802]
[paragraph, [644.0, 1271.0, 516.0, 36.0], 0LBd8mCT2y, 5681802]
[paragraph, [644.0, 1307.0, 516.0, 36.0], 0LBd8mCT2y, 5681802]
[paragraph, [644.0, 1343.0, 516.0, 36.0], 0LBd8mCT2y, 5681802]
[paragraph, [644.0, 1379.0, 516.0, 36.0], 0LBd8mCT2y, 5681802]
[paragraph, [644.0, 1415.0, 516.0, 36.0], 0LBd8mCT2y, 5681802]
[paragraph, [644.0, 1451.0, 516.0, 36.0], 0LBd8mCT2y, 5681802]
[paragraph, [644.0, 1487.0, 516.0, 36.0], 0LBd8mCT2y, 5681802]
[paragraph, [644.0, 1523.0, 516.0, 36.0], 0LBd8mCT2y, 5681802]
[paragraph, [644.0, 1559.0, 516.0, 36.0], 0LBd8mCT2y, 5681802]
[paragraph, [644.0, 1595.0, 516.0, 36.0], 0LBd8mCT2y, 5681802]
[paragraph, [644.0, 1631.0, 516.0, 36.0], 0LBd8mCT2y, 5681802]
[paragraph, [644.0, 1667.0, 516.0, 36.0], 0LBd8mCT2y, 5681802]
[paragraph, [89.0, 1559.0, 528.0, 36.0], shoonya_7s12UYJ0K7LKSX, 5681802]
[paragraph, [89.0, 1595.0, 528.0, 36.0], shoonya_7s12UYJ0K7LKSX, 5681802]
[paragraph, [89.0, 1631.0, 528.0, 36.0], shoonya_7s12UYJ0K7LKSX, 5681802]
[paragraph, [89.0, 1667.0, 528.0, 36.0], shoonya_7s12UYJ0K7LKSX, 5681802]
