[2200, 1700]
[folio, [784.0, 403.0, 142.0, 36.0], shoonya_2sUUO88QHDEWRP, 5732346]
[paragraph, [475.0, 485.0, 776.0, 36.0], shoonya_0sL3ZGDQH07ED0, 5732346]
[paragraph, [475.0, 521.0, 776.0, 36.0], shoonya_0sL3ZGDQH07ED0, 5732346]
[paragraph, [475.0, 557.0, 776.0, 36.0], shoonya_0sL3ZGDQH07ED0, 5732346]
[paragraph, [475.0, 593.0, 776.0, 36.0], shoonya_0sL3ZGDQH07ED0, 5732346]
[paragraph, [475.0, 629.0, 776.0, 36.0], shoonya_0sL3ZGDQH07ED0, 5732346]
[paragraph, [475.0, 665.0, 776.0, 36.0], shoonya_0sL3ZGDQH07ED0, 5732346]
[paragraph, [475.0, 701.0, 776.0, 36.0], shoonya_0sL3ZGDQH07ED0, 5732346]
[paragraph, [475.0, 737.0, 776.0, 36.0], shoonya_0sL3ZGDQH07ED0, 5732346]
[paragraph, [475.0, 773.0, 776.0, 36.0], shoonya_0sL3ZGDQH07ED0, 5732346]
[paragraph, [475.0, 809.0, 776.0, 36.0], shoonya_0sL3ZGDQH07ED0, 5732346]
[paragraph, [475.0, 845.0, 776.0, 36.0], shoonya_0sL3ZGDQH07ED0, 5732346]
[paragraph, [475.0, 881.0, 776.0, 36.0], shoonya_0sL3ZGDQH07ED0, 5732346]
[paragraph, [475.0, 917.0, 776.0, 36.0], shoonya_0sL3ZGDQH07ED0, 5732346]
[paragraph, [475.0, 953.0, 776.0, 36.0], shoonya_0sL3ZGDQH07ED0, 5732346]
[paragraph, [475.0, 989.0, 776.0, 36.0], shoonya_0sL3ZGDQH07ED0, 5732346]
[paragraph, [475.0, 1025.0, 776.0, 36.0], shoonya_0sL3ZGDQH07ED0, 5732346]
[paragraph, [475.0, 1061.0, 776.0, 36.0], shoonya_0sL3ZGDQH07ED0, 5732346]
[paragraph, [475.0, 1097.0, 776.0, 36.0], shoonya_0sL3ZGDQH07ED0, 5732346]
[paragraph, [475.0, 1133.0, 776.0, 36.0], shoonya_0sL3ZGDQH07ED0, 5732346]
[paragraph, [475.0, 1169.0, 776.0, 36.0], shoonya_0sL3ZGDQH07ED0, 5732346]
[paragraph, [475.0, 1205.0, 776.0, 36.0], shoonya_0sL3ZGDQH07ED0, 5732346]
[paragraph, [475.0, 1241.0, 776.0, 36.0], shoonya_0sL3ZGDQH07ED0, 5732346]
[paragraph, [475.0, 1277.0, 776.0, 36.0], shoonya_0sL3ZGDQH07ED0, 5732346]
[paragraph, [475.0, 1313.0, 776.0, 36.0], shoonya_0sL3ZGDQH07ED0, 5732346]
[paragraph, [475.0, 1349.0, 776.0, 36.0], shoonya_0sL3ZGDQH07ED0, 5732346]
[paragraph, [475.0, 1385.0, 776.0, 36.0], shoonya_0sL3ZGDQH07ED0, 5732346]
[paragraph, [475.0, 1421.0, 776.0, 36.0], shoonya_0sL3ZGDQH07ED0, 5732346]
[paragraph, [475.0, 1457.0, 776.0, 36.0], shoonya_0sL3ZGDQH07ED0, 5732346]
[paragraph, [475.0, 1493.0, 776.0, 36.0], shoonya_0sL3ZGDQH07ED0, 5732346]
[paragraph, [475.0, 1529.0, 776.0, 36.0], shoonya_0sL3ZGDQH07ED0, 5732346]
[paragraph, [475.0, 1565.0, 776.0, 36.0], shoonya_0sL3ZGDQH07ED0, 5732346]
[paragraph, [475.0, 1601.0, 776.0, 36.0], shoonya_0sL3ZGDQH07ED0, 5732346]
[paragraph, [475.0, 1637.0, 776.0, 36.0], shoonya_0sL3ZGDQH07ED0, 5732346]
[paragraph, [475.0, 1673.0, 776.0, 36.0], shoonya_0sL3ZGDQH07ED0, 5732346]
[paragraph, [475.0, 1709.0, 776.0, 36.0], shoonya_0sL3ZGDQH07ED0, 5732346]
[footnote, [1302.0, 2017.0, 221.0, 36.0], sKAuvVDGAE, 5732346]
[footnote, [1302.0, 2053.0, 221.0, 36.0], sKAuvVDGAE, 5732346]
[footnote, [1302.0, 2089.0, 221.0, 36.0], sKAuvVDGAE, 5732346]
[folio, [810.0, 2101.0, 169.0, 36.0], yY9zAwAFDd, 5732346]
[folio, [810.0, 2137.0, 169.0, 36.0], yY9zAwAFDd, 5732346]
