[1063, 680]
[chapter-title, [80.0, 236.0, 420.0, 30.0], shoonya_0sT7J3LRJ1CVTS, 5739846]
[chapter-title, [80.0, 266.0, 420.0, 30.0], shoonya_0sT7J3LRJ1CVTS, 5739846]
[paragraph, [49.0, 330.0, 630.0, 18.0], 8foKASn9H7, 5739846]
[paragraph, [49.0, 348.0, 630.0, 18.0], 8foKASn9H7, 5739846]
[paragraph, [49.0, 366.0, 630.0, 18.0], 8foKASn9H7, 5739846]
[paragraph, [49.0, 384.0, 630.0, 18.0], 8foKASn9H7, 5739846]
[paragraph, [49.0, 402.0, 630.0, 18.0], 8foKASn9H7, 5739846]
[paragraph, [49.0, 420.0, 630.0, 18.0], 8foKASn9H7, 5739846]
[paragraph, [49.0, 438.0, 630.0, 18.0], 8foKASn9H7, 5739846]
[paragraph, [49.0, 456.0, 630.0, 18.0], 8foKASn9H7, 5739846]
[paragraph, [49.0, 474.0, 630.0, 18.0], 8foKASn9H7, 5739846]
[paragraph, [49.0, 492.0, 630.0, 18.0], 8foKASn9H7, 5739846]
[paragraph, [49.0, 510.0, 630.0, 18.0], 8foKASn9H7, 5739846]
[paragraph, [49.0, 528.0, 630.0, 18.0], 8foKASn9H7, 5739846]
[paragraph, [49.0, 546.0, 630.0, 18.0], 8foKASn9H7, 5739846]
[paragraph, [49.0, 564.0, 630.0, 18.0], 8foKASn9H7, 5739846]
[paragraph, [49.0, 582.0, 630.0, 18.0], 8foKASn9H7, 5739846]
[paragraph, [49.0, 600.0, 630.0, 18.0], 8foKASn9H7, 5739846]
[paragraph, [49.0, 618.0, 630.0, 18.0], 8foKASn9H7, 5739846]
[paragraph, [49.0, 636.0, 630.0, 18.0], 8foKASn9H7, 5739846]
[paragraph, [49.0, 654.0, 630.0, 18.0], 8foKASn9H7, 5739846]
[paragraph, [49.0, 672.0, 630.0, 18.0], 8foKASn9H7, 5739846]
[paragraph, [49.0, 690.0, 630.0, 18.0], 8foKASn9H7, 5739846]
[paragraph, [49.0, 708.0, 630.0, 18.0], 8foKASn9H7, 5739846]
[paragraph, [49.0, 726.0, 630.0, 18.0], 8foKASn9H7, 5739846]
[paragraph, [49.0, 744.0, 630.0, 18.0], 8foKASn9H7, 5739846]
[paragraph, [49.0, 762.0, 630.0, 18.0], 8foKASn9H7, 5739846]
[paragraph, [49.0, 780.0, 630.0, 18.0], 8foKASn9H7, 5739846]
[paragraph, [49.0, 798.0, 630.0, 18.0], 8foKASn9H7, 5739846]
[paragraph, [49.0, 816.0, 630.0, 18.0], 8foKASn9H7, 5739846]
[paragraph, [49.0, 834.0, 630.0, 18.0], 8foKASn9H7, 5739846]
[paragraph, [49.0, 852.0, 630.0, 18.0], 8foKASn9H7, 5739846]
[paragraph, [49.0, 870.0, 630.0, 18.0], 8foKASn9H7, 5739846]
[paragraph, [49.0, 888.0, 630.0, 18.0], 8foKASn9H7, 5739846]
[paragraph, [49.0, 906.0, 630.0, 18.0], 8foKASn9H7, 5739846]
[paragraph, [49.0, 924.0, 630.0, 18.0], 8foKASn9H7, 5739846]
[paragraph, [49.0, 942.0, 630.0, 18.0], 8foKASn9H7, 5739846]
[footnote, [432.0, 1003.0, 223.0, 18.0], CjH-e0fHp4, 5739846]
[footnote, [432.0, 1021.0, 223.0, 18.0], CjH-e0fHp4, 5739846]
