[2339, 1656]
[paragraph, [788.0, 105.0, 734.0, 36.0], E1uqu5rVTY, 5749977]
[paragraph, [788.0, 141.0, 734.0, 36.0], E1uqu5rVTY, 5749977]
[paragraph, [788.0, 177.0, 734.0, 36.0], E1uqu5rVTY, 5749977]
[paragraph, [788.0, 213.0, 734.0, 36.0], E1uqu5rVTY, 5749977]
[paragraph, [788.0, 249.0, 734.0, 36.0], E1uqu5rVTY, 5749977]
[paragraph, [788.0, 285.0, 734.0, 36.0], E1uqu5rVTY, 5749977]
[paragraph, [788.0, 321.0, 734.0, 36.0], E1uqu5rVTY, 5749977]
[paragraph, [788.0, 357.0, 734.0, 36.0], E1uqu5rVTY, 5749977]
[paragraph, [788.0, 393.0, 734.0, 36.0], E1uqu5rVTY, 5749977]
[paragraph, [788.0, 429.0, 734.0, 36.0], E1uqu5rVTY, 5749977]
[paragraph, [788.0, 465.0, 734.0, 36.0], E1uqu5rVTY, 5749977]
[paragraph, [788.0, 501.0, 734.0, 36.0], E1uqu5rVTY, 5749977]
[paragraph, [53.0, 120.0, 720.0, 36.0], 42xYDCC2Zg, 5749977]
[paragraph, [53.0, 156.0, 720.0, 36.0], 42xYDCC2Zg, 5749977]
[paragraph, [53.0, 192.0, 720.0, 36.0], 42xYDCC2Zg, 5749977]
[paragraph, [53.0, 228.0, 720.0, 36.0], 42xYDCC2Zg, 5749977]
[paragraph, [58.0, 290.0, 709.0, 36.0], shoonya_3s0QR2CQHVN2M9, 5749977]
[paragraph, [58.0, 326.0, 709.0, 36.0], shoonya_3s0QR2CQHVN2M9, 5749977]
[paragraph, [58.0, 362.0, 709.0, 36.0], shoonya_3s0QR2CQHVN2M9, 5749977]
[paragraph, [58.0, 398.0, 709.0, 36.0], shoonya_3s0QR2CQHVN2M9, 5749977]
[paragraph, [58.0, 434.0, 709.0, 36.0], shoonya_3s0QR2CQHVN2M9, 5749977]
[paragraph, [58.0, 470.0, 709.0, 36.0], shoonya_3s0QR2CQHVN2M9, 5749977]
[paragraph, [58.0, 506.0, 709.0, 36.0], shoonya_3s0QR2CQHVN2M9, 5749977]
[paragraph, [798.0, 550.0, 715.0, 36.0], shoonya_4s7YOU9F9JYSPY, 5749977]
[paragraph, [798.0, 586.0, 715.0, 36.0], shoonya_4s7YOU9F9JYSPY, 5749977]
[paragraph, [798.0, 622.0, 715.0, 36.0], shoonya_4s7YOU9F9JYSPY, 5749977]
[paragraph, [798.0, 658.0, 715.0, 36.0], shoonya_4s7YOU9F9JYSPY, 5749977]
[paragraph, [798.0, 694.0, 715.0, 36.0], shoonya_4s7YOU9F9JYSPY, 5749977]
[paragraph, [63.0, 562.0, 719.0, 36.0], shoonya_2sGCLJOWUZ7P0V, 5749977]
[paragraph, [63.0, 598.0, 719.0, 36.0], shoonya_2sGCLJOWUZ7P0V, 5749977]
[paragraph, [63.0, 634.0, 719.0, 36.0], shoonya_2sGCLJOWUZ7P0V, 5749977]
[paragraph, [63.0, 670.0, 719.0, 36.0], shoonya_2sGCLJOWUZ7P0V, 5749977]
[paragraph, [63.0, 706.0, 719.0, 36.0], shoonya_2sGCLJOWUZ7P0V, 5749977]
[paragraph, [63.0, 742.0, 719.0, 36.0], shoonya_2sGCLJOWUZ7P0V, 5749977]
[paragraph, [63.0, 778.0, 719.0, 36.0], shoonya_2sGCLJOWUZ7P0V, 5749977]
[paragraph, [63.0, 814.0, 719.0, 36.0], shoonya_2sGCLJOWUZ7P0V, 5749977]
[paragraph, [63.0, 850.0, 719.0, 36.0], shoonya_2sGCLJOWUZ7P0V, 5749977]
[paragraph, [63.0, 886.0, 719.0, 36.0], shoonya_2sGCLJOWUZ7P0V, 5749977]
[paragraph, [63.0, 922.0, 719.0, 36.0], shoonya_2sGCLJOWUZ7P0V, 5749977]
[paragraph, [63.0, 958.0, 719.0, 36.0], shoonya_2sGCLJOWUZ7P0V, 5749977]
[paragraph, [63.0, 994.0, 719.0, 36.0], shoonya_2sGCLJOWUZ7P0V, 5749977]
[paragraph, [63.0, 1030.0, 719.0, 36.0], shoonya_2sGCLJOWUZ7P0V, 5749977]
[paragraph, [63.0, 1066.0, 719.0, 36.0], shoonya_2sGCLJOWUZ7P0V, 5749977]
[paragraph, [63.0, 1102.0, 719.0, 36.0], shoonya_2sGCLJOWUZ7P0V, 5749977]
[paragraph, [63.0, 1138.0, 719.0, 36.0], shoonya_2sGCLJOWUZ7P0V, 5749977]
[paragraph, [63.0, 1174.0, 719.0, 36.0], shoonya_2sGCLJOWUZ7P0V, 5749977]
