[1650, 1275]
[paragraph, [139.0, 149.0, 1003.0, 36.0], shoonya_1sEQB8HFJ4GGHI, 5703738]
[paragraph, [139.0, 185.0, 1003.0, 36.0], shoonya_1sEQB8HFJ4GGHI, 5703738]
[paragraph, [139.0, 221.0, 1003.0, 36.0], shoonya_1sEQB8HFJ4GGHI, 5703738]
[paragraph, [139.0, 257.0, 1003.0, 36.0], shoonya_1sEQB8HFJ4GGHI, 5703738]
[paragraph, [139.0, 293.0, 1003.0, 36.0], shoonya_1sEQB8HFJ4GGHI, 5703738]
[paragraph, [139.0, 329.0, 1003.0, 36.0], shoonya_1sEQB8HFJ4GGHI, 5703738]
[paragraph, [139.0, 365.0, 1003.0, 36.0], shoonya_1sEQB8HFJ4GGHI, 5703738]
[paragraph, [139.0, 401.0, 1003.0, 36.0], shoonya_1sEQB8HFJ4GGHI, 5703738]
[paragraph, [139.0, 437.0, 1003.0, 36.0], shoonya_1sEQB8HFJ4GGHI, 5703738]
[paragraph, [139.0, 473.0, 1003.0, 36.0], shoonya_1sEQB8HFJ4GGHI, 5703738]
[paragraph, [139.0, 509.0, 1003.0, 36.0], shoonya_1sEQB8HFJ4GGHI, 5703738]
[paragraph, [139.0, 545.0, 1003.0, 36.0], shoonya_1sEQB8HFJ4GGHI, 5703738]
[paragraph, [139.0, 581.0, 1003.0, 36.0], shoonya_1sEQB8HFJ4GGHI, 5703738]
[paragraph, [139.0, 617.0, 1003.0, 36.0], shoonya_1sEQB8HFJ4GGHI, 5703738]
[paragraph, [139.0, 653.0, 1003.0, 36.0], shoonya_1sEQB8HFJ4GGHI, 5703738]
[paragraph, [139.0, 689.0, 1003.0, 36.0], shoonya_1sEQB8HFJ4GGHI, 5703738]
[paragraph, [139.0, 725.0, 1003.0, 36.0], shoonya_1sEQB8HFJ4GGHI, 5703738]
[paragraph, [139.0, 761.0, 1003.0, 36.0], shoonya_1sEQB8HFJ4GGHI, 5703738]
[paragraph, [139.0, 797.0, 1003.0, 36.0], shoonya_1sEQB8HFJ4GGHI, 5703738]
[paragraph, [139.0, 833.0, 1003.0, 36.0], shoonya_1sEQB8HFJ4GGHI, 5703738]
[paragraph, [139.0, 869.0, 1003.0, 36.0], shoonya_1sEQB8HFJ4GGHI, 5703738]
[paragraph, [139.0, 905.0, 1003.0, 36.0], shoonya_1sEQB8HFJ4GGHI, 5703738]
[paragraph, [139.0, 941.0, 1003.0, 36.0], shoonya_1sEQB8HFJ4GGHI, 5703738]
[paragraph, [139.0, 977.0, 1003.0, 36.0], shoonya_1sEQB8HFJ4GGHI, 5703738]
[paragraph, [139.0, 1013.0, 1003.0, 36.0], shoonya_1sEQB8HFJ4GGHI, 5703738]
[paragraph, [139.0, 1049.0, 1003.0, 36.0], shoonya_1sEQB8HFJ4GGHI, 5703738]
[paragraph, [139.0, 1085.0, 1003.0, 36.0], shoonya_1sEQB8HFJ4GGHI, 5703738]
[paragraph, [139.0, 1121.0, 1003.0, 36.0], shoonya_1sEQB8HFJ4GGHI, 5703738]
[paragraph, [139.0, 1157.0, 1003.0, 36.0], shoonya_1sEQB8HFJ4GGHI, 5703738]
[paragraph, [139.0, 1193.0, 1003.0, 36.0], shoonya_1sEQB8HFJ4GGHI, 5703738]
[paragraph, [139.0, 1229.0, 1003.0, 36.0], shoonya_1sEQB8HFJ4GGHI, 5703738]
[paragraph, [139.0, 1265.0, 1003.0, 36.0], shoonya_1sEQB8HFJ4GGHI, 5703738]
[paragraph, [139.0, 1301.0, 1003.0, 36.0], shoonya_1sEQB8HFJ4GGHI, 5703738]
[paragraph, [139.0, 1337.0, 1003.0, 36.0], shoonya_1sEQB8HFJ4GGHI, 5703738]
