[2061, 1233]
[paragraph, [123.0, 140.0, 987.0, 36.0], shoonya_1sSRJ5X0HVAQ7W, 5691718]
[paragraph, [123.0, 176.0, 987.0, 36.0], shoonya_1sSRJ5X0HVAQ7W, 5691718]
[paragraph, [123.0, 212.0, 987.0, 36.0], shoonya_1sSRJ5X0HVAQ7W, 5691718]
[paragraph, [123.0, 248.0, 987.0, 36.0], shoonya_1sSRJ5X0HVAQ7W, 5691718]
[paragraph, [123.0, 284.0, 987.0, 36.0], shoonya_1sSRJ5X0HVAQ7W, 5691718]
[paragraph, [123.0, 320.0, 987.0, 36.0], shoonya_1sSRJ5X0HVAQ7W, 5691718]
[paragraph, [123.0, 356.0, 987.0, 36.0], shoonya_1sSRJ5X0HVAQ7W, 5691718]
[paragraph, [123.0, 392.0, 987.0, 36.0], shoonya_1sSRJ5X0HVAQ7W, 5691718]
[paragraph, [123.0, 428.0, 987.0, 36.0], shoonya_1sSRJ5X0HVAQ7W, 5691718]
[paragraph, [123.0, 464.0, 987.0, 36.0], shoonya_1sSRJ5X0HVAQ7W, 5691718]
[paragraph, [123.0, 500.0, 987.0, 36.0], shoonya_1sSRJ5X0HVAQ7W, 5691718]
[paragraph, [125.0, 539.0, 988.0, 36.0], shoonya_2sP1B9OGIZYA1Z, 5691718]
[paragraph, [125.0, 575.0, 988.0, 36.0], shoonya_2sP1B9OGIZYA1Z, 5691718]
[paragraph, [125.0, 611.0, 988.0, 36.0], shoonya_2sP1B9OGIZYA1Z, 5691718]
[paragraph, [125.0, 647.0, 988.0, 36.0], shoonya_2sP1B9OGIZYA1Z, 5691718]
[paragraph, [125.0, 683.0, 988.0, 36.0], shoonya_2sP1B9OGIZYA1Z, 5691718]
[paragraph, [131.0, 759.0, 983.0, 36.0], shoonya_4sO95BOJTUTBKV, 5691718]
[paragraph, [131.0, 795.0, 983.0, 36.0], shoonya_4sO95BOJTUTBKV, 5691718]
[paragraph, [131.0, 831.0, 983.0, 36.0], shoonya_4sO95BOJTUTBKV, 5691718]
[paragraph, [131.0, 867.0, 983.0, 36.0], shoonya_4sO95BOJTUTBKV, 5691718]
[paragraph, [131.0, 903.0, 983.0, 36.0], shoonya_4sO95BOJTUTBKV, 5691718]
[paragraph, [131.0, 939.0, 983.0, 36.0], shoonya_4sO95BOJTUTBKV, 5691718]
[paragraph, [128.0, 983.0, 977.0, 36.0], shoonya_3sIZ2VMUN1A281, 5691718]
[paragraph, [128.0, 1019.0, 977.0, 36.0], shoonya_3sIZ2VMUN1A281, 5691718]
[paragraph, [128.0, 1055.0, 977.0, 36.0], shoonya_3sIZ2VMUN1A281, 5691718]
[paragraph, [128.0, 1091.0, 977.0, 36.0], shoonya_3sIZ2VMUN1A281, 5691718]
[paragraph, [128.0, 1127.0, 977.0, 36.0], shoonya_3sIZ2VMUN1A281, 5691718]
[paragraph, [128.0, 1163.0, 977.0, 36.0], shoonya_3sIZ2VMUN1A281, 5691718]
[paragraph, [128.0, 1199.0, 977.0, 36.0], shoonya_3sIZ2VMUN1A281, 5691718]
[paragraph, [131.0, 1268.0, 981.0, 36.0], shoonya_0sO526WMZLXJAA, 5691718]
[paragraph, [131.0, 1304.0, 981.0, 36.0], shoonya_0sO526WMZLXJAA, 5691718]
[paragraph, [131.0, 1340.0, 981.0, 36.0], shoonya_0sO526WMZLXJAA, 5691718]
[paragraph, [131.0, 1376.0, 981.0, 36.0], shoonya_0sO526WMZLXJAA, 5691718]
[paragraph, [131.0, 1412.0, 981.0, 36.0], shoonya_0sO526WMZLXJAA, 5691718]
[paragraph, [131.0, 1448.0, 981.0, 36.0], shoonya_0sO526WMZLXJAA, 5691718]
[paragraph, [131.0, 1484.0, 981.0, 36.0], shoonya_0sO526WMZLXJAA, 5691718]
[paragraph, [131.0, 1520.0, 981.0, 36.0], shoonya_0sO526WMZLXJAA, 5691718]
[paragraph, [131.0, 1556.0, 981.0, 36.0], shoonya_0sO526WMZLXJAA, 5691718]
[paragraph, [131.0, 1592.0, 981.0, 36.0], shoonya_0sO526WMZLXJAA, 5691718]
[paragraph, [131.0, 1628.0, 981.0, 36.0], shoonya_0sO526WMZLXJAA, 5691718]
[paragraph, [131.0, 1664.0, 981.0, 36.0], shoonya_0sO526WMZLXJAA, 5691718]
[paragraph, [131.0, 1700.0, 981.0, 36.0], shoonya_0sO526WMZLXJAA, 5691718]
[paragraph, [131.0, 1736.0, 981.0, 36.0], shoonya_0sO526WMZLXJAA, 5691718]
[paragraph, [131.0, 1772.0, 981.0, 36.0], shoonya_0sO526WMZLXJAA, 5691718]
[paragraph, [131.0, 1808.0, 981.0, 36.0], shoonya_0sO526WMZLXJAA, 5691718]
