[1200, 825]
[paragraph, [142.0, 106.0, 539.0, 18.0], shoonya_1sV3EQVHACFI1O, 5690815]
[paragraph, [142.0, 124.0, 539.0, 18.0], shoonya_1sV3EQVHACFI1O, 5690815]
[paragraph, [142.0, 142.0, 539.0, 18.0], shoonya_1sV3EQVHACFI1O, 5690815]
[paragraph, [142.0, 160.0, 539.0, 18.0], shoonya_1sV3EQVHACFI1O, 5690815]
[paragraph, [142.0, 178.0, 539.0, 18.0], shoonya_1sV3EQVHACFI1O, 5690815]
[paragraph, [142.0, 196.0, 539.0, 18.0], shoonya_1sV3EQVHACFI1O, 5690815]
[paragraph, [142.0, 214.0, 539.0, 18.0], shoonya_1sV3EQVHACFI1O, 5690815]
[paragraph, [142.0, 232.0, 539.0, 18.0], shoonya_1sV3EQVHACFI1O, 5690815]
[paragraph, [142.0, 250.0, 539.0, 18.0], shoonya_1sV3EQVHACFI1O, 5690815]
[paragraph, [142.0, 268.0, 539.0, 18.0], shoonya_1sV3EQVHACFI1O, 5690815]
[paragraph, [142.0, 286.0, 539.0, 18.0], shoonya_1sV3EQVHACFI1O, 5690815]
[paragraph, [142.0, 304.0, 539.0, 18.0], shoonya_1sV3EQVHACFI1O, 5690815]
[paragraph, [142.0, 322.0, 539.0, 18.0], shoonya_1sV3EQVHACFI1O, 5690815]
[paragraph, [142.0, 340.0, 539.0, 18.0], shoonya_1sV3EQVHACFI1O, 5690815]
[paragraph, [142.0, 358.0, 539.0, 18.0], shoonya_1sV3EQVHACFI1O, 5690815]
[paragraph, [142.0, 376.0, 539.0, 18.0], shoonya_1sV3EQVHACFI1O, 5690815]
[paragraph, [142.0, 394.0, 539.0, 18.0], shoonya_1sV3EQVHACFI1O, 5690815]
[paragraph, [142.0, 412.0, 539.0, 18.0], shoonya_1sV3EQVHACFI1O, 5690815]
[paragraph, [142.0, 430.0, 539.0, 18.0], shoonya_1sV3EQVHACFI1O, 5690815]
[paragraph, [142.0, 448.0, 539.0, 18.0], shoonya_1sV3EQVHACFI1O, 5690815]
[paragraph, [142.0, 466.0, 539.0, 18.0], shoonya_1sV3EQVHACFI1O, 5690815]
[paragraph, [142.0, 484.0, 539.0, 18.0], shoonya_1sV3EQVHACFI1O, 5690815]
[paragraph, [142.0, 502.0, 539.0, 18.0], shoonya_1sV3EQVHACFI1O, 5690815]
[paragraph, [142.0, 520.0, 539.0, 18.0], shoonya_1sV3EQVHACFI1O, 5690815]
[paragraph, [142.0, 538.0, 539.0, 18.0], shoonya_1sV3EQVHACFI1O, 5690815]
[paragraph, [142.0, 556.0, 539.0, 18.0], shoonya_1sV3EQVHACFI1O, 5690815]
[paragraph, [142.0, 574.0, 539.0, 18.0], shoonya_1sV3EQVHACFI1O, 5690815]
[paragraph, [143.0, 600.0, 539.0, 18.0], shoonya_0s2O6MLYZTQMBC, 5690815]
[paragraph, [143.0, 618.0, 539.0, 18.0], shoonya_0s2O6MLYZTQMBC, 5690815]
[paragraph, [143.0, 636.0, 539.0, 18.0], shoonya_0s2O6MLYZTQMBC, 5690815]
[paragraph, [143.0, 654.0, 539.0, 18.0], shoonya_0s2O6MLYZTQMBC, 5690815]
[paragraph, [143.0, 672.0, 539.0, 18.0], shoonya_0s2O6MLYZTQMBC, 5690815]
[paragraph, [143.0, 690.0, 539.0, 18.0], shoonya_0s2O6MLYZTQMBC, 5690815]
[paragraph, [143.0, 708.0, 539.0, 18.0], shoonya_0s2O6MLYZTQMBC, 5690815]
[paragraph, [143.0, 726.0, 539.0, 18.0], shoonya_0s2O6MLYZTQMBC, 5690815]
[paragraph, [143.0, 744.0, 539.0, 18.0], shoonya_0s2O6MLYZTQMBC, 5690815]
[paragraph, [143.0, 762.0, 539.0, 18.0], shoonya_0s2O6MLYZTQMBC, 5690815]
[paragraph, [143.0, 780.0, 539.0, 18.0], shoonya_0s2O6MLYZTQMBC, 5690815]
[paragraph, [143.0, 798.0, 539.0, 18.0], shoonya_0s2O6MLYZTQMBC, 5690815]
[paragraph, [143.0, 816.0, 539.0, 18.0], shoonya_0s2O6MLYZTQMBC, 5690815]
[paragraph, [143.0, 834.0, 539.0, 18.0], shoonya_0s2O6MLYZTQMBC, 5690815]
[paragraph, [143.0, 852.0, 539.0, 18.0], shoonya_0s2O6MLYZTQMBC, 5690815]
[paragraph, [143.0, 870.0, 539.0, 18.0], shoonya_0s2O6MLYZTQMBC, 5690815]
[paragraph, [143.0, 888.0, 539.0, 18.0], shoonya_0s2O6MLYZTQMBC, 5690815]
[paragraph, [143.0, 906.0, 539.0, 18.0], shoonya_0s2O6MLYZTQMBC, 5690815]
[paragraph, [143.0, 924.0, 539.0, 18.0], shoonya_0s2O6MLYZTQMBC, 5690815]
[paragraph, [143.0, 942.0, 539.0, 18.0], shoonya_0s2O6MLYZTQMBC, 5690815]
[paragraph, [143.0, 960.0, 539.0, 18.0], shoonya_0s2O6MLYZTQMBC, 5690815]
[paragraph, [143.0, 978.0, 539.0, 18.0], shoonya_0s2O6MLYZTQMBC, 5690815]
[paragraph, [143.0, 996.0, 539.0, 18.0], shoonya_0s2O6MLYZTQMBC, 5690815]
[paragraph, [143.0, 1014.0, 539.0, 18.0], shoonya_0s2O6MLYZTQMBC, 5690815]
[paragraph, [143.0, 1032.0, 539.0, 18.0], shoonya_0s2O6MLYZTQMBC, 5690815]
[paragraph, [143.0, 1050.0, 539.0, 18.0], shoonya_0s2O6MLYZTQMBC, 5690815]
