[2178, 1466]
[folio, [170.0, 157.0, 190.0, 36.0], evVQ7vmUo9, 5655247]
[paragraph, [172.0, 257.0, 1162.0, 36.0], shoonya_2sXKHD8QCWQIL1, 5655247]
[paragraph, [172.0, 293.0, 1162.0, 36.0], shoonya_2sXKHD8QCWQIL1, 5655247]
[paragraph, [172.0, 329.0, 1162.0, 36.0], shoonya_2sXKHD8QCWQIL1, 5655247]
[paragraph, [171.0, 432.0, 1171.0, 36.0], shoonya_0s20KJCP5DIRAC, 5655247]
[paragraph, [171.0, 468.0, 1171.0, 36.0], shoonya_0s20KJCP5DIRAC, 5655247]
[paragraph, [171.0, 504.0, 1171.0, 36.0], shoonya_0s20KJCP5DIRAC, 5655247]
[paragraph, [171.0, 540.0, 1171.0, 36.0], shoonya_0s20KJCP5DIRAC, 5655247]
[paragraph, [171.0, 576.0, 1171.0, 36.0], shoonya_0s20KJCP5DIRAC, 5655247]
[paragraph, [171.0, 612.0, 1171.0, 36.0], shoonya_0s20KJCP5DIRAC, 5655247]
[paragraph, [171.0, 648.0, 1171.0, 36.0], shoonya_0s20KJCP5DIRAC, 5655247]
[paragraph, [171.0, 684.0, 1171.0, 36.0], shoonya_0s20KJCP5DIRAC, 5655247]
[paragraph, [171.0, 720.0, 1171.0, 36.0], shoonya_0s20KJCP5DIRAC, 5655247]
[paragraph, [171.0, 756.0, 1171.0, 36.0], shoonya_0s20KJCP5DIRAC, 5655247]
[paragraph, [171.0, 792.0, 1171.0, 36.0], shoonya_0s20KJCP5DIRAC, 5655247]
[paragraph, [171.0, 828.0, 1171.0, 36.0], shoonya_0s20KJCP5DIRAC, 5655247]
[paragraph, [171.0, 864.0, 1171.0, 36.0], shoonya_0s20KJCP5DIRAC, 5655247]
[paragraph, [171.0, 900.0, 1171.0, 36.0], shoonya_0s20KJCP5DIRAC, 5655247]
[paragraph, [175.0, 994.0, 1167.0, 36.0], shoonya_1s7R61QO7CJ3C3, 5655247]
[paragraph, [175.0, 1030.0, 1167.0, 36.0], shoonya_1s7R61QO7CJ3C3, 5655247]
[paragraph, [175.0, 1066.0, 1167.0, 36.0], shoonya_1s7R61QO7CJ3C3, 5655247]
[paragraph, [175.0, 1102.0, 1167.0, 36.0], shoonya_1s7R61QO7CJ3C3, 5655247]
[paragraph, [175.0, 1138.0, 1167.0, 36.0], shoonya_1s7R61QO7CJ3C3, 5655247]
[paragraph, [175.0, 1174.0, 1167.0, 36.0], shoonya_1s7R61QO7CJ3C3, 5655247]
[paragraph, [175.0, 1210.0, 1167.0, 36.0], shoonya_1s7R61QO7CJ3C3, 5655247]
[paragraph, [175.0, 1246.0, 1167.0, 36.0], shoonya_1s7R61QO7CJ3C3, 5655247]
[paragraph, [175.0, 1282.0, 1167.0, 36.0], shoonya_1s7R61QO7CJ3C3, 5655247]
[paragraph, [175.0, 1318.0, 1167.0, 36.0], shoonya_1s7R61QO7CJ3C3, 5655247]
[paragraph, [175.0, 1354.0, 1167.0, 36.0], shoonya_1s7R61QO7CJ3C3, 5655247]
[paragraph, [175.0, 1390.0, 1167.0, 36.0], shoonya_1s7R61QO7CJ3C3, 5655247]
[paragraph, [175.0, 1426.0, 1167.0, 36.0], shoonya_1s7R61QO7CJ3C3, 5655247]
[paragraph, [175.0, 1462.0, 1167.0, 36.0], shoonya_1s7R61QO7CJ3C3, 5655247]
[paragraph, [175.0, 1498.0, 1167.0, 36.0], shoonya_1s7R61QO7CJ3C3, 5655247]
[paragraph, [175.0, 1534.0, 1167.0, 36.0], shoonya_1s7R61QO7CJ3C3, 5655247]
[paragraph, [175.0, 1570.0, 1167.0, 36.0], shoonya_1s7R61QO7CJ3C3, 5655247]
[paragraph, [175.0, 1606.0, 1167.0, 36.0], shoonya_1s7R61QO7CJ3C3, 5655247]
[paragraph, [178.0, 1692.0, 1160.0, 36.0], shoonya_4s7BM31R58A685, 5655247]
[paragraph, [178.0, 1728.0, 1160.0, 36.0], shoonya_4s7BM31R58A685, 5655247]
[paragraph, [178.0, 1764.0, 1160.0, 36.0], shoonya_4s7BM31R58A685, 5655247]
[paragraph, [178.0, 1800.0, 1160.0, 36.0], shoonya_4s7BM31R58A685, 5655247]
[paragraph, [178.0, 1836.0, 1160.0, 36.0], shoonya_4s7BM31R58A685, 5655247]
[paragraph, [178.0, 1872.0, 1160.0, 36.0], shoonya_4s7BM31R58A685, 5655247]
[reference, [180.0, 1952.0, 816.0, 36.0], shoonya_5sWK6AF619PK3M, 5655247]
[reference, [180.0, 1988.0, 816.0, 36.0], shoonya_5sWK6AF619PK3M, 5655247]
