[1754, 1241]
[ordered-list, [182.0, 208.0, 450.0, 36.0], shoonya_0s1TDCEY0URD35, 5761391]
[ordered-list, [182.0, 244.0, 450.0, 36.0], shoonya_0s1TDCEY0URD35, 5761391]
[ordered-list, [182.0, 280.0, 450.0, 36.0], shoonya_0s1TDCEY0URD35, 5761391]
[ordered-list, [182.0, 316.0, 450.0, 36.0], shoonya_0s1TDCEY0URD35, 5761391]
[ordered-list, [182.0, 352.0, 450.0, 36.0], shoonya_0s1TDCEY0URD35, 5761391]
[ordered-list, [182.0, 388.0, 450.0, 36.0], shoonya_0s1TDCEY0URD35, 5761391]
[ordered-list, [182.0, 424.0, 450.0, 36.0], shoonya_0s1TDCEY0URD35, 5761391]
[ordered-list, [182.0, 460.0, 450.0, 36.0], shoonya_0s1TDCEY0URD35, 5761391]
[ordered-list, [182.0, 496.0, 450.0, 36.0], shoonya_0s1TDCEY0URD35, 5761391]
[ordered-list, [182.0, 532.0, 450.0, 36.0], shoonya_0s1TDCEY0URD35, 5761391]
[ordered-list, [182.0, 568.0, 450.0, 36.0], shoonya_0s1TDCEY0URD35, 5761391]
[ordered-list, [182.0, 604.0, 450.0, 36.0], shoonya_0s1TDCEY0URD35, 5761391]
[ordered-list, [182.0, 640.0, 450.0, 36.0], shoonya_0s1TDCEY0URD35, 5761391]
[ordered-list, [182.0, 676.0, 450.0, 36.0], shoonya_0s1TDCEY0URD35, 5761391]
[ordered-list, [182.0, 712.0, 450.0, 36.0], shoonya_0s1TDCEY0URD35, 5761391]
[ordered-list, [182.0, 748.0, 450.0, 36.0], shoonya_0s1TDCEY0URD35, 5761391]
[ordered-list, [182.0, 784.0, 450.0, 36.0], shoonya_0s1TDCEY0URD35, 5761391]
[ordered-list, [182.0, 820.0, 450.0, 36.0], shoonya_0s1TDCEY0URD35, 5761391]
[ordered-list, [182.0, 856.0, 450.0, 36.0], shoonya_0s1TDCEY0URD35, 5761391]
[ordered-list, [182.0, 892.0, 450.0, 36.0], shoonya_0s1TDCEY0URD35, 5761391]
[ordered-list, [182.0, 928.0, 450.0, 36.0], shoonya_0s1TDCEY0URD35, 5761391]
[ordered-list, [182.0, 964.0, 450.0, 36.0], shoonya_0s1TDCEY0URD35, 5761391]
[ordered-list, [182.0, 1000.0, 450.0, 36.0], shoonya_0s1TDCEY0URD35, 5761391]
[ordered-list, [182.0, 1036.0, 450.0, 36.0], shoonya_0s1TDCEY0URD35, 5761391]
[ordered-list, [182.0, 1072.0, 450.0, 36.0], shoonya_0s1TDCEY0URD35, 5761391]
[ordered-list, [182.0, 1108.0, 450.0, 36.0], shoonya_0s1TDCEY0URD35, 5761391]
[ordered-list, [182.0, 1144.0, 450.0, 36.0], shoonya_0s1TDCEY0URD35, 5761391]
[ordered-list, [182.0, 1180.0, 450.0, 36.0], shoonya_0s1TDCEY0URD35, 5761391]
[ordered-list, [182.0, 1216.0, 450.0, 36.0], shoonya_0s1TDCEY0URD35, 5761391]
[ordered-list, [182.0, 1252.0, 450.0, 36.0], shoonya_0s1TDCEY0URD35, 5761391]
[ordered-list, [182.0, 1288.0, 450.0, 36.0], shoonya_0s1TDCEY0URD35, 5761391]
[ordered-list, [182.0, 1324.0, 450.0, 36.0], shoonya_0s1TDCEY0URD35, 5761391]
[ordered-list, [182.0, 1360.0, 450.0, 36.0], shoonya_0s1TDCEY0URD35, 5761391]
[ordered-list, [182.0, 1396.0, 450.0, 36.0], shoonya_0s1TDCEY0URD35, 5761391]
[ordered-list, [182.0, 1432.0, 450.0, 36.0], shoonya_0s1TDCEY0URD35, 5761391]
[ordered-list, [182.0, 1468.0, 450.0, 36.0], shoonya_0s1TDCEY0URD35, 5761391]
