[681, 511]
[paragraph, [40.0, 62.0, 428.0, 18.0], shoonya_2sCU44CS81TBZR, 5711137]
[paragraph, [40.0, 80.0, 428.0, 18.0], shoonya_2sCU44CS81TBZR, 5711137]
[paragraph, [40.0, 98.0, 428.0, 18.0], shoonya_2sCU44CS81TBZR, 5711137]
[paragraph, [40.0, 116.0, 428.0, 18.0], shoonya_2sCU44CS81TBZR, 5711137]
[paragraph, [40.0, 134.0, 428.0, 18.0], shoonya_2sCU44CS81TBZR, 5711137]
[paragraph, [41.0, 166.0, 426.0, 18.0], shoonya_3s7WKB7P1V59JS, 5711137]
[paragraph, [41.0, 184.0, 426.0, 18.0], shoonya_3s7WKB7P1V59JS, 5711137]
[paragraph, [41.0, 202.0, 426.0, 18.0], shoonya_3s7WKB7P1V59JS, 5711137]
[paragraph, [41.0, 220.0, 426.0, 18.0], shoonya_3s7WKB7P1V59JS, 5711137]
[paragraph, [41.0, 238.0, 426.0, 18.0], shoonya_3s7WKB7P1V59JS, 5711137]
[paragraph, [41.0, 271.0, 426.0, 18.0], shoonya_1sMFZY7ZVT1RMX, 5711137]
[paragraph, [41.0, 289.0, 426.0, 18.0], shoonya_1sMFZY7ZVT1RMX, 5711137]
[paragraph, [41.0, 307.0, 426.0, 18.0], shoonya_1sMFZY7ZVT1RMX, 5711137]
[paragraph, [41.0, 325.0, 426.0, 18.0], shoonya_1sMFZY7ZVT1RMX, 5711137]
[paragraph, [41.0, 343.0, 426.0, 18.0], shoonya_1sMFZY7ZVT1RMX, 5711137]
[paragraph, [41.0, 361.0, 426.0, 18.0], shoonya_1sMFZY7ZVT1RMX, 5711137]
[paragraph, [41.0, 401.0, 427.0, 18.0], shoonya_0sRKVD45233YRG, 5711137]
[paragraph, [41.0, 419.0, 427.0, 18.0], shoonya_0sRKVD45233YRG, 5711137]
[paragraph, [41.0, 437.0, 427.0, 18.0], shoonya_0sRKVD45233YRG, 5711137]
[paragraph, [41.0, 455.0, 427.0, 18.0], shoonya_0sRKVD45233YRG, 5711137]
[paragraph, [41.0, 473.0, 427.0, 18.0], shoonya_0sRKVD45233YRG, 5711137]
[paragraph, [41.0, 491.0, 427.0, 18.0], shoonya_0sRKVD45233YRG, 5711137]
[paragraph, [41.0, 509.0, 427.0, 18.0], shoonya_0sRKVD45233YRG, 5711137]
[paragraph, [41.0, 527.0, 427.0, 18.0], shoonya_0sRKVD45233YRG, 5711137]
[paragraph, [41.0, 545.0, 427.0, 18.0], shoonya_0sRKVD45233YRG, 5711137]
[contact-info, [303.0, 588.0, 166.0, 18.0], yUf8JiY23-, 5711137]
[contact-info, [303.0, 606.0, 166.0, 18.0], yUf8JiY23-, 5711137]
[contact-info, [303.0, 624.0, 166.0, 18.0], yUf8JiY23-, 5711137]
