[1372, 849]
[section-title, [305.0, 68.0, 241.0, 30.0], shoonya_1sZOJAXE5SO6YU, 5710457]
[paragraph, [69.0, 131.0, 710.0, 18.0], shoonya_0sM768G4R9ITF9, 5710457]
[paragraph, [69.0, 149.0, 710.0, 18.0], shoonya_0sM768G4R9ITF9, 5710457]
[paragraph, [69.0, 167.0, 710.0, 18.0], shoonya_0sM768G4R9ITF9, 5710457]
[paragraph, [69.0, 185.0, 710.0, 18.0], shoonya_0sM768G4R9ITF9, 5710457]
[paragraph, [69.0, 203.0, 710.0, 18.0], shoonya_0sM768G4R9ITF9, 5710457]
[paragraph, [69.0, 221.0, 710.0, 18.0], shoonya_0sM768G4R9ITF9, 5710457]
[paragraph, [69.0, 239.0, 710.0, 18.0], shoonya_0sM768G4R9ITF9, 5710457]
[paragraph, [69.0, 257.0, 710.0, 18.0], shoonya_0sM768G4R9ITF9, 5710457]
[paragraph, [69.0, 275.0, 710.0, 18.0], shoonya_0sM768G4R9ITF9, 5710457]
[paragraph, [69.0, 293.0, 710.0, 18.0], shoonya_0sM768G4R9ITF9, 5710457]
[paragraph, [69.0, 311.0, 710.0, 18.0], shoonya_0sM768G4R9ITF9, 5710457]
[paragraph, [69.0, 329.0, 710.0, 18.0], shoonya_0sM768G4R9ITF9, 5710457]
[paragraph, [69.0, 347.0, 710.0, 18.0], shoonya_0sM768G4R9ITF9, 5710457]
[paragraph, [69.0, 365.0, 710.0, 18.0], shoonya_0sM768G4R9ITF9, 5710457]
[paragraph, [69.0, 383.0, 710.0, 18.0], shoonya_0sM768G4R9ITF9, 5710457]
[paragraph, [68.0, 409.0, 711.0, 18.0], iZzDtGJZUB, 5710457]
[paragraph, [68.0, 427.0, 711.0, 18.0], iZzDtGJZUB, 5710457]
[paragraph, [68.0, 445.0, 711.0, 18.0], iZzDtGJZUB, 5710457]
[paragraph, [68.0, 463.0, 711.0, 18.0], iZzDtGJZUB, 5710457]
[paragraph, [68.0, 481.0, 711.0, 18.0], iZzDtGJZUB, 5710457]
[paragraph, [68.0, 499.0, 711.0, 18.0], iZzDtGJZUB, 5710457]
[paragraph, [68.0, 517.0, 711.0, 18.0], iZzDtGJZUB, 5710457]
[paragraph, [68.0, 535.0, 711.0, 18.0], iZzDtGJZUB, 5710457]
[paragraph, [68.0, 553.0, 711.0, 18.0], iZzDtGJZUB, 5710457]
[paragraph, [68.0, 571.0, 711.0, 18.0], iZzDtGJZUB, 5710457]
[paragraph, [68.0, 589.0, 711.0, 18.0], iZzDtGJZUB, 5710457]
[paragraph, [68.0, 607.0, 711.0, 18.0], iZzDtGJZUB, 5710457]
[paragraph, [68.0, 625.0, 711.0, 18.0], iZzDtGJZUB, 5710457]
[paragraph, [68.0, 643.0, 711.0, 18.0], iZzDtGJZUB, 5710457]
