[1091, 690]
[paragraph, [62.0, 96.0, 557.0, 18.0], shoonya_1sNF53QEQQ0VIC, 5759934]
[paragraph, [62.0, 114.0, 557.0, 18.0], shoonya_1sNF53QEQQ0VIC, 5759934]
[paragraph, [62.0, 132.0, 557.0, 18.0], shoonya_1sNF53QEQQ0VIC, 5759934]
[paragraph, [62.0, 150.0, 557.0, 18.0], shoonya_1sNF53QEQQ0VIC, 5759934]
[paragraph, [62.0, 168.0, 557.0, 18.0], shoonya_1sNF53QEQQ0VIC, 5759934]
[paragraph, [62.0, 186.0, 557.0, 18.0], shoonya_1sNF53QEQQ0VIC, 5759934]
[paragraph, [62.0, 204.0, 557.0, 18.0], shoonya_1sNF53QEQQ0VIC, 5759934]
[paragraph, [62.0, 222.0, 557.0, 18.0], shoonya_1sNF53QEQQ0VIC, 5759934]
[paragraph, [62.0, 240.0, 557.0, 18.0], shoonya_1sNF53QEQQ0VIC, 5759934]
[paragraph, [69.0, 266.0, 554.0, 18.0], shoonya_0s48PI98HLA72K, 5759934]
[paragraph, [69.0, 284.0, 554.0, 18.0], shoonya_0s48PI98HLA72K, 5759934]
[paragraph, [69.0, 302.0, 554.0, 18.0], shoonya_0s48PI98HLA72K, 5759934]
[paragraph, [69.0, 320.0, 554.0, 18.0], shoonya_0s48PI98HLA72K, 5759934]
[paragraph, [69.0, 338.0, 554.0, 18.0], shoonya_0s48PI98HLA72K, 5759934]
[paragraph, [69.0, 356.0, 554.0, 18.0], shoonya_0s48PI98HLA72K, 5759934]
[paragraph, [69.0, 374.0, 554.0, 18.0], shoonya_0s48PI98HLA72K, 5759934]
[paragraph, [69.0, 392.0, 554.0, 18.0], shoonya_0s48PI98HLA72K, 5759934]
[paragraph, [69.0, 410.0, 554.0, 18.0], shoonya_0s48PI98HLA72K, 5759934]
[paragraph, [69.0, 428.0, 554.0, 18.0], shoonya_0s48PI98HLA72K, 5759934]
[paragraph, [69.0, 446.0, 554.0, 18.0], shoonya_0s48PI98HLA72K, 5759934]
[paragraph, [69.0, 464.0, 554.0, 18.0], shoonya_0s48PI98HLA72K, 5759934]
[paragraph, [69.0, 482.0, 554.0, 18.0], shoonya_0s48PI98HLA72K, 5759934]
[paragraph, [69.0, 500.0, 554.0, 18.0], shoonya_0s48PI98HLA72K, 5759934]
