[1241, 798]
[folio, [571.0, 64.0, 133.0, 18.0], shoonya_3sLD1R2XGHFXHF, 5702406]
[paragraph, [89.0, 113.0, 617.0, 18.0], shoonya_2sPYN0Z8HMJ1FZ, 5702406]
[paragraph, [89.0, 131.0, 617.0, 18.0], shoonya_2sPYN0Z8HMJ1FZ, 5702406]
[paragraph, [89.0, 149.0, 617.0, 18.0], shoonya_2sPYN0Z8HMJ1FZ, 5702406]
[paragraph, [89.0, 167.0, 617.0, 18.0], shoonya_2sPYN0Z8HMJ1FZ, 5702406]
[paragraph, [89.0, 185.0, 617.0, 18.0], shoonya_2sPYN0Z8HMJ1FZ, 5702406]
[paragraph, [89.0, 203.0, 617.0, 18.0], shoonya_2sPYN0Z8HMJ1FZ, 5702406]
[paragraph, [89.0, 221.0, 617.0, 18.0], shoonya_2sPYN0Z8HMJ1FZ, 5702406]
[paragraph, [89.0, 239.0, 617.0, 18.0], shoonya_2sPYN0Z8HMJ1FZ, 5702406]
[paragraph, [89.0, 257.0, 617.0, 18.0], shoonya_2sPYN0Z8HMJ1FZ, 5702406]
[paragraph, [89.0, 275.0, 617.0, 18.0], shoonya_2sPYN0Z8HMJ1FZ, 5702406]
[paragraph, [89.0, 293.0, 617.0, 18.0], shoonya_2sPYN0Z8HMJ1FZ, 5702406]
[paragraph, [89.0, 311.0, 617.0, 18.0], shoonya_2sPYN0Z8HMJ1FZ, 5702406]
[paragraph, [89.0, 329.0, 617.0, 18.0], shoonya_2sPYN0Z8HMJ1FZ, 5702406]
[paragraph, [89.0, 347.0, 617.0, 18.0], shoonya_2sPYN0Z8HMJ1FZ, 5702406]
[paragraph, [89.0, 365.0, 617.0, 18.0], shoonya_2sPYN0Z8HMJ1FZ, 5702406]
[paragraph, [89.0, 383.0, 617.0, 18.0], shoonya_2sPYN0Z8HMJ1FZ, 5702406]
[paragraph, [89.0, 401.0, 617.0, 18.0], shoonya_2sPYN0Z8HMJ1FZ, 5702406]
[paragraph, [89.0, 419.0, 617.0, 18.0], shoonya_2sPYN0Z8HMJ1FZ, 5702406]
[paragraph, [89.0, 437.0, 617.0, 18.0], shoonya_2sPYN0Z8HMJ1FZ, 5702406]
[paragraph, [89.0, 455.0, 617.0, 18.0], shoonya_2sPYN0Z8HMJ1FZ, 5702406]
[paragraph, [89.0, 473.0, 617.0, 18.0], shoonya_2sPYN0Z8HMJ1FZ, 5702406]
[paragraph, [89.0, 491.0, 617.0, 18.0], shoonya_2sPYN0Z8HMJ1FZ, 5702406]
[paragraph, [89.0, 509.0, 617.0, 18.0], shoonya_2sPYN0Z8HMJ1FZ, 5702406]
[paragraph, [87.0, 548.0, 620.0, 18.0], shoonya_0sQMVNGDO2IDH5, 5702406]
[paragraph, [87.0, 566.0, 620.0, 18.0], shoonya_0sQMVNGDO2IDH5, 5702406]
[paragraph, [87.0, 584.0, 620.0, 18.0], shoonya_0sQMVNGDO2IDH5, 5702406]
[paragraph, [87.0, 602.0, 620.0, 18.0], shoonya_0sQMVNGDO2IDH5, 5702406]
[paragraph, [87.0, 620.0, 620.0, 18.0], shoonya_0sQMVNGDO2IDH5, 5702406]
[paragraph, [87.0, 638.0, 620.0, 18.0], shoonya_0sQMVNGDO2IDH5, 5702406]
[paragraph, [87.0, 656.0, 620.0, 18.0], shoonya_0sQMVNGDO2IDH5, 5702406]
[paragraph, [87.0, 674.0, 620.0, 18.0], shoonya_0sQMVNGDO2IDH5, 5702406]
[paragraph, [87.0, 692.0, 620.0, 18.0], shoonya_0sQMVNGDO2IDH5, 5702406]
[paragraph, [87.0, 710.0, 620.0, 18.0], shoonya_0sQMVNGDO2IDH5, 5702406]
[paragraph, [87.0, 728.0, 620.0, 18.0], shoonya_0sQMVNGDO2IDH5, 5702406]
[paragraph, [87.0, 746.0, 620.0, 18.0], shoonya_0sQMVNGDO2IDH5, 5702406]
[paragraph, [87.0, 764.0, 620.0, 18.0], shoonya_0sQMVNGDO2IDH5, 5702406]
[paragraph, [87.0, 782.0, 620.0, 18.0], shoonya_0sQMVNGDO2IDH5, 5702406]
[paragraph, [87.0, 800.0, 620.0, 18.0], shoonya_0sQMVNGDO2IDH5, 5702406]
[paragraph, [87.0, 818.0, 620.0, 18.0], shoonya_0sQMVNGDO2IDH5, 5702406]
[paragraph, [87.0, 836.0, 620.0, 18.0], shoonya_0sQMVNGDO2IDH5, 5702406]
[paragraph, [87.0, 854.0, 620.0, 18.0], shoonya_0sQMVNGDO2IDH5, 5702406]
[paragraph, [89.0, 886.0, 619.0, 18.0], shoonya_1sYHS3RSI24O1L, 5702406]
[paragraph, [89.0, 904.0, 619.0, 18.0], shoonya_1sYHS3RSI24O1L, 5702406]
[paragraph, [89.0, 922.0, 619.0, 18.0], shoonya_1sYHS3RSI24O1L, 5702406]
[paragraph, [89.0, 940.0, 619.0, 18.0], shoonya_1sYHS3RSI24O1L, 5702406]
[paragraph, [89.0, 958.0, 619.0, 18.0], shoonya_1sYHS3RSI24O1L, 5702406]
[paragraph, [89.0, 976.0, 619.0, 18.0], shoonya_1sYHS3RSI24O1L, 5702406]
[paragraph, [89.0, 994.0, 619.0, 18.0], shoonya_1sYHS3RSI24O1L, 5702406]
[paragraph, [89.0, 1012.0, 619.0, 18.0], shoonya_1sYHS3RSI24O1L, 5702406]
[paragraph, [89.0, 1030.0, 619.0, 18.0], shoonya_1sYHS3RSI24O1L, 5702406]
[paragraph, [89.0, 1048.0, 619.0, 18.0], shoonya_1sYHS3RSI24O1L, 5702406]
[paragraph, [89.0, 1066.0, 619.0, 18.0], shoonya_1sYHS3RSI24O1L, 5702406]
[paragraph, [89.0, 1084.0, 619.0, 18.0], shoonya_1sYHS3RSI24O1L, 5702406]
[paragraph, [89.0, 1102.0, 619.0, 18.0], shoonya_1sYHS3RSI24O1L, 5702406]
[paragraph, [89.0, 1120.0, 619.0, 18.0], shoonya_1sYHS3RSI24O1L, 5702406]
[paragraph, [89.0, 1138.0, 619.0, 18.0], shoonya_1sYHS3RSI24O1L, 5702406]
