[1267, 753]
[folio, [326.0, 76.0, 93.0, 18.0], ymGJM_HT0Q, 5699714]
[paragraph, [78.0, 125.0, 594.0, 18.0], shoonya_1sSL0YQNFO7GTG, 5699714]
[paragraph, [78.0, 143.0, 594.0, 18.0], shoonya_1sSL0YQNFO7GTG, 5699714]
[paragraph, [78.0, 161.0, 594.0, 18.0], shoonya_1sSL0YQNFO7GTG, 5699714]
[paragraph, [76.0, 193.0, 597.0, 18.0], shoonya_0sCYWB0Q4LUMGB, 5699714]
[paragraph, [76.0, 211.0, 597.0, 18.0], shoonya_0sCYWB0Q4LUMGB, 5699714]
[paragraph, [76.0, 229.0, 597.0, 18.0], shoonya_0sCYWB0Q4LUMGB, 5699714]
[paragraph, [76.0, 247.0, 597.0, 18.0], shoonya_0sCYWB0Q4LUMGB, 5699714]
[paragraph, [76.0, 265.0, 597.0, 18.0], shoonya_0sCYWB0Q4LUMGB, 5699714]
[paragraph, [76.0, 283.0, 597.0, 18.0], shoonya_0sCYWB0Q4LUMGB, 5699714]
[paragraph, [76.0, 301.0, 597.0, 18.0], shoonya_0sCYWB0Q4LUMGB, 5699714]
[paragraph, [76.0, 319.0, 597.0, 18.0], shoonya_0sCYWB0Q4LUMGB, 5699714]
[paragraph, [76.0, 337.0, 597.0, 18.0], shoonya_0sCYWB0Q4LUMGB, 5699714]
[paragraph, [76.0, 355.0, 597.0, 18.0], shoonya_0sCYWB0Q4LUMGB, 5699714]
[paragraph, [76.0, 373.0, 597.0, 18.0], shoonya_0sCYWB0Q4LUMGB, 5699714]
[paragraph, [76.0, 391.0, 597.0, 18.0], shoonya_0sCYWB0Q4LUMGB, 5699714]
[paragraph, [76.0, 409.0, 597.0, 18.0], shoonya_0sCYWB0Q4LUMGB, 5699714]
[paragraph, [76.0, 427.0, 597.0, 18.0], shoonya_0sCYWB0Q4LUMGB, 5699714]
[paragraph, [76.0, 445.0, 597.0, 18.0], shoonya_0sCYWB0Q4LUMGB, 5699714]
[paragraph, [76.0, 463.0, 597.0, 18.0], shoonya_0sCYWB0Q4LUMGB, 5699714]
[paragraph, [76.0, 481.0, 597.0, 18.0], shoonya_0sCYWB0Q4LUMGB, 5699714]
[paragraph, [76.0, 499.0, 597.0, 18.0], shoonya_0sCYWB0Q4LUMGB, 5699714]
[paragraph, [76.0, 517.0, 597.0, 18.0], shoonya_0sCYWB0Q4LUMGB, 5699714]
[paragraph, [76.0, 535.0, 597.0, 18.0], shoonya_0sCYWB0Q4LUMGB, 5699714]
[paragraph, [76.0, 553.0, 597.0, 18.0], shoonya_0sCYWB0Q4LUMGB, 5699714]
[paragraph, [76.0, 571.0, 597.0, 18.0], shoonya_0sCYWB0Q4LUMGB, 5699714]
[paragraph, [76.0, 589.0, 597.0, 18.0], shoonya_0sCYWB0Q4LUMGB, 5699714]
[paragraph, [76.0, 607.0, 597.0, 18.0], shoonya_0sCYWB0Q4LUMGB, 5699714]
[paragraph, [76.0, 625.0, 597.0, 18.0], shoonya_0sCYWB0Q4LUMGB, 5699714]
[paragraph, [76.0, 643.0, 597.0, 18.0], shoonya_0sCYWB0Q4LUMGB, 5699714]
[paragraph, [76.0, 661.0, 597.0, 18.0], shoonya_0sCYWB0Q4LUMGB, 5699714]
[paragraph, [76.0, 679.0, 597.0, 18.0], shoonya_0sCYWB0Q4LUMGB, 5699714]
[paragraph, [76.0, 697.0, 597.0, 18.0], shoonya_0sCYWB0Q4LUMGB, 5699714]
[paragraph, [76.0, 715.0, 597.0, 18.0], shoonya_0sCYWB0Q4LUMGB, 5699714]
[paragraph, [76.0, 733.0, 597.0, 18.0], shoonya_0sCYWB0Q4LUMGB, 5699714]
[paragraph, [76.0, 751.0, 597.0, 18.0], shoonya_0sCYWB0Q4LUMGB, 5699714]
[paragraph, [76.0, 769.0, 597.0, 18.0], shoonya_0sCYWB0Q4LUMGB, 5699714]
[paragraph, [76.0, 787.0, 597.0, 18.0], shoonya_0sCYWB0Q4LUMGB, 5699714]
[paragraph, [76.0, 805.0, 597.0, 18.0], shoonya_0sCYWB0Q4LUMGB, 5699714]
[paragraph, [76.0, 823.0, 597.0, 18.0], shoonya_0sCYWB0Q4LUMGB, 5699714]
[paragraph, [76.0, 841.0, 597.0, 18.0], shoonya_0sCYWB0Q4LUMGB, 5699714]
[paragraph, [76.0, 859.0, 597.0, 18.0], shoonya_0sCYWB0Q4LUMGB, 5699714]
[paragraph, [76.0, 877.0, 597.0, 18.0], shoonya_0sCYWB0Q4LUMGB, 5699714]
[paragraph, [76.0, 895.0, 597.0, 18.0], shoonya_0sCYWB0Q4LUMGB, 5699714]
[paragraph, [76.0, 913.0, 597.0, 18.0], shoonya_0sCYWB0Q4LUMGB, 5699714]
[paragraph, [76.0, 931.0, 597.0, 18.0], shoonya_0sCYWB0Q4LUMGB, 5699714]
[paragraph, [76.0, 949.0, 597.0, 18.0], shoonya_0sCYWB0Q4LUMGB, 5699714]
[paragraph, [76.0, 967.0, 597.0, 18.0], shoonya_0sCYWB0Q4LUMGB, 5699714]
[paragraph, [76.0, 985.0, 597.0, 18.0], shoonya_0sCYWB0Q4LUMGB, 5699714]
