[2230, 1630]
[section-title, [404.0, 105.0, 736.0, 52.5], shoonya_0sC2R50WEEILRP, 5758542]
[section-title, [404.0, 157.5, 736.0, 52.5], shoonya_0sC2R50WEEILRP, 5758542]
[paragraph, [103.0, 227.0, 1426.0, 36.0], shoonya_4sUIAPCI169RCV, 5758542]
[paragraph, [103.0, 263.0, 1426.0, 36.0], shoonya_4sUIAPCI169RCV, 5758542]
[paragraph, [103.0, 299.0, 1426.0, 36.0], shoonya_4sUIAPCI169RCV, 5758542]
[paragraph, [103.0, 335.0, 1426.0, 36.0], shoonya_4sUIAPCI169RCV, 5758542]
[paragraph, [103.0, 371.0, 1426.0, 36.0], shoonya_4sUIAPCI169RCV, 5758542]
[paragraph, [103.0, 407.0, 1426.0, 36.0], shoonya_4sUIAPCI169RCV, 5758542]
[paragraph, [95.0, 463.0, 873.0, 36.0], MiQmO5tEKX, 5758542]
[paragraph, [95.0, 499.0, 873.0, 36.0], MiQmO5tEKX, 5758542]
[paragraph, [89.0, 530.0, 1432.0, 36.0], FOvx44ne7M, 5758542]
[paragraph, [89.0, 566.0, 1432.0, 36.0], FOvx44ne7M, 5758542]
[paragraph, [89.0, 602.0, 1432.0, 36.0], FOvx44ne7M, 5758542]
[paragraph, [89.0, 638.0, 1432.0, 36.0], FOvx44ne7M, 5758542]
[paragraph, [89.0, 674.0, 1432.0, 36.0], FOvx44ne7M, 5758542]
[paragraph, [89.0, 710.0, 1432.0, 36.0], FOvx44ne7M, 5758542]
[paragraph, [89.0, 746.0, 1432.0, 36.0], FOvx44ne7M, 5758542]
[paragraph, [89.0, 782.0, 1432.0, 36.0], FOvx44ne7M, 5758542]
[paragraph, [89.0, 818.0, 1432.0, 36.0], FOvx44ne7M, 5758542]
[paragraph, [89.0, 854.0, 1432.0, 36.0], FOvx44ne7M, 5758542]
[paragraph, [75.0, 899.0, 1228.0, 36.0], wUboZrsUhF, 5758542]
[paragraph, [75.0, 935.0, 1228.0, 36.0], wUboZrsUhF, 5758542]
[paragraph, [93.0, 977.0, 1487.0, 36.0], IFvM8uslhj, 5758542]
[paragraph, [93.0, 1013.0, 1487.0, 36.0], IFvM8uslhj, 5758542]
[paragraph, [93.0, 1049.0, 1487.0, 36.0], IFvM8uslhj, 5758542]
[paragraph, [93.0, 1085.0, 1487.0, 36.0], IFvM8uslhj, 5758542]
