[2000, 1414]
[folio, [1191.0, 107.0, 100.0, 36.0], 4-9KzkKvT4, 6491635]
[headline, [415.0, 242.0, 591.0, 67.5], shoonya_4sSX0OL89N30JL, 6491635]
[paragraph, [111.0, 360.0, 701.0, 36.0], shoonya_0sNRMTGNHZT7E4, 6491635]
[paragraph, [111.0, 396.0, 701.0, 36.0], shoonya_0sNRMTGNHZT7E4, 6491635]
[paragraph, [111.0, 432.0, 701.0, 36.0], shoonya_0sNRMTGNHZT7E4, 6491635]
[paragraph, [111.0, 468.0, 701.0, 36.0], shoonya_0sNRMTGNHZT7E4, 6491635]
[paragraph, [111.0, 504.0, 701.0, 36.0], shoonya_0sNRMTGNHZT7E4, 6491635]
[paragraph, [111.0, 540.0, 701.0, 36.0], shoonya_0sNRMTGNHZT7E4, 6491635]
[paragraph, [111.0, 576.0, 701.0, 36.0], shoonya_0sNRMTGNHZT7E4, 6491635]
[paragraph, [111.0, 612.0, 701.0, 36.0], shoonya_0sNRMTGNHZT7E4, 6491635]
[paragraph, [111.0, 648.0, 701.0, 36.0], shoonya_0sNRMTGNHZT7E4, 6491635]
[author, [129.0, 1848.0, 284.0, 36.0], U-BJP2MjqH, 6491635]
