[1230, 750]
[folio, [290.0, 34.0, 360.0, 18.0], 8qyWIlYRC9, 6468715]
[paragraph, [48.0, 84.0, 600.0, 18.0], shoonya_0sSXKOY3564QMV, 6468715]
[paragraph, [48.0, 102.0, 600.0, 18.0], shoonya_0sSXKOY3564QMV, 6468715]
[paragraph, [48.0, 120.0, 600.0, 18.0], shoonya_0sSXKOY3564QMV, 6468715]
[paragraph, [48.0, 138.0, 600.0, 18.0], shoonya_0sSXKOY3564QMV, 6468715]
[paragraph, [48.0, 156.0, 600.0, 18.0], shoonya_0sSXKOY3564QMV, 6468715]
[paragraph, [48.0, 174.0, 600.0, 18.0], shoonya_0sSXKOY3564QMV, 6468715]
[paragraph, [48.0, 192.0, 600.0, 18.0], shoonya_0sSXKOY3564QMV, 6468715]
[paragraph, [48.0, 210.0, 600.0, 18.0], shoonya_0sSXKOY3564QMV, 6468715]
[paragraph, [48.0, 228.0, 600.0, 18.0], shoonya_0sSXKOY3564QMV, 6468715]
[paragraph, [48.0, 246.0, 600.0, 18.0], shoonya_0sSXKOY3564QMV, 6468715]
[paragraph, [48.0, 264.0, 600.0, 18.0], shoonya_0sSXKOY3564QMV, 6468715]
[paragraph, [45.0, 289.0, 600.0, 18.0], bZiQVrdyP1, 6468715]
[paragraph, [45.0, 307.0, 600.0, 18.0], bZiQVrdyP1, 6468715]
[paragraph, [45.0, 325.0, 600.0, 18.0], bZiQVrdyP1, 6468715]
[paragraph, [45.0, 343.0, 600.0, 18.0], bZiQVrdyP1, 6468715]
[paragraph, [45.0, 361.0, 600.0, 18.0], bZiQVrdyP1, 6468715]
[paragraph, [45.0, 379.0, 600.0, 18.0], bZiQVrdyP1, 6468715]
[paragraph, [45.0, 397.0, 600.0, 18.0], bZiQVrdyP1, 6468715]
[paragraph, [45.0, 415.0, 600.0, 18.0], bZiQVrdyP1, 6468715]
[paragraph, [45.0, 433.0, 600.0, 18.0], bZiQVrdyP1, 6468715]
[paragraph, [45.0, 451.0, 600.0, 18.0], bZiQVrdyP1, 6468715]
[paragraph, [45.0, 469.0, 600.0, 18.0], bZiQVrdyP1, 6468715]
[paragraph, [45.0, 487.0, 600.0, 18.0], bZiQVrdyP1, 6468715]
[paragraph, [45.0, 505.0, 600.0, 18.0], bZiQVrdyP1, 6468715]
[paragraph, [45.0, 523.0, 600.0, 18.0], bZiQVrdyP1, 6468715]
[paragraph, [45.0, 541.0, 600.0, 18.0], bZiQVrdyP1, 6468715]
[paragraph, [45.0, 559.0, 600.0, 18.0], bZiQVrdyP1, 6468715]
[paragraph, [45.0, 577.0, 600.0, 18.0], bZiQVrdyP1, 6468715]
[paragraph, [45.0, 595.0, 600.0, 18.0], bZiQVrdyP1, 6468715]
[paragraph, [45.0, 613.0, 600.0, 18.0], bZiQVrdyP1, 6468715]
[paragraph, [45.0, 631.0, 600.0, 18.0], bZiQVrdyP1, 6468715]
[paragraph, [45.0, 649.0, 600.0, 18.0], bZiQVrdyP1, 6468715]
[paragraph, [45.0, 667.0, 600.0, 18.0], bZiQVrdyP1, 6468715]
[paragraph, [45.0, 685.0, 600.0, 18.0], bZiQVrdyP1, 6468715]
[paragraph, [45.0, 703.0, 600.0, 18.0], bZiQVrdyP1, 6468715]
[paragraph, [45.0, 721.0, 600.0, 18.0], bZiQVrdyP1, 6468715]
[paragraph, [45.0, 739.0, 600.0, 18.0], bZiQVrdyP1, 6468715]
[paragraph, [46.0, 772.0, 602.0, 18.0], F2W9NHLCMD, 6468715]
[paragraph, [46.0, 790.0, 602.0, 18.0], F2W9NHLCMD, 6468715]
[paragraph, [46.0, 808.0, 602.0, 18.0], F2W9NHLCMD, 6468715]
[paragraph, [46.0, 826.0, 602.0, 18.0], F2W9NHLCMD, 6468715]
[paragraph, [46.0, 844.0, 602.0, 18.0], F2W9NHLCMD, 6468715]
[paragraph, [46.0, 862.0, 602.0, 18.0], F2W9NHLCMD, 6468715]
[paragraph, [46.0, 880.0, 602.0, 18.0], F2W9NHLCMD, 6468715]
[paragraph, [46.0, 898.0, 602.0, 18.0], F2W9NHLCMD, 6468715]
[paragraph, [46.0, 916.0, 602.0, 18.0], F2W9NHLCMD, 6468715]
[paragraph, [46.0, 934.0, 602.0, 18.0], F2W9NHLCMD, 6468715]
[paragraph, [46.0, 952.0, 602.0, 18.0], F2W9NHLCMD, 6468715]
[paragraph, [46.0, 970.0, 602.0, 18.0], F2W9NHLCMD, 6468715]
[paragraph, [46.0, 988.0, 602.0, 18.0], F2W9NHLCMD, 6468715]
[paragraph, [46.0, 1006.0, 602.0, 18.0], F2W9NHLCMD, 6468715]
[paragraph, [46.0, 1024.0, 602.0, 18.0], F2W9NHLCMD, 6468715]
[paragraph, [46.0, 1042.0, 602.0, 18.0], F2W9NHLCMD, 6468715]
[paragraph, [46.0, 1060.0, 602.0, 18.0], F2W9NHLCMD, 6468715]
[paragraph, [46.0, 1078.0, 602.0, 18.0], F2W9NHLCMD, 6468715]
