[842, 595]
[folio, [178.0, 59.0, 249.0, 18.0], sBA3Z8qZQM, 5772665]
[unordered-list, [90.0, 93.0, 454.0, 18.0], K9GQuFf7O7, 5772665]
[unordered-list, [90.0, 111.0, 454.0, 18.0], K9GQuFf7O7, 5772665]
[unordered-list, [90.0, 129.0, 454.0, 18.0], K9GQuFf7O7, 5772665]
[unordered-list, [90.0, 147.0, 454.0, 18.0], K9GQuFf7O7, 5772665]
[unordered-list, [90.0, 165.0, 454.0, 18.0], K9GQuFf7O7, 5772665]
[unordered-list, [90.0, 183.0, 454.0, 18.0], K9GQuFf7O7, 5772665]
[unordered-list, [90.0, 201.0, 454.0, 18.0], K9GQuFf7O7, 5772665]
[unordered-list, [90.0, 219.0, 454.0, 18.0], K9GQuFf7O7, 5772665]
[unordered-list, [90.0, 237.0, 454.0, 18.0], K9GQuFf7O7, 5772665]
[unordered-list, [90.0, 255.0, 454.0, 18.0], K9GQuFf7O7, 5772665]
[unordered-list, [90.0, 273.0, 454.0, 18.0], K9GQuFf7O7, 5772665]
[unordered-list, [90.0, 291.0, 454.0, 18.0], K9GQuFf7O7, 5772665]
[unordered-list, [90.0, 309.0, 454.0, 18.0], K9GQuFf7O7, 5772665]
[unordered-list, [90.0, 327.0, 454.0, 18.0], K9GQuFf7O7, 5772665]
[unordered-list, [90.0, 345.0, 454.0, 18.0], K9GQuFf7O7, 5772665]
[unordered-list, [90.0, 363.0, 454.0, 18.0], K9GQuFf7O7, 5772665]
[unordered-list, [90.0, 381.0, 454.0, 18.0], K9GQuFf7O7, 5772665]
[unordered-list, [90.0, 399.0, 454.0, 18.0], K9GQuFf7O7, 5772665]
[unordered-list, [90.0, 417.0, 454.0, 18.0], K9GQuFf7O7, 5772665]
[unordered-list, [90.0, 435.0, 454.0, 18.0], K9GQuFf7O7, 5772665]
[unordered-list, [90.0, 453.0, 454.0, 18.0], K9GQuFf7O7, 5772665]
[ordered-list, [159.0, 181.0, 380.0, 18.0], LzPaR92w8y, 5772665]
[ordered-list, [159.0, 199.0, 380.0, 18.0], LzPaR92w8y, 5772665]
[ordered-list, [159.0, 217.0, 380.0, 18.0], LzPaR92w8y, 5772665]
[ordered-list, [159.0, 235.0, 380.0, 18.0], LzPaR92w8y, 5772665]
[ordered-list, [159.0, 253.0, 380.0, 18.0], LzPaR92w8y, 5772665]
[ordered-list, [159.0, 271.0, 380.0, 18.0], LzPaR92w8y, 5772665]
[ordered-list, [159.0, 289.0, 380.0, 18.0], LzPaR92w8y, 5772665]
[ordered-list, [159.0, 307.0, 380.0, 18.0], LzPaR92w8y, 5772665]
[ordered-list, [159.0, 325.0, 380.0, 18.0], LzPaR92w8y, 5772665]
[unordered-list, [101.0, 531.0, 443.0, 18.0], shoonya_5sQCU1I8MG8T0O, 5772665]
[unordered-list, [101.0, 549.0, 443.0, 18.0], shoonya_5sQCU1I8MG8T0O, 5772665]
[unordered-list, [101.0, 567.0, 443.0, 18.0], shoonya_5sQCU1I8MG8T0O, 5772665]
[unordered-list, [101.0, 585.0, 443.0, 18.0], shoonya_5sQCU1I8MG8T0O, 5772665]
[unordered-list, [101.0, 603.0, 443.0, 18.0], shoonya_5sQCU1I8MG8T0O, 5772665]
[unordered-list, [101.0, 621.0, 443.0, 18.0], shoonya_5sQCU1I8MG8T0O, 5772665]
[unordered-list, [101.0, 639.0, 443.0, 18.0], shoonya_5sQCU1I8MG8T0O, 5772665]
[unordered-list, [101.0, 657.0, 443.0, 18.0], shoonya_5sQCU1I8MG8T0O, 5772665]
[unordered-list, [101.0, 675.0, 443.0, 18.0], shoonya_5sQCU1I8MG8T0O, 5772665]
[unordered-list, [101.0, 693.0, 443.0, 18.0], shoonya_5sQCU1I8MG8T0O, 5772665]
[unordered-list, [101.0, 711.0, 443.0, 18.0], shoonya_5sQCU1I8MG8T0O, 5772665]
