[2200, 1700]
[section-title, [184.0, 182.0, 492.0, 52.5], o89XDpBpTI, 5658971]
[unordered-list, [216.0, 276.0, 1337.0, 36.0], shoonya_1sDG8CW91R47Z9, 5658971]
[unordered-list, [216.0, 312.0, 1337.0, 36.0], shoonya_1sDG8CW91R47Z9, 5658971]
[unordered-list, [216.0, 348.0, 1337.0, 36.0], shoonya_1sDG8CW91R47Z9, 5658971]
[unordered-list, [216.0, 384.0, 1337.0, 36.0], shoonya_1sDG8CW91R47Z9, 5658971]
[unordered-list, [216.0, 420.0, 1337.0, 36.0], shoonya_1sDG8CW91R47Z9, 5658971]
[unordered-list, [216.0, 456.0, 1337.0, 36.0], shoonya_1sDG8CW91R47Z9, 5658971]
[unordered-list, [216.0, 492.0, 1337.0, 36.0], shoonya_1sDG8CW91R47Z9, 5658971]
[unordered-list, [216.0, 528.0, 1337.0, 36.0], shoonya_1sDG8CW91R47Z9, 5658971]
[unordered-list, [216.0, 564.0, 1337.0, 36.0], shoonya_1sDG8CW91R47Z9, 5658971]
[unordered-list, [216.0, 600.0, 1337.0, 36.0], shoonya_1sDG8CW91R47Z9, 5658971]
[unordered-list, [216.0, 636.0, 1337.0, 36.0], shoonya_1sDG8CW91R47Z9, 5658971]
[unordered-list, [216.0, 672.0, 1337.0, 36.0], shoonya_1sDG8CW91R47Z9, 5658971]
[unordered-list, [216.0, 708.0, 1337.0, 36.0], shoonya_1sDG8CW91R47Z9, 5658971]
[unordered-list, [216.0, 744.0, 1337.0, 36.0], shoonya_1sDG8CW91R47Z9, 5658971]
[unordered-list, [216.0, 780.0, 1337.0, 36.0], shoonya_1sDG8CW91R47Z9, 5658971]
[unordered-list, [216.0, 816.0, 1337.0, 36.0], shoonya_1sDG8CW91R47Z9, 5658971]
[unordered-list, [216.0, 852.0, 1337.0, 36.0], shoonya_1sDG8CW91R47Z9, 5658971]
[section-title, [175.0, 991.0, 1356.0, 52.5], shoonya_2sZCGCZL1YN6LE, 5658971]
[section-title, [175.0, 1043.5, 1356.0, 52.5], shoonya_2sZCGCZL1YN6LE, 5658971]
[unordered-list, [214.0, 1147.0, 1311.0, 36.0], shoonya_0sRE4OSL5IEEJ1, 5658971]
[unordered-list, [214.0, 1183.0, 1311.0, 36.0], shoonya_0sRE4OSL5IEEJ1, 5658971]
[unordered-list, [214.0, 1219.0, 1311.0, 36.0], shoonya_0sRE4OSL5IEEJ1, 5658971]
[unordered-list, [214.0, 1255.0, 1311.0, 36.0], shoonya_0sRE4OSL5IEEJ1, 5658971]
[unordered-list, [214.0, 1291.0, 1311.0, 36.0], shoonya_0sRE4OSL5IEEJ1, 5658971]
[unordered-list, [214.0, 1327.0, 1311.0, 36.0], shoonya_0sRE4OSL5IEEJ1, 5658971]
[unordered-list, [214.0, 1363.0, 1311.0, 36.0], shoonya_0sRE4OSL5IEEJ1, 5658971]
[unordered-list, [214.0, 1399.0, 1311.0, 36.0], shoonya_0sRE4OSL5IEEJ1, 5658971]
[unordered-list, [214.0, 1435.0, 1311.0, 36.0], shoonya_0sRE4OSL5IEEJ1, 5658971]
[unordered-list, [214.0, 1471.0, 1311.0, 36.0], shoonya_0sRE4OSL5IEEJ1, 5658971]
[unordered-list, [214.0, 1507.0, 1311.0, 36.0], shoonya_0sRE4OSL5IEEJ1, 5658971]
[unordered-list, [214.0, 1543.0, 1311.0, 36.0], shoonya_0sRE4OSL5IEEJ1, 5658971]
[unordered-list, [214.0, 1579.0, 1311.0, 36.0], shoonya_0sRE4OSL5IEEJ1, 5658971]
[unordered-list, [214.0, 1615.0, 1311.0, 36.0], shoonya_0sRE4OSL5IEEJ1, 5658971]
[unordered-list, [214.0, 1651.0, 1311.0, 36.0], shoonya_0sRE4OSL5IEEJ1, 5658971]
[unordered-list, [214.0, 1687.0, 1311.0, 36.0], shoonya_0sRE4OSL5IEEJ1, 5658971]
