[578, 1154]
[section-title, [630.0, 81.0, 390.0, 30.0], -BJmHveHCW, 5715596]
[paragraph, [630.0, 117.0, 384.0, 18.0], HIhyYSo1rc, 5715596]
[paragraph, [630.0, 135.0, 384.0, 18.0], HIhyYSo1rc, 5715596]
[paragraph, [630.0, 153.0, 384.0, 18.0], HIhyYSo1rc, 5715596]
[paragraph, [630.0, 171.0, 384.0, 18.0], HIhyYSo1rc, 5715596]
[paragraph, [630.0, 189.0, 384.0, 18.0], HIhyYSo1rc, 5715596]
[paragraph, [630.0, 209.0, 420.0, 18.0], LZr3BBHSzg, 5715596]
[paragraph, [630.0, 227.0, 420.0, 18.0], LZr3BBHSzg, 5715596]
[paragraph, [624.0, 279.0, 398.0, 18.0], pNYQHbhjes, 5715596]
[paragraph, [624.0, 297.0, 398.0, 18.0], pNYQHbhjes, 5715596]
[paragraph, [624.0, 315.0, 398.0, 18.0], pNYQHbhjes, 5715596]
[paragraph, [624.0, 356.0, 398.0, 18.0], fI9omsDuhV, 5715596]
[paragraph, [624.0, 374.0, 398.0, 18.0], fI9omsDuhV, 5715596]
[paragraph, [624.0, 392.0, 398.0, 18.0], fI9omsDuhV, 5715596]
[paragraph, [624.0, 410.0, 398.0, 18.0], fI9omsDuhV, 5715596]
[footnote, [41.0, 540.0, 289.0, 18.0], Yob3p0VXcz, 5715596]
