[648, 414]
[paragraph, [50.0, 94.0, 313.0, 18.0], shoonya_0s4SKPTF3GXKF8, 6516265]
[paragraph, [50.0, 112.0, 313.0, 18.0], shoonya_0s4SKPTF3GXKF8, 6516265]
[paragraph, [50.0, 130.0, 313.0, 18.0], shoonya_0s4SKPTF3GXKF8, 6516265]
[paragraph, [50.0, 148.0, 313.0, 18.0], shoonya_0s4SKPTF3GXKF8, 6516265]
[paragraph, [50.0, 166.0, 313.0, 18.0], shoonya_0s4SKPTF3GXKF8, 6516265]
[paragraph, [50.0, 184.0, 313.0, 18.0], shoonya_0s4SKPTF3GXKF8, 6516265]
[paragraph, [50.0, 202.0, 313.0, 18.0], shoonya_0s4SKPTF3GXKF8, 6516265]
[paragraph, [50.0, 220.0, 313.0, 18.0], shoonya_0s4SKPTF3GXKF8, 6516265]
[paragraph, [50.0, 238.0, 313.0, 18.0], shoonya_0s4SKPTF3GXKF8, 6516265]
[paragraph, [50.0, 256.0, 313.0, 18.0], shoonya_0s4SKPTF3GXKF8, 6516265]
[paragraph, [50.0, 274.0, 313.0, 18.0], shoonya_0s4SKPTF3GXKF8, 6516265]
[paragraph, [50.0, 292.0, 313.0, 18.0], shoonya_0s4SKPTF3GXKF8, 6516265]
[paragraph, [50.0, 310.0, 313.0, 18.0], shoonya_0s4SKPTF3GXKF8, 6516265]
[paragraph, [50.0, 328.0, 313.0, 18.0], shoonya_0s4SKPTF3GXKF8, 6516265]
[paragraph, [50.0, 346.0, 313.0, 18.0], shoonya_0s4SKPTF3GXKF8, 6516265]
[paragraph, [50.0, 364.0, 313.0, 18.0], shoonya_0s4SKPTF3GXKF8, 6516265]
[paragraph, [54.0, 396.0, 308.0, 18.0], 6qOS0aU6rb, 6516265]
[paragraph, [54.0, 414.0, 308.0, 18.0], 6qOS0aU6rb, 6516265]
