[1388, 886]
[folio, [37.0, 66.0, 144.0, 18.0], shoonya_4sMYHTLZS6OBXY, 5742694]
[folio, [380.0, 66.0, 118.0, 18.0], shoonya_2sSM7ISMXZ12RN, 5742694]
[paragraph, [35.0, 122.0, 399.0, 18.0], shoonya_3sH651UWF256AR, 5742694]
[paragraph, [35.0, 140.0, 399.0, 18.0], shoonya_3sH651UWF256AR, 5742694]
[paragraph, [35.0, 158.0, 399.0, 18.0], shoonya_3sH651UWF256AR, 5742694]
[paragraph, [35.0, 176.0, 399.0, 18.0], shoonya_3sH651UWF256AR, 5742694]
[paragraph, [35.0, 194.0, 399.0, 18.0], shoonya_3sH651UWF256AR, 5742694]
[paragraph, [35.0, 212.0, 399.0, 18.0], shoonya_3sH651UWF256AR, 5742694]
[paragraph, [35.0, 230.0, 399.0, 18.0], shoonya_3sH651UWF256AR, 5742694]
[paragraph, [35.0, 248.0, 399.0, 18.0], shoonya_3sH651UWF256AR, 5742694]
[paragraph, [35.0, 266.0, 399.0, 18.0], shoonya_3sH651UWF256AR, 5742694]
[paragraph, [35.0, 284.0, 399.0, 18.0], shoonya_3sH651UWF256AR, 5742694]
[paragraph, [35.0, 302.0, 399.0, 18.0], shoonya_3sH651UWF256AR, 5742694]
[paragraph, [35.0, 320.0, 399.0, 18.0], shoonya_3sH651UWF256AR, 5742694]
[paragraph, [35.0, 338.0, 399.0, 18.0], shoonya_3sH651UWF256AR, 5742694]
[paragraph, [35.0, 356.0, 399.0, 18.0], shoonya_3sH651UWF256AR, 5742694]
[paragraph, [35.0, 374.0, 399.0, 18.0], shoonya_3sH651UWF256AR, 5742694]
[paragraph, [35.0, 392.0, 399.0, 18.0], shoonya_3sH651UWF256AR, 5742694]
[paragraph, [35.0, 410.0, 399.0, 18.0], shoonya_3sH651UWF256AR, 5742694]
[paragraph, [35.0, 428.0, 399.0, 18.0], shoonya_3sH651UWF256AR, 5742694]
[paragraph, [35.0, 446.0, 399.0, 18.0], shoonya_3sH651UWF256AR, 5742694]
[paragraph, [35.0, 464.0, 399.0, 18.0], shoonya_3sH651UWF256AR, 5742694]
[paragraph, [35.0, 482.0, 399.0, 18.0], shoonya_3sH651UWF256AR, 5742694]
[paragraph, [35.0, 500.0, 399.0, 18.0], shoonya_3sH651UWF256AR, 5742694]
[paragraph, [35.0, 518.0, 399.0, 18.0], shoonya_3sH651UWF256AR, 5742694]
[paragraph, [35.0, 536.0, 399.0, 18.0], shoonya_3sH651UWF256AR, 5742694]
[paragraph, [35.0, 554.0, 399.0, 18.0], shoonya_3sH651UWF256AR, 5742694]
[paragraph, [35.0, 572.0, 399.0, 18.0], shoonya_3sH651UWF256AR, 5742694]
[paragraph, [35.0, 590.0, 399.0, 18.0], shoonya_3sH651UWF256AR, 5742694]
[paragraph, [35.0, 608.0, 399.0, 18.0], shoonya_3sH651UWF256AR, 5742694]
[paragraph, [35.0, 626.0, 399.0, 18.0], shoonya_3sH651UWF256AR, 5742694]
[paragraph, [35.0, 644.0, 399.0, 18.0], shoonya_3sH651UWF256AR, 5742694]
[paragraph, [35.0, 662.0, 399.0, 18.0], shoonya_3sH651UWF256AR, 5742694]
[paragraph, [35.0, 680.0, 399.0, 18.0], shoonya_3sH651UWF256AR, 5742694]
[paragraph, [35.0, 698.0, 399.0, 18.0], shoonya_3sH651UWF256AR, 5742694]
[paragraph, [35.0, 716.0, 399.0, 18.0], shoonya_3sH651UWF256AR, 5742694]
[paragraph, [35.0, 734.0, 399.0, 18.0], shoonya_3sH651UWF256AR, 5742694]
[paragraph, [35.0, 752.0, 399.0, 18.0], shoonya_3sH651UWF256AR, 5742694]
[paragraph, [35.0, 770.0, 399.0, 18.0], shoonya_3sH651UWF256AR, 5742694]
[paragraph, [35.0, 788.0, 399.0, 18.0], shoonya_3sH651UWF256AR, 5742694]
[paragraph, [35.0, 806.0, 399.0, 18.0], shoonya_3sH651UWF256AR, 5742694]
[paragraph, [35.0, 824.0, 399.0, 18.0], shoonya_3sH651UWF256AR, 5742694]
[paragraph, [35.0, 842.0, 399.0, 18.0], shoonya_3sH651UWF256AR, 5742694]
[paragraph, [35.0, 860.0, 399.0, 18.0], shoonya_3sH651UWF256AR, 5742694]
[paragraph, [35.0, 878.0, 399.0, 18.0], shoonya_3sH651UWF256AR, 5742694]
[paragraph, [35.0, 896.0, 399.0, 18.0], shoonya_3sH651UWF256AR, 5742694]
[paragraph, [35.0, 914.0, 399.0, 18.0], shoonya_3sH651UWF256AR, 5742694]
[paragraph, [35.0, 932.0, 399.0, 18.0], shoonya_3sH651UWF256AR, 5742694]
[paragraph, [35.0, 950.0, 399.0, 18.0], shoonya_3sH651UWF256AR, 5742694]
[paragraph, [35.0, 968.0, 399.0, 18.0], shoonya_3sH651UWF256AR, 5742694]
