[872, 605]
[folio, [425.0, 32.0, 126.0, 18.0], od3RTm3rTi, 6457091]
[paragraph, [53.0, 67.0, 195.0, 18.0], shoonya_6sHTD8AJ5ITT72, 6457091]
[paragraph, [303.0, 76.0, 249.0, 18.0], shoonya_5s766VB301BNX4, 6457091]
[paragraph, [303.0, 94.0, 249.0, 18.0], shoonya_5s766VB301BNX4, 6457091]
[paragraph, [303.0, 112.0, 249.0, 18.0], shoonya_5s766VB301BNX4, 6457091]
[paragraph, [50.0, 97.0, 251.0, 18.0], shoonya_7sDKGBB9V4OL1W, 6457091]
[paragraph, [50.0, 115.0, 251.0, 18.0], shoonya_7sDKGBB9V4OL1W, 6457091]
[paragraph, [305.0, 148.0, 246.0, 18.0], wCTJFFB_BX, 6457091]
[paragraph, [305.0, 166.0, 246.0, 18.0], wCTJFFB_BX, 6457091]
[paragraph, [305.0, 184.0, 246.0, 18.0], wCTJFFB_BX, 6457091]
[paragraph, [305.0, 202.0, 246.0, 18.0], wCTJFFB_BX, 6457091]
[paragraph, [50.0, 150.0, 252.0, 18.0], shoonya_1sOHF8C5YXB4R3, 6457091]
[paragraph, [50.0, 168.0, 252.0, 18.0], shoonya_1sOHF8C5YXB4R3, 6457091]
[paragraph, [50.0, 186.0, 252.0, 18.0], shoonya_1sOHF8C5YXB4R3, 6457091]
[paragraph, [50.0, 204.0, 252.0, 18.0], shoonya_1sOHF8C5YXB4R3, 6457091]
[paragraph, [50.0, 222.0, 252.0, 18.0], shoonya_1sOHF8C5YXB4R3, 6457091]
[paragraph, [50.0, 240.0, 252.0, 18.0], shoonya_1sOHF8C5YXB4R3, 6457091]
[paragraph, [50.0, 258.0, 252.0, 18.0], shoonya_1sOHF8C5YXB4R3, 6457091]
[paragraph, [50.0, 276.0, 252.0, 18.0], shoonya_1sOHF8C5YXB4R3, 6457091]
[paragraph, [50.0, 294.0, 252.0, 18.0], shoonya_1sOHF8C5YXB4R3, 6457091]
[paragraph, [50.0, 312.0, 252.0, 18.0], shoonya_1sOHF8C5YXB4R3, 6457091]
[paragraph, [50.0, 330.0, 252.0, 18.0], shoonya_1sOHF8C5YXB4R3, 6457091]
[paragraph, [313.0, 220.0, 133.0, 18.0], sol2facJRR, 6457091]
[paragraph, [302.0, 243.0, 246.0, 18.0], reJD5gU4n5, 6457091]
[paragraph, [301.0, 264.0, 236.0, 18.0], XigHTdGQ4Y, 6457091]
[paragraph, [301.0, 282.0, 236.0, 18.0], XigHTdGQ4Y, 6457091]
[paragraph, [302.0, 301.0, 249.0, 18.0], re0xPsutUN, 6457091]
[paragraph, [302.0, 319.0, 249.0, 18.0], re0xPsutUN, 6457091]
[paragraph, [302.0, 337.0, 249.0, 18.0], re0xPsutUN, 6457091]
[paragraph, [302.0, 355.0, 249.0, 18.0], re0xPsutUN, 6457091]
[paragraph, [302.0, 373.0, 249.0, 18.0], re0xPsutUN, 6457091]
[paragraph, [302.0, 391.0, 249.0, 18.0], re0xPsutUN, 6457091]
[paragraph, [302.0, 409.0, 249.0, 18.0], re0xPsutUN, 6457091]
[paragraph, [302.0, 427.0, 249.0, 18.0], re0xPsutUN, 6457091]
[paragraph, [302.0, 445.0, 249.0, 18.0], re0xPsutUN, 6457091]
[paragraph, [53.0, 358.0, 251.0, 18.0], shoonya_4sIZURYXTWZLTQ, 6457091]
[paragraph, [53.0, 376.0, 251.0, 18.0], shoonya_4sIZURYXTWZLTQ, 6457091]
[paragraph, [54.0, 398.0, 248.0, 18.0], shoonya_2s7KO4CGG1P7UB, 6457091]
[paragraph, [54.0, 416.0, 248.0, 18.0], shoonya_2s7KO4CGG1P7UB, 6457091]
[paragraph, [54.0, 434.0, 248.0, 18.0], shoonya_2s7KO4CGG1P7UB, 6457091]
[paragraph, [54.0, 452.0, 248.0, 18.0], shoonya_2s7KO4CGG1P7UB, 6457091]
[paragraph, [54.0, 470.0, 248.0, 18.0], shoonya_2s7KO4CGG1P7UB, 6457091]
[paragraph, [54.0, 488.0, 248.0, 18.0], shoonya_2s7KO4CGG1P7UB, 6457091]
[paragraph, [302.0, 477.0, 248.0, 18.0], FNjDkvjZMj, 6457091]
[paragraph, [302.0, 495.0, 248.0, 18.0], FNjDkvjZMj, 6457091]
[paragraph, [302.0, 513.0, 248.0, 18.0], FNjDkvjZMj, 6457091]
[paragraph, [302.0, 531.0, 248.0, 18.0], FNjDkvjZMj, 6457091]
[paragraph, [302.0, 549.0, 248.0, 18.0], FNjDkvjZMj, 6457091]
[paragraph, [57.0, 522.0, 245.0, 18.0], shoonya_3sH9FEDZF3YF22, 6457091]
[paragraph, [57.0, 540.0, 245.0, 18.0], shoonya_3sH9FEDZF3YF22, 6457091]
[paragraph, [52.0, 559.0, 250.0, 18.0], shoonya_8sM40C13O5K0YX, 6457091]
[paragraph, [304.0, 568.0, 251.0, 18.0], wM4oIqgfGA, 6457091]
[paragraph, [304.0, 586.0, 251.0, 18.0], wM4oIqgfGA, 6457091]
[paragraph, [54.0, 583.0, 250.0, 18.0], TPzZkRRx8z, 6457091]
[paragraph, [55.0, 603.0, 220.0, 18.0], 8PZehwLSi3, 6457091]
[paragraph, [302.0, 624.0, 252.0, 18.0], 5SbfpKfdUR, 6457091]
[paragraph, [302.0, 642.0, 252.0, 18.0], 5SbfpKfdUR, 6457091]
[paragraph, [55.0, 625.0, 250.0, 18.0], Zz2F5GDGmp, 6457091]
[paragraph, [55.0, 643.0, 250.0, 18.0], Zz2F5GDGmp, 6457091]
[paragraph, [55.0, 661.0, 250.0, 18.0], Zz2F5GDGmp, 6457091]
[paragraph, [55.0, 679.0, 250.0, 18.0], Zz2F5GDGmp, 6457091]
[paragraph, [55.0, 697.0, 250.0, 18.0], Zz2F5GDGmp, 6457091]
[paragraph, [304.0, 660.0, 247.0, 18.0], sal2TwTq6J, 6457091]
[paragraph, [303.0, 683.0, 252.0, 18.0], wqezIfAWVS, 6457091]
[paragraph, [303.0, 701.0, 252.0, 18.0], wqezIfAWVS, 6457091]
[paragraph, [303.0, 719.0, 252.0, 18.0], wqezIfAWVS, 6457091]
[paragraph, [303.0, 737.0, 252.0, 18.0], wqezIfAWVS, 6457091]
[reference, [56.0, 723.0, 248.0, 18.0], 3AxEKZLJN0, 6457091]
[reference, [56.0, 741.0, 248.0, 18.0], 3AxEKZLJN0, 6457091]
[reference, [56.0, 759.0, 248.0, 18.0], 3AxEKZLJN0, 6457091]
[reference, [56.0, 777.0, 248.0, 18.0], 3AxEKZLJN0, 6457091]
[reference, [56.0, 795.0, 248.0, 18.0], 3AxEKZLJN0, 6457091]
[reference, [305.0, 796.0, 248.0, 18.0], cFJRnX3YNR, 6457091]
[reference, [305.0, 814.0, 248.0, 18.0], cFJRnX3YNR, 6457091]
