[1755, 1240]
[paragraph, [181.0, 175.0, 505.0, 36.0], 7OVIgP6ccu, 5729635]
[paragraph, [181.0, 211.0, 505.0, 36.0], 7OVIgP6ccu, 5729635]
[paragraph, [181.0, 247.0, 505.0, 36.0], 7OVIgP6ccu, 5729635]
[paragraph, [181.0, 283.0, 505.0, 36.0], 7OVIgP6ccu, 5729635]
[paragraph, [181.0, 319.0, 505.0, 36.0], 7OVIgP6ccu, 5729635]
[paragraph, [181.0, 355.0, 505.0, 36.0], 7OVIgP6ccu, 5729635]
[paragraph, [181.0, 391.0, 505.0, 36.0], 7OVIgP6ccu, 5729635]
[paragraph, [181.0, 427.0, 505.0, 36.0], 7OVIgP6ccu, 5729635]
[paragraph, [181.0, 463.0, 505.0, 36.0], 7OVIgP6ccu, 5729635]
[paragraph, [181.0, 499.0, 505.0, 36.0], 7OVIgP6ccu, 5729635]
[paragraph, [181.0, 535.0, 505.0, 36.0], 7OVIgP6ccu, 5729635]
[paragraph, [181.0, 571.0, 505.0, 36.0], 7OVIgP6ccu, 5729635]
[paragraph, [181.0, 607.0, 505.0, 36.0], 7OVIgP6ccu, 5729635]
[paragraph, [181.0, 643.0, 505.0, 36.0], 7OVIgP6ccu, 5729635]
[paragraph, [181.0, 679.0, 505.0, 36.0], 7OVIgP6ccu, 5729635]
[paragraph, [181.0, 715.0, 505.0, 36.0], 7OVIgP6ccu, 5729635]
[paragraph, [158.0, 806.0, 595.0, 36.0], SsqKfJAB1V, 5729635]
[paragraph, [158.0, 842.0, 595.0, 36.0], SsqKfJAB1V, 5729635]
[paragraph, [158.0, 878.0, 595.0, 36.0], SsqKfJAB1V, 5729635]
[paragraph, [158.0, 914.0, 595.0, 36.0], SsqKfJAB1V, 5729635]
[paragraph, [158.0, 950.0, 595.0, 36.0], SsqKfJAB1V, 5729635]
[paragraph, [158.0, 986.0, 595.0, 36.0], SsqKfJAB1V, 5729635]
[paragraph, [158.0, 1022.0, 595.0, 36.0], SsqKfJAB1V, 5729635]
[paragraph, [158.0, 1058.0, 595.0, 36.0], SsqKfJAB1V, 5729635]
[paragraph, [158.0, 1094.0, 595.0, 36.0], SsqKfJAB1V, 5729635]
[paragraph, [201.0, 1207.0, 494.0, 36.0], z-LED3It0u, 5729635]
[paragraph, [201.0, 1243.0, 494.0, 36.0], z-LED3It0u, 5729635]
[paragraph, [201.0, 1279.0, 494.0, 36.0], z-LED3It0u, 5729635]
[paragraph, [201.0, 1315.0, 494.0, 36.0], z-LED3It0u, 5729635]
[paragraph, [201.0, 1351.0, 494.0, 36.0], z-LED3It0u, 5729635]
[paragraph, [201.0, 1387.0, 494.0, 36.0], z-LED3It0u, 5729635]
[paragraph, [201.0, 1423.0, 494.0, 36.0], z-LED3It0u, 5729635]
[paragraph, [201.0, 1459.0, 494.0, 36.0], z-LED3It0u, 5729635]
[paragraph, [201.0, 1495.0, 494.0, 36.0], z-LED3It0u, 5729635]
