[1613, 1275]
[section-title, [107.0, 106.0, 427.0, 49.5], shoonya_3s7GTD9ECNOAUN, 5759356]
[section-title, [659.0, 109.0, 344.0, 49.5], rahIUh9ABj, 5759356]
[unordered-list, [120.0, 192.0, 509.0, 36.0], shoonya_0s3N6BJAZZ5X1S, 5759356]
[unordered-list, [120.0, 228.0, 509.0, 36.0], shoonya_0s3N6BJAZZ5X1S, 5759356]
[unordered-list, [120.0, 264.0, 509.0, 36.0], shoonya_0s3N6BJAZZ5X1S, 5759356]
[unordered-list, [120.0, 300.0, 509.0, 36.0], shoonya_0s3N6BJAZZ5X1S, 5759356]
[unordered-list, [120.0, 336.0, 509.0, 36.0], shoonya_0s3N6BJAZZ5X1S, 5759356]
[unordered-list, [120.0, 372.0, 509.0, 36.0], shoonya_0s3N6BJAZZ5X1S, 5759356]
[unordered-list, [120.0, 408.0, 509.0, 36.0], shoonya_0s3N6BJAZZ5X1S, 5759356]
[unordered-list, [120.0, 444.0, 509.0, 36.0], shoonya_0s3N6BJAZZ5X1S, 5759356]
[unordered-list, [120.0, 480.0, 509.0, 36.0], shoonya_0s3N6BJAZZ5X1S, 5759356]
[unordered-list, [120.0, 516.0, 509.0, 36.0], shoonya_0s3N6BJAZZ5X1S, 5759356]
[unordered-list, [120.0, 552.0, 509.0, 36.0], shoonya_0s3N6BJAZZ5X1S, 5759356]
[unordered-list, [120.0, 588.0, 509.0, 36.0], shoonya_0s3N6BJAZZ5X1S, 5759356]
[unordered-list, [120.0, 624.0, 509.0, 36.0], shoonya_0s3N6BJAZZ5X1S, 5759356]
[unordered-list, [120.0, 660.0, 509.0, 36.0], shoonya_0s3N6BJAZZ5X1S, 5759356]
[unordered-list, [669.0, 199.0, 495.0, 36.0], IDPTkWvE3n, 5759356]
[unordered-list, [669.0, 235.0, 495.0, 36.0], IDPTkWvE3n, 5759356]
[unordered-list, [669.0, 271.0, 495.0, 36.0], IDPTkWvE3n, 5759356]
[unordered-list, [669.0, 307.0, 495.0, 36.0], IDPTkWvE3n, 5759356]
[unordered-list, [669.0, 343.0, 495.0, 36.0], IDPTkWvE3n, 5759356]
[unordered-list, [669.0, 379.0, 495.0, 36.0], IDPTkWvE3n, 5759356]
[unordered-list, [669.0, 415.0, 495.0, 36.0], IDPTkWvE3n, 5759356]
[unordered-list, [669.0, 451.0, 495.0, 36.0], IDPTkWvE3n, 5759356]
[unordered-list, [669.0, 487.0, 495.0, 36.0], IDPTkWvE3n, 5759356]
[unordered-list, [669.0, 523.0, 495.0, 36.0], IDPTkWvE3n, 5759356]
[unordered-list, [669.0, 559.0, 495.0, 36.0], IDPTkWvE3n, 5759356]
[section-title, [664.0, 624.0, 344.0, 49.5], XzqOoYT90W, 5759356]
[paragraph, [661.0, 712.0, 503.0, 36.0], shoonya_4sLFRWW8SNJJTE, 5759356]
[paragraph, [661.0, 748.0, 503.0, 36.0], shoonya_4sLFRWW8SNJJTE, 5759356]
[paragraph, [661.0, 784.0, 503.0, 36.0], shoonya_4sLFRWW8SNJJTE, 5759356]
[paragraph, [661.0, 820.0, 503.0, 36.0], shoonya_4sLFRWW8SNJJTE, 5759356]
[paragraph, [661.0, 856.0, 503.0, 36.0], shoonya_4sLFRWW8SNJJTE, 5759356]
[section-title, [120.0, 729.0, 453.0, 49.5], shoonya_5sVSLDW3VFE9AW, 5759356]
[unordered-list, [120.0, 813.0, 506.0, 36.0], shoonya_2sTRWLYSKQTTLC, 5759356]
[unordered-list, [120.0, 849.0, 506.0, 36.0], shoonya_2sTRWLYSKQTTLC, 5759356]
[unordered-list, [120.0, 885.0, 506.0, 36.0], shoonya_2sTRWLYSKQTTLC, 5759356]
[unordered-list, [120.0, 921.0, 506.0, 36.0], shoonya_2sTRWLYSKQTTLC, 5759356]
[unordered-list, [120.0, 957.0, 506.0, 36.0], shoonya_2sTRWLYSKQTTLC, 5759356]
[unordered-list, [120.0, 993.0, 506.0, 36.0], shoonya_2sTRWLYSKQTTLC, 5759356]
[unordered-list, [120.0, 1029.0, 506.0, 36.0], shoonya_2sTRWLYSKQTTLC, 5759356]
[unordered-list, [120.0, 1065.0, 506.0, 36.0], shoonya_2sTRWLYSKQTTLC, 5759356]
[unordered-list, [120.0, 1101.0, 506.0, 36.0], shoonya_2sTRWLYSKQTTLC, 5759356]
[unordered-list, [120.0, 1137.0, 506.0, 36.0], shoonya_2sTRWLYSKQTTLC, 5759356]
[unordered-list, [120.0, 1173.0, 506.0, 36.0], shoonya_2sTRWLYSKQTTLC, 5759356]
[unordered-list, [120.0, 1209.0, 506.0, 36.0], shoonya_2sTRWLYSKQTTLC, 5759356]
[unordered-list, [120.0, 1245.0, 506.0, 36.0], shoonya_2sTRWLYSKQTTLC, 5759356]
[unordered-list, [120.0, 1281.0, 506.0, 36.0], shoonya_2sTRWLYSKQTTLC, 5759356]
[paragraph, [661.0, 929.0, 498.0, 36.0], qzLS_Z82fU, 5759356]
[paragraph, [661.0, 965.0, 498.0, 36.0], qzLS_Z82fU, 5759356]
[paragraph, [661.0, 1001.0, 498.0, 36.0], qzLS_Z82fU, 5759356]
[paragraph, [661.0, 1037.0, 498.0, 36.0], qzLS_Z82fU, 5759356]
[paragraph, [661.0, 1073.0, 498.0, 36.0], qzLS_Z82fU, 5759356]
[paragraph, [663.0, 1139.0, 498.0, 36.0], 2peQdmXJn7, 5759356]
[paragraph, [663.0, 1175.0, 498.0, 36.0], 2peQdmXJn7, 5759356]
[paragraph, [663.0, 1211.0, 498.0, 36.0], 2peQdmXJn7, 5759356]
[paragraph, [663.0, 1247.0, 498.0, 36.0], 2peQdmXJn7, 5759356]
[paragraph, [663.0, 1283.0, 498.0, 36.0], 2peQdmXJn7, 5759356]
[paragraph, [663.0, 1319.0, 498.0, 36.0], 2peQdmXJn7, 5759356]
[paragraph, [663.0, 1355.0, 498.0, 36.0], 2peQdmXJn7, 5759356]
