[2200, 1700]
[paragraph, [254.0, 251.0, 1011.0, 36.0], shoonya_2sYJHINJRD9183, 5652836]
[paragraph, [254.0, 287.0, 1011.0, 36.0], shoonya_2sYJHINJRD9183, 5652836]
[paragraph, [254.0, 323.0, 1011.0, 36.0], shoonya_2sYJHINJRD9183, 5652836]
[paragraph, [346.0, 367.0, 655.0, 36.0], shoonya_4sMAF9JP5MQ20E, 5652836]
[paragraph, [249.0, 420.0, 1013.0, 36.0], shoonya_0sYIEYHD19NXB4, 5652836]
[paragraph, [249.0, 456.0, 1013.0, 36.0], shoonya_0sYIEYHD19NXB4, 5652836]
[paragraph, [249.0, 492.0, 1013.0, 36.0], shoonya_0sYIEYHD19NXB4, 5652836]
[paragraph, [249.0, 528.0, 1013.0, 36.0], shoonya_0sYIEYHD19NXB4, 5652836]
[paragraph, [249.0, 564.0, 1013.0, 36.0], shoonya_0sYIEYHD19NXB4, 5652836]
[paragraph, [249.0, 600.0, 1013.0, 36.0], shoonya_0sYIEYHD19NXB4, 5652836]
[paragraph, [249.0, 636.0, 1013.0, 36.0], shoonya_0sYIEYHD19NXB4, 5652836]
[paragraph, [249.0, 672.0, 1013.0, 36.0], shoonya_0sYIEYHD19NXB4, 5652836]
[paragraph, [248.0, 719.0, 1010.0, 36.0], shoonya_6s8DSF42YW3WRR, 5652836]
[paragraph, [248.0, 755.0, 1010.0, 36.0], shoonya_6s8DSF42YW3WRR, 5652836]
[paragraph, [248.0, 791.0, 1010.0, 36.0], shoonya_6s8DSF42YW3WRR, 5652836]
[paragraph, [248.0, 827.0, 1010.0, 36.0], shoonya_6s8DSF42YW3WRR, 5652836]
[paragraph, [248.0, 863.0, 1010.0, 36.0], shoonya_6s8DSF42YW3WRR, 5652836]
[paragraph, [244.0, 894.0, 1013.0, 36.0], F5YdPxtG0l, 5652836]
[paragraph, [244.0, 930.0, 1013.0, 36.0], F5YdPxtG0l, 5652836]
[paragraph, [244.0, 966.0, 1013.0, 36.0], F5YdPxtG0l, 5652836]
[paragraph, [246.0, 1020.0, 1009.0, 36.0], V6aVx8JR4H, 5652836]
[paragraph, [246.0, 1056.0, 1009.0, 36.0], V6aVx8JR4H, 5652836]
[paragraph, [246.0, 1092.0, 1009.0, 36.0], V6aVx8JR4H, 5652836]
[paragraph, [242.0, 1138.0, 1013.0, 36.0], shoonya_3sVT4OJZKTNF5J, 5652836]
[paragraph, [242.0, 1174.0, 1013.0, 36.0], shoonya_3sVT4OJZKTNF5J, 5652836]
[paragraph, [242.0, 1210.0, 1013.0, 36.0], shoonya_3sVT4OJZKTNF5J, 5652836]
[paragraph, [242.0, 1246.0, 1013.0, 36.0], shoonya_3sVT4OJZKTNF5J, 5652836]
[paragraph, [242.0, 1282.0, 1013.0, 36.0], shoonya_3sVT4OJZKTNF5J, 5652836]
[paragraph, [242.0, 1320.0, 1007.0, 36.0], spf3Ji0RL1, 5652836]
[paragraph, [242.0, 1356.0, 1007.0, 36.0], spf3Ji0RL1, 5652836]
[paragraph, [242.0, 1392.0, 1007.0, 36.0], spf3Ji0RL1, 5652836]
[paragraph, [242.0, 1428.0, 1007.0, 36.0], spf3Ji0RL1, 5652836]
[paragraph, [242.0, 1464.0, 1007.0, 36.0], spf3Ji0RL1, 5652836]
[paragraph, [242.0, 1500.0, 1007.0, 36.0], spf3Ji0RL1, 5652836]
[paragraph, [342.0, 1562.0, 348.0, 36.0], W2xUjjr9Hi, 5652836]
[paragraph, [238.0, 1621.0, 1017.0, 36.0], shoonya_5s2HDDGA1QZBAS, 5652836]
[paragraph, [238.0, 1657.0, 1017.0, 36.0], shoonya_5s2HDDGA1QZBAS, 5652836]
[paragraph, [238.0, 1693.0, 1017.0, 36.0], shoonya_5s2HDDGA1QZBAS, 5652836]
[paragraph, [238.0, 1729.0, 1017.0, 36.0], shoonya_5s2HDDGA1QZBAS, 5652836]
[paragraph, [238.0, 1765.0, 1017.0, 36.0], shoonya_5s2HDDGA1QZBAS, 5652836]
[paragraph, [312.0, 1800.0, 939.0, 36.0], --dd38_OK5, 5652836]
[paragraph, [312.0, 1836.0, 939.0, 36.0], --dd38_OK5, 5652836]
[folio, [1054.0, 1917.0, 104.0, 36.0], VGFOC6lsXs, 5652836]
