[1387, 987]
[paragraph, [88.0, 92.0, 802.0, 18.0], shoonya_1sGZ9U7XZTWJ5Z, 5652248]
[paragraph, [88.0, 110.0, 802.0, 18.0], shoonya_1sGZ9U7XZTWJ5Z, 5652248]
[paragraph, [88.0, 128.0, 802.0, 18.0], shoonya_1sGZ9U7XZTWJ5Z, 5652248]
[paragraph, [88.0, 146.0, 802.0, 18.0], shoonya_1sGZ9U7XZTWJ5Z, 5652248]
[paragraph, [88.0, 164.0, 802.0, 18.0], shoonya_1sGZ9U7XZTWJ5Z, 5652248]
[paragraph, [88.0, 182.0, 802.0, 18.0], shoonya_1sGZ9U7XZTWJ5Z, 5652248]
[paragraph, [88.0, 200.0, 802.0, 18.0], shoonya_1sGZ9U7XZTWJ5Z, 5652248]
[paragraph, [88.0, 218.0, 802.0, 18.0], shoonya_1sGZ9U7XZTWJ5Z, 5652248]
[paragraph, [88.0, 236.0, 802.0, 18.0], shoonya_1sGZ9U7XZTWJ5Z, 5652248]
[paragraph, [88.0, 254.0, 802.0, 18.0], shoonya_1sGZ9U7XZTWJ5Z, 5652248]
[paragraph, [88.0, 272.0, 802.0, 18.0], shoonya_1sGZ9U7XZTWJ5Z, 5652248]
[paragraph, [88.0, 290.0, 802.0, 18.0], shoonya_1sGZ9U7XZTWJ5Z, 5652248]
[paragraph, [88.0, 308.0, 802.0, 18.0], shoonya_1sGZ9U7XZTWJ5Z, 5652248]
[paragraph, [88.0, 326.0, 802.0, 18.0], shoonya_1sGZ9U7XZTWJ5Z, 5652248]
[paragraph, [88.0, 344.0, 802.0, 18.0], shoonya_1sGZ9U7XZTWJ5Z, 5652248]
[paragraph, [88.0, 362.0, 802.0, 18.0], shoonya_1sGZ9U7XZTWJ5Z, 5652248]
[paragraph, [88.0, 380.0, 802.0, 18.0], shoonya_1sGZ9U7XZTWJ5Z, 5652248]
[paragraph, [88.0, 398.0, 802.0, 18.0], shoonya_1sGZ9U7XZTWJ5Z, 5652248]
[paragraph, [88.0, 416.0, 802.0, 18.0], shoonya_1sGZ9U7XZTWJ5Z, 5652248]
[paragraph, [88.0, 434.0, 802.0, 18.0], shoonya_1sGZ9U7XZTWJ5Z, 5652248]
[paragraph, [88.0, 452.0, 802.0, 18.0], shoonya_1sGZ9U7XZTWJ5Z, 5652248]
[paragraph, [88.0, 470.0, 802.0, 18.0], shoonya_1sGZ9U7XZTWJ5Z, 5652248]
[paragraph, [88.0, 488.0, 802.0, 18.0], shoonya_1sGZ9U7XZTWJ5Z, 5652248]
[paragraph, [88.0, 506.0, 802.0, 18.0], shoonya_1sGZ9U7XZTWJ5Z, 5652248]
[paragraph, [88.0, 524.0, 802.0, 18.0], shoonya_1sGZ9U7XZTWJ5Z, 5652248]
[paragraph, [88.0, 542.0, 802.0, 18.0], shoonya_1sGZ9U7XZTWJ5Z, 5652248]
[paragraph, [88.0, 560.0, 802.0, 18.0], shoonya_1sGZ9U7XZTWJ5Z, 5652248]
[paragraph, [88.0, 578.0, 802.0, 18.0], shoonya_1sGZ9U7XZTWJ5Z, 5652248]
[paragraph, [88.0, 596.0, 802.0, 18.0], shoonya_1sGZ9U7XZTWJ5Z, 5652248]
[paragraph, [88.0, 614.0, 802.0, 18.0], shoonya_1sGZ9U7XZTWJ5Z, 5652248]
[paragraph, [88.0, 632.0, 802.0, 18.0], shoonya_1sGZ9U7XZTWJ5Z, 5652248]
[paragraph, [88.0, 650.0, 802.0, 18.0], shoonya_1sGZ9U7XZTWJ5Z, 5652248]
[paragraph, [88.0, 668.0, 802.0, 18.0], shoonya_1sGZ9U7XZTWJ5Z, 5652248]
[paragraph, [88.0, 686.0, 802.0, 18.0], shoonya_1sGZ9U7XZTWJ5Z, 5652248]
[paragraph, [88.0, 704.0, 802.0, 18.0], shoonya_1sGZ9U7XZTWJ5Z, 5652248]
[paragraph, [88.0, 722.0, 802.0, 18.0], shoonya_1sGZ9U7XZTWJ5Z, 5652248]
[paragraph, [88.0, 740.0, 802.0, 18.0], shoonya_1sGZ9U7XZTWJ5Z, 5652248]
[paragraph, [88.0, 758.0, 802.0, 18.0], shoonya_1sGZ9U7XZTWJ5Z, 5652248]
[paragraph, [88.0, 776.0, 802.0, 18.0], shoonya_1sGZ9U7XZTWJ5Z, 5652248]
[paragraph, [88.0, 794.0, 802.0, 18.0], shoonya_1sGZ9U7XZTWJ5Z, 5652248]
[paragraph, [88.0, 812.0, 802.0, 18.0], shoonya_1sGZ9U7XZTWJ5Z, 5652248]
[paragraph, [88.0, 830.0, 802.0, 18.0], shoonya_1sGZ9U7XZTWJ5Z, 5652248]
[paragraph, [89.0, 862.0, 783.0, 18.0], shoonya_2sCHICRW473XDR, 5652248]
[paragraph, [89.0, 880.0, 783.0, 18.0], shoonya_2sCHICRW473XDR, 5652248]
[paragraph, [89.0, 898.0, 783.0, 18.0], shoonya_2sCHICRW473XDR, 5652248]
[paragraph, [89.0, 916.0, 783.0, 18.0], shoonya_2sCHICRW473XDR, 5652248]
[paragraph, [89.0, 934.0, 783.0, 18.0], shoonya_2sCHICRW473XDR, 5652248]
[paragraph, [89.0, 952.0, 783.0, 18.0], shoonya_2sCHICRW473XDR, 5652248]
[paragraph, [89.0, 970.0, 783.0, 18.0], shoonya_2sCHICRW473XDR, 5652248]
[paragraph, [89.0, 988.0, 783.0, 18.0], shoonya_2sCHICRW473XDR, 5652248]
[paragraph, [89.0, 1006.0, 783.0, 18.0], shoonya_2sCHICRW473XDR, 5652248]
[paragraph, [89.0, 1024.0, 783.0, 18.0], shoonya_2sCHICRW473XDR, 5652248]
[paragraph, [89.0, 1042.0, 783.0, 18.0], shoonya_2sCHICRW473XDR, 5652248]
[paragraph, [89.0, 1060.0, 783.0, 18.0], shoonya_2sCHICRW473XDR, 5652248]
[paragraph, [90.0, 1099.0, 785.0, 18.0], shoonya_0sXEN447XR15FN, 5652248]
[paragraph, [90.0, 1117.0, 785.0, 18.0], shoonya_0sXEN447XR15FN, 5652248]
[paragraph, [90.0, 1135.0, 785.0, 18.0], shoonya_0sXEN447XR15FN, 5652248]
[paragraph, [90.0, 1153.0, 785.0, 18.0], shoonya_0sXEN447XR15FN, 5652248]
[paragraph, [90.0, 1171.0, 785.0, 18.0], shoonya_0sXEN447XR15FN, 5652248]
[paragraph, [90.0, 1189.0, 785.0, 18.0], shoonya_0sXEN447XR15FN, 5652248]
[paragraph, [90.0, 1207.0, 785.0, 18.0], shoonya_0sXEN447XR15FN, 5652248]
[paragraph, [90.0, 1225.0, 785.0, 18.0], shoonya_0sXEN447XR15FN, 5652248]
[paragraph, [90.0, 1243.0, 785.0, 18.0], shoonya_0sXEN447XR15FN, 5652248]
