[842, 596]
[section-title, [248.0, 40.0, 103.0, 30.0], wGTPFH6nmn, 5744642]
[section-title, [248.0, 70.0, 103.0, 30.0], wGTPFH6nmn, 5744642]
[paragraph, [50.0, 116.0, 287.0, 18.0], shoonya_6sGW62NVECOVGT, 5744642]
[paragraph, [50.0, 134.0, 287.0, 18.0], shoonya_6sGW62NVECOVGT, 5744642]
[paragraph, [50.0, 152.0, 287.0, 18.0], shoonya_6sGW62NVECOVGT, 5744642]
[paragraph, [50.0, 170.0, 287.0, 18.0], shoonya_6sGW62NVECOVGT, 5744642]
[paragraph, [50.0, 188.0, 287.0, 18.0], shoonya_6sGW62NVECOVGT, 5744642]
[paragraph, [50.0, 206.0, 287.0, 18.0], shoonya_6sGW62NVECOVGT, 5744642]
[chapter-title, [190.0, 264.0, 204.0, 30.0], OUkFZQKHIc, 5744642]
[section-title, [250.0, 310.0, 95.0, 30.0], dw6ML3O6rX, 5744642]
[section-title, [250.0, 340.0, 95.0, 30.0], dw6ML3O6rX, 5744642]
[paragraph, [47.0, 418.0, 300.0, 18.0], shoonya_0sDO9DHV7MEFUH, 5744642]
[paragraph, [47.0, 436.0, 300.0, 18.0], shoonya_0sDO9DHV7MEFUH, 5744642]
[paragraph, [47.0, 454.0, 300.0, 18.0], shoonya_0sDO9DHV7MEFUH, 5744642]
[paragraph, [47.0, 472.0, 300.0, 18.0], shoonya_0sDO9DHV7MEFUH, 5744642]
[paragraph, [47.0, 490.0, 300.0, 18.0], shoonya_0sDO9DHV7MEFUH, 5744642]
[paragraph, [47.0, 508.0, 300.0, 18.0], shoonya_0sDO9DHV7MEFUH, 5744642]
[paragraph, [47.0, 526.0, 300.0, 18.0], shoonya_0sDO9DHV7MEFUH, 5744642]
[paragraph, [47.0, 544.0, 300.0, 18.0], shoonya_0sDO9DHV7MEFUH, 5744642]
[paragraph, [47.0, 562.0, 300.0, 18.0], shoonya_0sDO9DHV7MEFUH, 5744642]
[paragraph, [47.0, 580.0, 300.0, 18.0], shoonya_0sDO9DHV7MEFUH, 5744642]
[paragraph, [47.0, 598.0, 300.0, 18.0], shoonya_0sDO9DHV7MEFUH, 5744642]
[paragraph, [47.0, 616.0, 300.0, 18.0], shoonya_0sDO9DHV7MEFUH, 5744642]
[paragraph, [57.0, 693.0, 478.0, 18.0], shoonya_4sXQOQN7LG8HK2, 5744642]
[paragraph, [57.0, 711.0, 478.0, 18.0], shoonya_4sXQOQN7LG8HK2, 5744642]
[paragraph, [57.0, 729.0, 478.0, 18.0], shoonya_4sXQOQN7LG8HK2, 5744642]
[paragraph, [57.0, 747.0, 478.0, 18.0], shoonya_4sXQOQN7LG8HK2, 5744642]
[paragraph, [57.0, 765.0, 478.0, 18.0], shoonya_4sXQOQN7LG8HK2, 5744642]
