[2717, 1772]
[folio, [788.0, 236.0, 217.0, 46.5], shoonya_2s44LREE4PGS7K, 5721477]
[paragraph, [222.0, 354.0, 1334.0, 46.5], shoonya_0sI84HOJ9PK599, 5721477]
[paragraph, [222.0, 400.5, 1334.0, 46.5], shoonya_0sI84HOJ9PK599, 5721477]
[paragraph, [222.0, 447.0, 1334.0, 46.5], shoonya_0sI84HOJ9PK599, 5721477]
[paragraph, [222.0, 493.5, 1334.0, 46.5], shoonya_0sI84HOJ9PK599, 5721477]
[paragraph, [222.0, 540.0, 1334.0, 46.5], shoonya_0sI84HOJ9PK599, 5721477]
[paragraph, [222.0, 586.5, 1334.0, 46.5], shoonya_0sI84HOJ9PK599, 5721477]
[paragraph, [223.0, 671.0, 1347.0, 46.5], shoonya_1sF2ZO26LYMFZT, 5721477]
[paragraph, [223.0, 717.5, 1347.0, 46.5], shoonya_1sF2ZO26LYMFZT, 5721477]
[paragraph, [223.0, 764.0, 1347.0, 46.5], shoonya_1sF2ZO26LYMFZT, 5721477]
[paragraph, [223.0, 810.5, 1347.0, 46.5], shoonya_1sF2ZO26LYMFZT, 5721477]
[paragraph, [223.0, 857.0, 1347.0, 46.5], shoonya_1sF2ZO26LYMFZT, 5721477]
[paragraph, [223.0, 903.5, 1347.0, 46.5], shoonya_1sF2ZO26LYMFZT, 5721477]
[paragraph, [223.0, 950.0, 1347.0, 46.5], shoonya_1sF2ZO26LYMFZT, 5721477]
[paragraph, [223.0, 996.5, 1347.0, 46.5], shoonya_1sF2ZO26LYMFZT, 5721477]
[paragraph, [223.0, 1043.0, 1347.0, 46.5], shoonya_1sF2ZO26LYMFZT, 5721477]
[paragraph, [223.0, 1089.5, 1347.0, 46.5], shoonya_1sF2ZO26LYMFZT, 5721477]
[paragraph, [223.0, 1136.0, 1347.0, 46.5], shoonya_1sF2ZO26LYMFZT, 5721477]
[paragraph, [223.0, 1182.5, 1347.0, 46.5], shoonya_1sF2ZO26LYMFZT, 5721477]
[paragraph, [223.0, 1229.0, 1347.0, 46.5], shoonya_1sF2ZO26LYMFZT, 5721477]
[paragraph, [223.0, 1275.5, 1347.0, 46.5], shoonya_1sF2ZO26LYMFZT, 5721477]
[paragraph, [223.0, 1322.0, 1347.0, 46.5], shoonya_1sF2ZO26LYMFZT, 5721477]
[paragraph, [223.0, 1368.5, 1347.0, 46.5], shoonya_1sF2ZO26LYMFZT, 5721477]
[paragraph, [343.0, 1414.0, 500.0, 46.5], JDYRWbK8jN, 5721477]
[paragraph, [354.0, 1492.0, 622.0, 46.5], ztmrx0OVqH, 5721477]
[chapter-title, [684.0, 1658.0, 458.0, 64.5], AP7UFfmH0C, 5721477]
[folio, [562.0, 1848.0, 673.0, 46.5], shoonya_3s77JC1PV04OXN, 5721477]
[paragraph, [222.0, 1919.0, 1354.0, 46.5], shoonya_4s6VZVIWA9ZEIX, 5721477]
[paragraph, [222.0, 1965.5, 1354.0, 46.5], shoonya_4s6VZVIWA9ZEIX, 5721477]
[paragraph, [222.0, 2012.0, 1354.0, 46.5], shoonya_4s6VZVIWA9ZEIX, 5721477]
[paragraph, [222.0, 2058.5, 1354.0, 46.5], shoonya_4s6VZVIWA9ZEIX, 5721477]
[paragraph, [222.0, 2105.0, 1354.0, 46.5], shoonya_4s6VZVIWA9ZEIX, 5721477]
[paragraph, [222.0, 2151.5, 1354.0, 46.5], shoonya_4s6VZVIWA9ZEIX, 5721477]
[paragraph, [222.0, 2198.0, 1354.0, 46.5], shoonya_4s6VZVIWA9ZEIX, 5721477]
[paragraph, [222.0, 2244.5, 1354.0, 46.5], shoonya_4s6VZVIWA9ZEIX, 5721477]
[paragraph, [222.0, 2291.0, 1354.0, 46.5], shoonya_4s6VZVIWA9ZEIX, 5721477]
[paragraph, [222.0, 2337.5, 1354.0, 46.5], shoonya_4s6VZVIWA9ZEIX, 5721477]
[paragraph, [222.0, 2384.0, 1354.0, 46.5], shoonya_4s6VZVIWA9ZEIX, 5721477]
[paragraph, [222.0, 2430.5, 1354.0, 46.5], shoonya_4s6VZVIWA9ZEIX, 5721477]
