[1818, 1374]
[folio, [515.0, 185.0, 356.0, 36.0], Z8zFloELoO, 5683283]
[paragraph, [116.0, 263.0, 564.0, 36.0], c5X87rDE0n, 5683283]
[paragraph, [116.0, 299.0, 564.0, 36.0], c5X87rDE0n, 5683283]
[paragraph, [116.0, 335.0, 564.0, 36.0], c5X87rDE0n, 5683283]
[paragraph, [701.0, 263.0, 565.0, 36.0], shoonya_0sE02BCY0WU64I, 5683283]
[paragraph, [701.0, 299.0, 565.0, 36.0], shoonya_0sE02BCY0WU64I, 5683283]
[paragraph, [701.0, 335.0, 565.0, 36.0], shoonya_0sE02BCY0WU64I, 5683283]
[paragraph, [701.0, 371.0, 565.0, 36.0], shoonya_0sE02BCY0WU64I, 5683283]
[paragraph, [118.0, 383.0, 562.0, 36.0], tVbsEQaaSV, 5683283]
[paragraph, [118.0, 419.0, 562.0, 36.0], tVbsEQaaSV, 5683283]
[paragraph, [694.0, 428.0, 566.0, 36.0], GtLU747lWu, 5683283]
[paragraph, [694.0, 464.0, 566.0, 36.0], GtLU747lWu, 5683283]
[paragraph, [694.0, 500.0, 566.0, 36.0], GtLU747lWu, 5683283]
[paragraph, [694.0, 536.0, 566.0, 36.0], GtLU747lWu, 5683283]
[paragraph, [694.0, 572.0, 566.0, 36.0], GtLU747lWu, 5683283]
[paragraph, [694.0, 608.0, 566.0, 36.0], GtLU747lWu, 5683283]
[paragraph, [694.0, 644.0, 566.0, 36.0], GtLU747lWu, 5683283]
[paragraph, [694.0, 680.0, 566.0, 36.0], GtLU747lWu, 5683283]
[paragraph, [694.0, 716.0, 566.0, 36.0], GtLU747lWu, 5683283]
[paragraph, [694.0, 752.0, 566.0, 36.0], GtLU747lWu, 5683283]
[paragraph, [694.0, 788.0, 566.0, 36.0], GtLU747lWu, 5683283]
[paragraph, [694.0, 824.0, 566.0, 36.0], GtLU747lWu, 5683283]
[paragraph, [694.0, 860.0, 566.0, 36.0], GtLU747lWu, 5683283]
[paragraph, [694.0, 896.0, 566.0, 36.0], GtLU747lWu, 5683283]
[paragraph, [694.0, 932.0, 566.0, 36.0], GtLU747lWu, 5683283]
[paragraph, [694.0, 968.0, 566.0, 36.0], GtLU747lWu, 5683283]
[paragraph, [694.0, 1004.0, 566.0, 36.0], GtLU747lWu, 5683283]
[paragraph, [694.0, 1040.0, 566.0, 36.0], GtLU747lWu, 5683283]
[paragraph, [694.0, 1076.0, 566.0, 36.0], GtLU747lWu, 5683283]
[paragraph, [694.0, 1112.0, 566.0, 36.0], GtLU747lWu, 5683283]
[paragraph, [694.0, 1148.0, 566.0, 36.0], GtLU747lWu, 5683283]
[paragraph, [118.0, 466.0, 562.0, 36.0], C1is_X1egR, 5683283]
[paragraph, [118.0, 502.0, 562.0, 36.0], C1is_X1egR, 5683283]
[paragraph, [118.0, 550.0, 559.0, 36.0], zFeayTvPV4, 5683283]
[paragraph, [118.0, 586.0, 559.0, 36.0], zFeayTvPV4, 5683283]
[paragraph, [111.0, 629.0, 566.0, 36.0], t3yXnA6tO1, 5683283]
[paragraph, [111.0, 665.0, 566.0, 36.0], t3yXnA6tO1, 5683283]
[paragraph, [111.0, 701.0, 566.0, 36.0], t3yXnA6tO1, 5683283]
[paragraph, [111.0, 737.0, 566.0, 36.0], t3yXnA6tO1, 5683283]
[paragraph, [111.0, 773.0, 566.0, 36.0], t3yXnA6tO1, 5683283]
[paragraph, [106.0, 833.0, 569.0, 36.0], shoonya_3sUJK2O0IDPCQ1, 5683283]
[paragraph, [106.0, 869.0, 569.0, 36.0], shoonya_3sUJK2O0IDPCQ1, 5683283]
[paragraph, [106.0, 905.0, 569.0, 36.0], shoonya_3sUJK2O0IDPCQ1, 5683283]
[paragraph, [107.0, 952.0, 565.0, 36.0], shoonya_1sSVJT3T6I3XQK, 5683283]
[paragraph, [107.0, 988.0, 565.0, 36.0], shoonya_1sSVJT3T6I3XQK, 5683283]
[paragraph, [107.0, 1024.0, 565.0, 36.0], shoonya_1sSVJT3T6I3XQK, 5683283]
[paragraph, [107.0, 1060.0, 565.0, 36.0], shoonya_1sSVJT3T6I3XQK, 5683283]
[paragraph, [107.0, 1096.0, 565.0, 36.0], shoonya_1sSVJT3T6I3XQK, 5683283]
[paragraph, [107.0, 1132.0, 565.0, 36.0], shoonya_1sSVJT3T6I3XQK, 5683283]
[paragraph, [107.0, 1168.0, 565.0, 36.0], shoonya_1sSVJT3T6I3XQK, 5683283]
[paragraph, [107.0, 1204.0, 565.0, 36.0], shoonya_1sSVJT3T6I3XQK, 5683283]
[paragraph, [107.0, 1240.0, 565.0, 36.0], shoonya_1sSVJT3T6I3XQK, 5683283]
[paragraph, [107.0, 1276.0, 565.0, 36.0], shoonya_1sSVJT3T6I3XQK, 5683283]
[paragraph, [107.0, 1312.0, 565.0, 36.0], shoonya_1sSVJT3T6I3XQK, 5683283]
[paragraph, [107.0, 1348.0, 565.0, 36.0], shoonya_1sSVJT3T6I3XQK, 5683283]
[paragraph, [690.0, 1200.0, 557.0, 36.0], shoonya_2sQL77M5SO8A4V, 5683283]
[paragraph, [690.0, 1236.0, 557.0, 36.0], shoonya_2sQL77M5SO8A4V, 5683283]
[paragraph, [690.0, 1272.0, 557.0, 36.0], shoonya_2sQL77M5SO8A4V, 5683283]
[paragraph, [690.0, 1308.0, 557.0, 36.0], shoonya_2sQL77M5SO8A4V, 5683283]
[paragraph, [690.0, 1344.0, 557.0, 36.0], shoonya_2sQL77M5SO8A4V, 5683283]
[paragraph, [690.0, 1380.0, 557.0, 36.0], shoonya_2sQL77M5SO8A4V, 5683283]
[paragraph, [690.0, 1416.0, 557.0, 36.0], shoonya_2sQL77M5SO8A4V, 5683283]
[paragraph, [690.0, 1452.0, 557.0, 36.0], shoonya_2sQL77M5SO8A4V, 5683283]
[paragraph, [690.0, 1488.0, 557.0, 36.0], shoonya_2sQL77M5SO8A4V, 5683283]
[paragraph, [690.0, 1524.0, 557.0, 36.0], shoonya_2sQL77M5SO8A4V, 5683283]
[paragraph, [690.0, 1560.0, 557.0, 36.0], shoonya_2sQL77M5SO8A4V, 5683283]
[paragraph, [690.0, 1596.0, 557.0, 36.0], shoonya_2sQL77M5SO8A4V, 5683283]
[paragraph, [690.0, 1632.0, 557.0, 36.0], shoonya_2sQL77M5SO8A4V, 5683283]
[paragraph, [690.0, 1668.0, 557.0, 36.0], shoonya_2sQL77M5SO8A4V, 5683283]
[paragraph, [103.0, 1397.0, 567.0, 36.0], shoonya_4sCVQUTDPO5SJP, 5683283]
[paragraph, [103.0, 1433.0, 567.0, 36.0], shoonya_4sCVQUTDPO5SJP, 5683283]
[paragraph, [103.0, 1469.0, 567.0, 36.0], shoonya_4sCVQUTDPO5SJP, 5683283]
[paragraph, [103.0, 1505.0, 567.0, 36.0], shoonya_4sCVQUTDPO5SJP, 5683283]
[paragraph, [103.0, 1554.0, 563.0, 36.0], shoonya_5s1ADGVPDT47EM, 5683283]
[paragraph, [103.0, 1590.0, 563.0, 36.0], shoonya_5s1ADGVPDT47EM, 5683283]
[paragraph, [103.0, 1626.0, 563.0, 36.0], shoonya_5s1ADGVPDT47EM, 5683283]
[paragraph, [103.0, 1662.0, 563.0, 36.0], shoonya_5s1ADGVPDT47EM, 5683283]
