[1267, 753]
[folio, [314.0, 76.0, 104.0, 18.0], shoonya_2s8UW3JVD49ENL, 5699698]
[paragraph, [75.0, 158.0, 598.0, 18.0], shoonya_1sX4SBAMRZETXK, 5699698]
[paragraph, [75.0, 176.0, 598.0, 18.0], shoonya_1sX4SBAMRZETXK, 5699698]
[paragraph, [75.0, 194.0, 598.0, 18.0], shoonya_1sX4SBAMRZETXK, 5699698]
[paragraph, [75.0, 212.0, 598.0, 18.0], shoonya_1sX4SBAMRZETXK, 5699698]
[paragraph, [75.0, 230.0, 598.0, 18.0], shoonya_1sX4SBAMRZETXK, 5699698]
[paragraph, [75.0, 248.0, 598.0, 18.0], shoonya_1sX4SBAMRZETXK, 5699698]
[paragraph, [75.0, 266.0, 598.0, 18.0], shoonya_1sX4SBAMRZETXK, 5699698]
[paragraph, [75.0, 284.0, 598.0, 18.0], shoonya_1sX4SBAMRZETXK, 5699698]
[paragraph, [75.0, 302.0, 598.0, 18.0], shoonya_1sX4SBAMRZETXK, 5699698]
[paragraph, [75.0, 320.0, 598.0, 18.0], shoonya_1sX4SBAMRZETXK, 5699698]
[paragraph, [75.0, 338.0, 598.0, 18.0], shoonya_1sX4SBAMRZETXK, 5699698]
[paragraph, [75.0, 356.0, 598.0, 18.0], shoonya_1sX4SBAMRZETXK, 5699698]
[paragraph, [75.0, 374.0, 598.0, 18.0], shoonya_1sX4SBAMRZETXK, 5699698]
[paragraph, [75.0, 392.0, 598.0, 18.0], shoonya_1sX4SBAMRZETXK, 5699698]
[paragraph, [75.0, 410.0, 598.0, 18.0], shoonya_1sX4SBAMRZETXK, 5699698]
[paragraph, [75.0, 428.0, 598.0, 18.0], shoonya_1sX4SBAMRZETXK, 5699698]
[paragraph, [75.0, 446.0, 598.0, 18.0], shoonya_1sX4SBAMRZETXK, 5699698]
[paragraph, [75.0, 464.0, 598.0, 18.0], shoonya_1sX4SBAMRZETXK, 5699698]
[paragraph, [75.0, 482.0, 598.0, 18.0], shoonya_1sX4SBAMRZETXK, 5699698]
[paragraph, [75.0, 500.0, 598.0, 18.0], shoonya_1sX4SBAMRZETXK, 5699698]
[paragraph, [75.0, 518.0, 598.0, 18.0], shoonya_1sX4SBAMRZETXK, 5699698]
[paragraph, [75.0, 536.0, 598.0, 18.0], shoonya_1sX4SBAMRZETXK, 5699698]
[paragraph, [75.0, 554.0, 598.0, 18.0], shoonya_1sX4SBAMRZETXK, 5699698]
[paragraph, [75.0, 572.0, 598.0, 18.0], shoonya_1sX4SBAMRZETXK, 5699698]
[paragraph, [75.0, 590.0, 598.0, 18.0], shoonya_1sX4SBAMRZETXK, 5699698]
[paragraph, [75.0, 608.0, 598.0, 18.0], shoonya_1sX4SBAMRZETXK, 5699698]
[paragraph, [75.0, 626.0, 598.0, 18.0], shoonya_1sX4SBAMRZETXK, 5699698]
[paragraph, [75.0, 644.0, 598.0, 18.0], shoonya_1sX4SBAMRZETXK, 5699698]
[paragraph, [75.0, 662.0, 598.0, 18.0], shoonya_1sX4SBAMRZETXK, 5699698]
[paragraph, [75.0, 680.0, 598.0, 18.0], shoonya_1sX4SBAMRZETXK, 5699698]
[paragraph, [75.0, 698.0, 598.0, 18.0], shoonya_1sX4SBAMRZETXK, 5699698]
[paragraph, [77.0, 738.0, 594.0, 18.0], shoonya_0s4L44AUJY6LZO, 5699698]
[paragraph, [77.0, 756.0, 594.0, 18.0], shoonya_0s4L44AUJY6LZO, 5699698]
[paragraph, [77.0, 774.0, 594.0, 18.0], shoonya_0s4L44AUJY6LZO, 5699698]
[paragraph, [77.0, 792.0, 594.0, 18.0], shoonya_0s4L44AUJY6LZO, 5699698]
[paragraph, [77.0, 810.0, 594.0, 18.0], shoonya_0s4L44AUJY6LZO, 5699698]
[paragraph, [77.0, 828.0, 594.0, 18.0], shoonya_0s4L44AUJY6LZO, 5699698]
[paragraph, [77.0, 846.0, 594.0, 18.0], shoonya_0s4L44AUJY6LZO, 5699698]
[paragraph, [77.0, 864.0, 594.0, 18.0], shoonya_0s4L44AUJY6LZO, 5699698]
[paragraph, [77.0, 882.0, 594.0, 18.0], shoonya_0s4L44AUJY6LZO, 5699698]
[paragraph, [77.0, 900.0, 594.0, 18.0], shoonya_0s4L44AUJY6LZO, 5699698]
[paragraph, [77.0, 918.0, 594.0, 18.0], shoonya_0s4L44AUJY6LZO, 5699698]
[paragraph, [77.0, 936.0, 594.0, 18.0], shoonya_0s4L44AUJY6LZO, 5699698]
[paragraph, [77.0, 954.0, 594.0, 18.0], shoonya_0s4L44AUJY6LZO, 5699698]
[paragraph, [77.0, 972.0, 594.0, 18.0], shoonya_0s4L44AUJY6LZO, 5699698]
[paragraph, [77.0, 990.0, 594.0, 18.0], shoonya_0s4L44AUJY6LZO, 5699698]
[paragraph, [77.0, 1008.0, 594.0, 18.0], shoonya_0s4L44AUJY6LZO, 5699698]
[paragraph, [77.0, 1026.0, 594.0, 18.0], shoonya_0s4L44AUJY6LZO, 5699698]
[paragraph, [77.0, 1044.0, 594.0, 18.0], shoonya_0s4L44AUJY6LZO, 5699698]
[paragraph, [77.0, 1062.0, 594.0, 18.0], shoonya_0s4L44AUJY6LZO, 5699698]
[paragraph, [77.0, 1080.0, 594.0, 18.0], shoonya_0s4L44AUJY6LZO, 5699698]
[paragraph, [77.0, 1098.0, 594.0, 18.0], shoonya_0s4L44AUJY6LZO, 5699698]
[paragraph, [77.0, 1116.0, 594.0, 18.0], shoonya_0s4L44AUJY6LZO, 5699698]
[paragraph, [77.0, 1134.0, 594.0, 18.0], shoonya_0s4L44AUJY6LZO, 5699698]
[paragraph, [77.0, 1152.0, 594.0, 18.0], shoonya_0s4L44AUJY6LZO, 5699698]
[paragraph, [77.0, 1170.0, 594.0, 18.0], shoonya_0s4L44AUJY6LZO, 5699698]
