[1447, 1063]
[folio, [431.0, 55.0, 197.0, 18.0], FmmLEFjrbb, 5762800]
[paragraph, [110.0, 103.0, 413.0, 18.0], VCNiyC8SPT, 5762800]
[paragraph, [110.0, 121.0, 413.0, 18.0], VCNiyC8SPT, 5762800]
[paragraph, [110.0, 139.0, 413.0, 18.0], VCNiyC8SPT, 5762800]
[paragraph, [110.0, 157.0, 413.0, 18.0], VCNiyC8SPT, 5762800]
[paragraph, [110.0, 175.0, 413.0, 18.0], VCNiyC8SPT, 5762800]
[paragraph, [110.0, 193.0, 413.0, 18.0], VCNiyC8SPT, 5762800]
[paragraph, [110.0, 211.0, 413.0, 18.0], VCNiyC8SPT, 5762800]
[paragraph, [110.0, 229.0, 413.0, 18.0], VCNiyC8SPT, 5762800]
[paragraph, [110.0, 247.0, 413.0, 18.0], VCNiyC8SPT, 5762800]
[paragraph, [110.0, 265.0, 413.0, 18.0], VCNiyC8SPT, 5762800]
[paragraph, [110.0, 283.0, 413.0, 18.0], VCNiyC8SPT, 5762800]
[paragraph, [110.0, 301.0, 413.0, 18.0], VCNiyC8SPT, 5762800]
[paragraph, [110.0, 319.0, 413.0, 18.0], VCNiyC8SPT, 5762800]
[paragraph, [110.0, 337.0, 413.0, 18.0], VCNiyC8SPT, 5762800]
[paragraph, [535.0, 103.0, 414.0, 18.0], Rdd6SR9u_o, 5762800]
[paragraph, [535.0, 121.0, 414.0, 18.0], Rdd6SR9u_o, 5762800]
[paragraph, [535.0, 139.0, 414.0, 18.0], Rdd6SR9u_o, 5762800]
[paragraph, [535.0, 157.0, 414.0, 18.0], Rdd6SR9u_o, 5762800]
[paragraph, [535.0, 175.0, 414.0, 18.0], Rdd6SR9u_o, 5762800]
[paragraph, [535.0, 193.0, 414.0, 18.0], Rdd6SR9u_o, 5762800]
[paragraph, [535.0, 211.0, 414.0, 18.0], Rdd6SR9u_o, 5762800]
[paragraph, [535.0, 229.0, 414.0, 18.0], Rdd6SR9u_o, 5762800]
[paragraph, [535.0, 247.0, 414.0, 18.0], Rdd6SR9u_o, 5762800]
