[2230, 1704]
[paragraph, [913.0, 169.0, 769.0, 36.0], shoonya_6sYG9F5NYW4PWQ, 5653894]
[paragraph, [913.0, 205.0, 769.0, 36.0], shoonya_6sYG9F5NYW4PWQ, 5653894]
[paragraph, [913.0, 241.0, 769.0, 36.0], shoonya_6sYG9F5NYW4PWQ, 5653894]
[paragraph, [913.0, 277.0, 769.0, 36.0], shoonya_6sYG9F5NYW4PWQ, 5653894]
[paragraph, [913.0, 313.0, 769.0, 36.0], shoonya_6sYG9F5NYW4PWQ, 5653894]
[paragraph, [913.0, 349.0, 769.0, 36.0], shoonya_6sYG9F5NYW4PWQ, 5653894]
[paragraph, [913.0, 385.0, 769.0, 36.0], shoonya_6sYG9F5NYW4PWQ, 5653894]
[paragraph, [913.0, 421.0, 769.0, 36.0], shoonya_6sYG9F5NYW4PWQ, 5653894]
[paragraph, [913.0, 457.0, 769.0, 36.0], shoonya_6sYG9F5NYW4PWQ, 5653894]
[paragraph, [126.0, 171.0, 752.0, 36.0], shoonya_1sZNI9N05M2DH8, 5653894]
[paragraph, [126.0, 207.0, 752.0, 36.0], shoonya_1sZNI9N05M2DH8, 5653894]
[paragraph, [126.0, 243.0, 752.0, 36.0], shoonya_1sZNI9N05M2DH8, 5653894]
[paragraph, [126.0, 279.0, 752.0, 36.0], shoonya_1sZNI9N05M2DH8, 5653894]
[paragraph, [126.0, 315.0, 752.0, 36.0], shoonya_1sZNI9N05M2DH8, 5653894]
[paragraph, [126.0, 351.0, 752.0, 36.0], shoonya_1sZNI9N05M2DH8, 5653894]
[paragraph, [126.0, 387.0, 752.0, 36.0], shoonya_1sZNI9N05M2DH8, 5653894]
[paragraph, [126.0, 423.0, 752.0, 36.0], shoonya_1sZNI9N05M2DH8, 5653894]
[paragraph, [126.0, 459.0, 752.0, 36.0], shoonya_1sZNI9N05M2DH8, 5653894]
[paragraph, [126.0, 521.0, 299.0, 36.0], shoonya_9sKFVOXMLQEOQ3, 5653894]
[paragraph, [1370.0, 528.0, 310.0, 36.0], shoonya_7s7WZWCS1367LZ, 5653894]
[paragraph, [1370.0, 564.0, 310.0, 36.0], shoonya_7s7WZWCS1367LZ, 5653894]
[paragraph, [1370.0, 600.0, 310.0, 36.0], shoonya_7s7WZWCS1367LZ, 5653894]
[paragraph, [1370.0, 636.0, 310.0, 36.0], shoonya_7s7WZWCS1367LZ, 5653894]
[paragraph, [1370.0, 672.0, 310.0, 36.0], shoonya_7s7WZWCS1367LZ, 5653894]
[paragraph, [1370.0, 708.0, 310.0, 36.0], shoonya_7s7WZWCS1367LZ, 5653894]
[paragraph, [1370.0, 744.0, 310.0, 36.0], shoonya_7s7WZWCS1367LZ, 5653894]
[paragraph, [1370.0, 780.0, 310.0, 36.0], shoonya_7s7WZWCS1367LZ, 5653894]
[paragraph, [1370.0, 816.0, 310.0, 36.0], shoonya_7s7WZWCS1367LZ, 5653894]
[paragraph, [1370.0, 852.0, 310.0, 36.0], shoonya_7s7WZWCS1367LZ, 5653894]
[paragraph, [1370.0, 888.0, 310.0, 36.0], shoonya_7s7WZWCS1367LZ, 5653894]
[paragraph, [1370.0, 924.0, 310.0, 36.0], shoonya_7s7WZWCS1367LZ, 5653894]
[paragraph, [1370.0, 960.0, 310.0, 36.0], shoonya_7s7WZWCS1367LZ, 5653894]
[paragraph, [1370.0, 996.0, 310.0, 36.0], shoonya_7s7WZWCS1367LZ, 5653894]
[paragraph, [1370.0, 1032.0, 310.0, 36.0], shoonya_7s7WZWCS1367LZ, 5653894]
[paragraph, [118.0, 570.0, 364.0, 36.0], shoonya_2s9QCBZQC8OUCX, 5653894]
[paragraph, [118.0, 606.0, 364.0, 36.0], shoonya_2s9QCBZQC8OUCX, 5653894]
[paragraph, [118.0, 642.0, 364.0, 36.0], shoonya_2s9QCBZQC8OUCX, 5653894]
[paragraph, [118.0, 678.0, 364.0, 36.0], shoonya_2s9QCBZQC8OUCX, 5653894]
[paragraph, [118.0, 714.0, 364.0, 36.0], shoonya_2s9QCBZQC8OUCX, 5653894]
