[1468, 909]
[folio, [386.0, 74.0, 151.0, 18.0], shoonya_0sRNMRJRR2EYER, 5770254]
[folio, [386.0, 92.0, 151.0, 18.0], shoonya_0sRNMRJRR2EYER, 5770254]
[paragraph, [473.0, 143.0, 354.0, 18.0], SLr1FE6CFO, 5770254]
[paragraph, [473.0, 161.0, 354.0, 18.0], SLr1FE6CFO, 5770254]
[paragraph, [473.0, 179.0, 354.0, 18.0], SLr1FE6CFO, 5770254]
[paragraph, [473.0, 197.0, 354.0, 18.0], SLr1FE6CFO, 5770254]
[paragraph, [473.0, 215.0, 354.0, 18.0], SLr1FE6CFO, 5770254]
[paragraph, [473.0, 233.0, 354.0, 18.0], SLr1FE6CFO, 5770254]
[paragraph, [473.0, 251.0, 354.0, 18.0], SLr1FE6CFO, 5770254]
[paragraph, [473.0, 269.0, 354.0, 18.0], SLr1FE6CFO, 5770254]
[paragraph, [473.0, 287.0, 354.0, 18.0], SLr1FE6CFO, 5770254]
[paragraph, [473.0, 305.0, 354.0, 18.0], SLr1FE6CFO, 5770254]
[paragraph, [473.0, 323.0, 354.0, 18.0], SLr1FE6CFO, 5770254]
[paragraph, [473.0, 341.0, 354.0, 18.0], SLr1FE6CFO, 5770254]
[paragraph, [473.0, 359.0, 354.0, 18.0], SLr1FE6CFO, 5770254]
[paragraph, [473.0, 377.0, 354.0, 18.0], SLr1FE6CFO, 5770254]
[paragraph, [473.0, 395.0, 354.0, 18.0], SLr1FE6CFO, 5770254]
[paragraph, [473.0, 413.0, 354.0, 18.0], SLr1FE6CFO, 5770254]
[paragraph, [473.0, 431.0, 354.0, 18.0], SLr1FE6CFO, 5770254]
[paragraph, [473.0, 449.0, 354.0, 18.0], SLr1FE6CFO, 5770254]
[paragraph, [473.0, 467.0, 354.0, 18.0], SLr1FE6CFO, 5770254]
[paragraph, [473.0, 485.0, 354.0, 18.0], SLr1FE6CFO, 5770254]
[paragraph, [473.0, 503.0, 354.0, 18.0], SLr1FE6CFO, 5770254]
[paragraph, [473.0, 521.0, 354.0, 18.0], SLr1FE6CFO, 5770254]
[paragraph, [473.0, 539.0, 354.0, 18.0], SLr1FE6CFO, 5770254]
[paragraph, [473.0, 557.0, 354.0, 18.0], SLr1FE6CFO, 5770254]
[paragraph, [473.0, 575.0, 354.0, 18.0], SLr1FE6CFO, 5770254]
[paragraph, [77.0, 144.0, 378.0, 18.0], I7yhQX5gLP, 5770254]
[paragraph, [77.0, 162.0, 378.0, 18.0], I7yhQX5gLP, 5770254]
[paragraph, [77.0, 180.0, 378.0, 18.0], I7yhQX5gLP, 5770254]
[paragraph, [77.0, 198.0, 378.0, 18.0], I7yhQX5gLP, 5770254]
[paragraph, [77.0, 216.0, 378.0, 18.0], I7yhQX5gLP, 5770254]
[paragraph, [77.0, 234.0, 378.0, 18.0], I7yhQX5gLP, 5770254]
