[853, 612]
[folio, [257.0, 15.0, 89.0, 18.0], lzWiWe5w_m, 6459686]
[folio, [257.0, 33.0, 89.0, 18.0], lzWiWe5w_m, 6459686]
[paragraph, [68.0, 71.0, 471.0, 18.0], BxEvAI6wFb, 6459686]
[paragraph, [68.0, 89.0, 471.0, 18.0], BxEvAI6wFb, 6459686]
[paragraph, [68.0, 107.0, 471.0, 18.0], BxEvAI6wFb, 6459686]
[paragraph, [68.0, 125.0, 471.0, 18.0], BxEvAI6wFb, 6459686]
[paragraph, [68.0, 143.0, 471.0, 18.0], BxEvAI6wFb, 6459686]
[paragraph, [68.0, 161.0, 471.0, 18.0], BxEvAI6wFb, 6459686]
[paragraph, [68.0, 179.0, 471.0, 18.0], BxEvAI6wFb, 6459686]
[paragraph, [72.0, 207.0, 465.0, 18.0], shoonya_0sUOKO065AE44N, 6459686]
[paragraph, [72.0, 225.0, 465.0, 18.0], shoonya_0sUOKO065AE44N, 6459686]
[paragraph, [72.0, 243.0, 465.0, 18.0], shoonya_0sUOKO065AE44N, 6459686]
[paragraph, [72.0, 261.0, 465.0, 18.0], shoonya_0sUOKO065AE44N, 6459686]
[paragraph, [72.0, 279.0, 465.0, 18.0], shoonya_0sUOKO065AE44N, 6459686]
[paragraph, [72.0, 297.0, 465.0, 18.0], shoonya_0sUOKO065AE44N, 6459686]
[paragraph, [72.0, 315.0, 465.0, 18.0], shoonya_0sUOKO065AE44N, 6459686]
[paragraph, [72.0, 333.0, 465.0, 18.0], shoonya_0sUOKO065AE44N, 6459686]
[paragraph, [72.0, 351.0, 465.0, 18.0], shoonya_0sUOKO065AE44N, 6459686]
[paragraph, [72.0, 369.0, 465.0, 18.0], shoonya_0sUOKO065AE44N, 6459686]
[paragraph, [72.0, 387.0, 465.0, 18.0], shoonya_0sUOKO065AE44N, 6459686]
[paragraph, [72.0, 405.0, 465.0, 18.0], shoonya_0sUOKO065AE44N, 6459686]
[paragraph, [131.0, 529.0, 282.0, 18.0], 8AtA0da7a7, 6459686]
[paragraph, [131.0, 547.0, 282.0, 18.0], 8AtA0da7a7, 6459686]
[paragraph, [131.0, 565.0, 282.0, 18.0], 8AtA0da7a7, 6459686]
[paragraph, [131.0, 583.0, 282.0, 18.0], 8AtA0da7a7, 6459686]
[paragraph, [131.0, 601.0, 282.0, 18.0], 8AtA0da7a7, 6459686]
[paragraph, [131.0, 619.0, 282.0, 18.0], 8AtA0da7a7, 6459686]
[paragraph, [131.0, 637.0, 282.0, 18.0], 8AtA0da7a7, 6459686]
[paragraph, [127.0, 667.0, 285.0, 18.0], IEEBJ9ZCRJ, 6459686]
[paragraph, [127.0, 685.0, 285.0, 18.0], IEEBJ9ZCRJ, 6459686]
[paragraph, [127.0, 703.0, 285.0, 18.0], IEEBJ9ZCRJ, 6459686]
[paragraph, [127.0, 721.0, 285.0, 18.0], IEEBJ9ZCRJ, 6459686]
[paragraph, [127.0, 739.0, 285.0, 18.0], IEEBJ9ZCRJ, 6459686]
[paragraph, [127.0, 757.0, 285.0, 18.0], IEEBJ9ZCRJ, 6459686]
[paragraph, [127.0, 775.0, 285.0, 18.0], IEEBJ9ZCRJ, 6459686]
