[3509, 2480]
[paragraph, [351.0, 519.0, 1784.0, 52.5], shoonya_1sG7H7QONAAF4H, 5723977]
[paragraph, [351.0, 571.5, 1784.0, 52.5], shoonya_1sG7H7QONAAF4H, 5723977]
[paragraph, [351.0, 624.0, 1784.0, 52.5], shoonya_1sG7H7QONAAF4H, 5723977]
[paragraph, [351.0, 676.5, 1784.0, 52.5], shoonya_1sG7H7QONAAF4H, 5723977]
[paragraph, [351.0, 729.0, 1784.0, 52.5], shoonya_1sG7H7QONAAF4H, 5723977]
[paragraph, [351.0, 781.5, 1784.0, 52.5], shoonya_1sG7H7QONAAF4H, 5723977]
[paragraph, [351.0, 834.0, 1784.0, 52.5], shoonya_1sG7H7QONAAF4H, 5723977]
[paragraph, [351.0, 886.5, 1784.0, 52.5], shoonya_1sG7H7QONAAF4H, 5723977]
[paragraph, [351.0, 939.0, 1784.0, 52.5], shoonya_1sG7H7QONAAF4H, 5723977]
[paragraph, [351.0, 991.5, 1784.0, 52.5], shoonya_1sG7H7QONAAF4H, 5723977]
[paragraph, [351.0, 1044.0, 1784.0, 52.5], shoonya_1sG7H7QONAAF4H, 5723977]
[paragraph, [351.0, 1096.5, 1784.0, 52.5], shoonya_1sG7H7QONAAF4H, 5723977]
[paragraph, [351.0, 1149.0, 1784.0, 52.5], shoonya_1sG7H7QONAAF4H, 5723977]
[paragraph, [351.0, 1201.5, 1784.0, 52.5], shoonya_1sG7H7QONAAF4H, 5723977]
[paragraph, [351.0, 1254.0, 1784.0, 52.5], shoonya_1sG7H7QONAAF4H, 5723977]
[paragraph, [351.0, 1306.5, 1784.0, 52.5], shoonya_1sG7H7QONAAF4H, 5723977]
[paragraph, [351.0, 1359.0, 1784.0, 52.5], shoonya_1sG7H7QONAAF4H, 5723977]
[paragraph, [351.0, 1411.5, 1784.0, 52.5], shoonya_1sG7H7QONAAF4H, 5723977]
[paragraph, [351.0, 1464.0, 1784.0, 52.5], shoonya_1sG7H7QONAAF4H, 5723977]
[paragraph, [351.0, 1516.5, 1784.0, 52.5], shoonya_1sG7H7QONAAF4H, 5723977]
[paragraph, [351.0, 1569.0, 1784.0, 52.5], shoonya_1sG7H7QONAAF4H, 5723977]
[paragraph, [351.0, 1621.5, 1784.0, 52.5], shoonya_1sG7H7QONAAF4H, 5723977]
[paragraph, [351.0, 1674.0, 1784.0, 52.5], shoonya_1sG7H7QONAAF4H, 5723977]
[paragraph, [351.0, 1726.5, 1784.0, 52.5], shoonya_1sG7H7QONAAF4H, 5723977]
[paragraph, [351.0, 1779.0, 1784.0, 52.5], shoonya_1sG7H7QONAAF4H, 5723977]
[paragraph, [351.0, 1831.5, 1784.0, 52.5], shoonya_1sG7H7QONAAF4H, 5723977]
[paragraph, [351.0, 1884.0, 1784.0, 52.5], shoonya_1sG7H7QONAAF4H, 5723977]
[paragraph, [351.0, 1936.5, 1784.0, 52.5], shoonya_1sG7H7QONAAF4H, 5723977]
[paragraph, [351.0, 1989.0, 1784.0, 52.5], shoonya_1sG7H7QONAAF4H, 5723977]
[paragraph, [351.0, 2041.5, 1784.0, 52.5], shoonya_1sG7H7QONAAF4H, 5723977]
[paragraph, [351.0, 2094.0, 1784.0, 52.5], shoonya_1sG7H7QONAAF4H, 5723977]
[paragraph, [351.0, 2146.5, 1784.0, 52.5], shoonya_1sG7H7QONAAF4H, 5723977]
[paragraph, [351.0, 2199.0, 1784.0, 52.5], shoonya_1sG7H7QONAAF4H, 5723977]
[paragraph, [351.0, 2251.5, 1784.0, 52.5], shoonya_1sG7H7QONAAF4H, 5723977]
[paragraph, [351.0, 2304.0, 1784.0, 52.5], shoonya_1sG7H7QONAAF4H, 5723977]
[paragraph, [351.0, 2356.5, 1784.0, 52.5], shoonya_1sG7H7QONAAF4H, 5723977]
[paragraph, [351.0, 2409.0, 1784.0, 52.5], shoonya_1sG7H7QONAAF4H, 5723977]
[paragraph, [351.0, 2461.5, 1784.0, 52.5], shoonya_1sG7H7QONAAF4H, 5723977]
[paragraph, [351.0, 2514.0, 1784.0, 52.5], shoonya_1sG7H7QONAAF4H, 5723977]
[paragraph, [351.0, 2566.5, 1784.0, 52.5], shoonya_1sG7H7QONAAF4H, 5723977]
[paragraph, [351.0, 2619.0, 1784.0, 52.5], shoonya_1sG7H7QONAAF4H, 5723977]
[paragraph, [351.0, 2671.5, 1784.0, 52.5], shoonya_1sG7H7QONAAF4H, 5723977]
[paragraph, [351.0, 2724.0, 1784.0, 52.5], shoonya_1sG7H7QONAAF4H, 5723977]
[paragraph, [499.0, 2873.0, 1249.0, 52.5], UtJib66Tez, 5723977]
[paragraph, [499.0, 2925.5, 1249.0, 52.5], UtJib66Tez, 5723977]
[paragraph, [499.0, 2978.0, 1249.0, 52.5], UtJib66Tez, 5723977]
[paragraph, [499.0, 3030.5, 1249.0, 52.5], UtJib66Tez, 5723977]
[paragraph, [499.0, 3083.0, 1249.0, 52.5], UtJib66Tez, 5723977]
