[3509, 2480]
[paragraph, [363.0, 391.0, 1764.0, 52.5], shoonya_3s9I6NIXB7JGP5, 5723989]
[paragraph, [363.0, 443.5, 1764.0, 52.5], shoonya_3s9I6NIXB7JGP5, 5723989]
[paragraph, [363.0, 496.0, 1764.0, 52.5], shoonya_3s9I6NIXB7JGP5, 5723989]
[paragraph, [363.0, 548.5, 1764.0, 52.5], shoonya_3s9I6NIXB7JGP5, 5723989]
[paragraph, [363.0, 601.0, 1764.0, 52.5], shoonya_3s9I6NIXB7JGP5, 5723989]
[paragraph, [363.0, 653.5, 1764.0, 52.5], shoonya_3s9I6NIXB7JGP5, 5723989]
[paragraph, [363.0, 706.0, 1764.0, 52.5], shoonya_3s9I6NIXB7JGP5, 5723989]
[paragraph, [363.0, 758.5, 1764.0, 52.5], shoonya_3s9I6NIXB7JGP5, 5723989]
[paragraph, [363.0, 811.0, 1764.0, 52.5], shoonya_3s9I6NIXB7JGP5, 5723989]
[paragraph, [363.0, 863.5, 1764.0, 52.5], shoonya_3s9I6NIXB7JGP5, 5723989]
[paragraph, [363.0, 916.0, 1764.0, 52.5], shoonya_3s9I6NIXB7JGP5, 5723989]
[paragraph, [363.0, 968.5, 1764.0, 52.5], shoonya_3s9I6NIXB7JGP5, 5723989]
[paragraph, [363.0, 1021.0, 1764.0, 52.5], shoonya_3s9I6NIXB7JGP5, 5723989]
[paragraph, [365.0, 1103.0, 1759.0, 52.5], shoonya_2s8S8NF048PMVM, 5723989]
[paragraph, [365.0, 1155.5, 1759.0, 52.5], shoonya_2s8S8NF048PMVM, 5723989]
[paragraph, [365.0, 1208.0, 1759.0, 52.5], shoonya_2s8S8NF048PMVM, 5723989]
[paragraph, [365.0, 1260.5, 1759.0, 52.5], shoonya_2s8S8NF048PMVM, 5723989]
[paragraph, [365.0, 1313.0, 1759.0, 52.5], shoonya_2s8S8NF048PMVM, 5723989]
[paragraph, [365.0, 1365.5, 1759.0, 52.5], shoonya_2s8S8NF048PMVM, 5723989]
[paragraph, [365.0, 1418.0, 1759.0, 52.5], shoonya_2s8S8NF048PMVM, 5723989]
[paragraph, [365.0, 1470.5, 1759.0, 52.5], shoonya_2s8S8NF048PMVM, 5723989]
[paragraph, [365.0, 1523.0, 1759.0, 52.5], shoonya_2s8S8NF048PMVM, 5723989]
[paragraph, [365.0, 1575.5, 1759.0, 52.5], shoonya_2s8S8NF048PMVM, 5723989]
[paragraph, [365.0, 1628.0, 1759.0, 52.5], shoonya_2s8S8NF048PMVM, 5723989]
[paragraph, [365.0, 1680.5, 1759.0, 52.5], shoonya_2s8S8NF048PMVM, 5723989]
[paragraph, [365.0, 1733.0, 1759.0, 52.5], shoonya_2s8S8NF048PMVM, 5723989]
[paragraph, [365.0, 1785.5, 1759.0, 52.5], shoonya_2s8S8NF048PMVM, 5723989]
[paragraph, [365.0, 1838.0, 1759.0, 52.5], shoonya_2s8S8NF048PMVM, 5723989]
[paragraph, [365.0, 1890.5, 1759.0, 52.5], shoonya_2s8S8NF048PMVM, 5723989]
[paragraph, [365.0, 1943.0, 1759.0, 52.5], shoonya_2s8S8NF048PMVM, 5723989]
[paragraph, [365.0, 1995.5, 1759.0, 52.5], shoonya_2s8S8NF048PMVM, 5723989]
[paragraph, [365.0, 2048.0, 1759.0, 52.5], shoonya_2s8S8NF048PMVM, 5723989]
[paragraph, [365.0, 2100.5, 1759.0, 52.5], shoonya_2s8S8NF048PMVM, 5723989]
[paragraph, [365.0, 2153.0, 1759.0, 52.5], shoonya_2s8S8NF048PMVM, 5723989]
[paragraph, [365.0, 2205.5, 1759.0, 52.5], shoonya_2s8S8NF048PMVM, 5723989]
[paragraph, [365.0, 2258.0, 1759.0, 52.5], shoonya_2s8S8NF048PMVM, 5723989]
[paragraph, [365.0, 2310.5, 1759.0, 52.5], shoonya_2s8S8NF048PMVM, 5723989]
[paragraph, [365.0, 2363.0, 1759.0, 52.5], shoonya_2s8S8NF048PMVM, 5723989]
[paragraph, [365.0, 2415.5, 1759.0, 52.5], shoonya_2s8S8NF048PMVM, 5723989]
[paragraph, [365.0, 2468.0, 1759.0, 52.5], shoonya_2s8S8NF048PMVM, 5723989]
[paragraph, [365.0, 2520.5, 1759.0, 52.5], shoonya_2s8S8NF048PMVM, 5723989]
[footnote, [369.0, 2716.0, 1765.0, 52.5], shoonya_0sNGNI9MNRJOIA, 5723989]
[footnote, [369.0, 2768.5, 1765.0, 52.5], shoonya_0sNGNI9MNRJOIA, 5723989]
[footnote, [369.0, 2821.0, 1765.0, 52.5], shoonya_0sNGNI9MNRJOIA, 5723989]
[footnote, [369.0, 2873.5, 1765.0, 52.5], shoonya_0sNGNI9MNRJOIA, 5723989]
[footnote, [369.0, 2926.0, 1765.0, 52.5], shoonya_0sNGNI9MNRJOIA, 5723989]
[footnote, [369.0, 2978.5, 1765.0, 52.5], shoonya_0sNGNI9MNRJOIA, 5723989]
[footnote, [369.0, 3031.0, 1765.0, 52.5], shoonya_0sNGNI9MNRJOIA, 5723989]
