[2717, 1772]
[folio, [589.0, 229.0, 555.0, 46.5], shoonya_2s4P6FD16VFGNW, 5720888]
[paragraph, [223.0, 330.0, 1346.0, 46.5], shoonya_1s9MGDB05IWTHA, 5720888]
[paragraph, [223.0, 376.5, 1346.0, 46.5], shoonya_1s9MGDB05IWTHA, 5720888]
[paragraph, [223.0, 423.0, 1346.0, 46.5], shoonya_1s9MGDB05IWTHA, 5720888]
[paragraph, [223.0, 469.5, 1346.0, 46.5], shoonya_1s9MGDB05IWTHA, 5720888]
[paragraph, [223.0, 516.0, 1346.0, 46.5], shoonya_1s9MGDB05IWTHA, 5720888]
[paragraph, [223.0, 562.5, 1346.0, 46.5], shoonya_1s9MGDB05IWTHA, 5720888]
[paragraph, [223.0, 609.0, 1346.0, 46.5], shoonya_1s9MGDB05IWTHA, 5720888]
[paragraph, [223.0, 655.5, 1346.0, 46.5], shoonya_1s9MGDB05IWTHA, 5720888]
[paragraph, [223.0, 702.0, 1346.0, 46.5], shoonya_1s9MGDB05IWTHA, 5720888]
[paragraph, [223.0, 748.5, 1346.0, 46.5], shoonya_1s9MGDB05IWTHA, 5720888]
[paragraph, [223.0, 841.0, 1342.0, 46.5], qqx6ipS2Ac, 5720888]
[paragraph, [223.0, 887.5, 1342.0, 46.5], qqx6ipS2Ac, 5720888]
[paragraph, [223.0, 934.0, 1342.0, 46.5], qqx6ipS2Ac, 5720888]
[paragraph, [223.0, 980.5, 1342.0, 46.5], qqx6ipS2Ac, 5720888]
[paragraph, [223.0, 1027.0, 1342.0, 46.5], qqx6ipS2Ac, 5720888]
[paragraph, [223.0, 1073.5, 1342.0, 46.5], qqx6ipS2Ac, 5720888]
[paragraph, [223.0, 1120.0, 1342.0, 46.5], qqx6ipS2Ac, 5720888]
[paragraph, [223.0, 1166.5, 1342.0, 46.5], qqx6ipS2Ac, 5720888]
[paragraph, [223.0, 1213.0, 1342.0, 46.5], qqx6ipS2Ac, 5720888]
[paragraph, [219.0, 1324.0, 1342.0, 46.5], BRCh6YQ-c7, 5720888]
[paragraph, [219.0, 1370.5, 1342.0, 46.5], BRCh6YQ-c7, 5720888]
[paragraph, [219.0, 1417.0, 1342.0, 46.5], BRCh6YQ-c7, 5720888]
[paragraph, [219.0, 1463.5, 1342.0, 46.5], BRCh6YQ-c7, 5720888]
[paragraph, [219.0, 1510.0, 1342.0, 46.5], BRCh6YQ-c7, 5720888]
[paragraph, [219.0, 1556.5, 1342.0, 46.5], BRCh6YQ-c7, 5720888]
[paragraph, [219.0, 1603.0, 1342.0, 46.5], BRCh6YQ-c7, 5720888]
[paragraph, [230.0, 1654.0, 1326.0, 46.5], 3J24nF2-Jz, 5720888]
[paragraph, [230.0, 1700.5, 1326.0, 46.5], 3J24nF2-Jz, 5720888]
[paragraph, [341.0, 1791.0, 1105.0, 46.5], 3DctOyTsmi, 5720888]
[paragraph, [228.0, 1868.0, 1331.0, 46.5], kk2Vf_r9TJ, 5720888]
[paragraph, [228.0, 1914.5, 1331.0, 46.5], kk2Vf_r9TJ, 5720888]
[paragraph, [228.0, 1961.0, 1331.0, 46.5], kk2Vf_r9TJ, 5720888]
[paragraph, [228.0, 2007.5, 1331.0, 46.5], kk2Vf_r9TJ, 5720888]
[paragraph, [228.0, 2054.0, 1331.0, 46.5], kk2Vf_r9TJ, 5720888]
[paragraph, [221.0, 2125.0, 1342.0, 46.5], UG2VVztiIp, 5720888]
[paragraph, [221.0, 2171.5, 1342.0, 46.5], UG2VVztiIp, 5720888]
[paragraph, [221.0, 2218.0, 1342.0, 46.5], UG2VVztiIp, 5720888]
[paragraph, [221.0, 2264.5, 1342.0, 46.5], UG2VVztiIp, 5720888]
[paragraph, [221.0, 2311.0, 1342.0, 46.5], UG2VVztiIp, 5720888]
[paragraph, [221.0, 2357.5, 1342.0, 46.5], UG2VVztiIp, 5720888]
[paragraph, [221.0, 2404.0, 1342.0, 46.5], UG2VVztiIp, 5720888]
[paragraph, [221.0, 2450.5, 1342.0, 46.5], UG2VVztiIp, 5720888]
