[2000, 1414]
[section-title, [65.0, 79.0, 313.0, 52.5], s-QFODVqd6, 6533668]
[folio, [1042.0, 83.0, 95.0, 36.0], Utsg4iX1t9, 6533668]
[folio, [1219.0, 83.0, 120.0, 36.0], 2gEz414327, 6533668]
[folio, [1219.0, 119.0, 120.0, 36.0], 2gEz414327, 6533668]
[flag, [437.0, 284.0, 575.0, 36.0], TsOPPFqokh, 6533668]
[flag, [437.0, 320.0, 575.0, 36.0], TsOPPFqokh, 6533668]
[flag, [437.0, 356.0, 575.0, 36.0], TsOPPFqokh, 6533668]
[flag, [437.0, 392.0, 575.0, 36.0], TsOPPFqokh, 6533668]
[flag, [437.0, 428.0, 575.0, 36.0], TsOPPFqokh, 6533668]
[flag, [437.0, 464.0, 575.0, 36.0], TsOPPFqokh, 6533668]
[flag, [437.0, 500.0, 575.0, 36.0], TsOPPFqokh, 6533668]
[flag, [352.0, 1437.0, 725.0, 36.0], lTiMZj60Oh, 6533668]
[flag, [352.0, 1473.0, 725.0, 36.0], lTiMZj60Oh, 6533668]
[flag, [352.0, 1509.0, 725.0, 36.0], lTiMZj60Oh, 6533668]
[flag, [352.0, 1545.0, 725.0, 36.0], lTiMZj60Oh, 6533668]
[flag, [352.0, 1581.0, 725.0, 36.0], lTiMZj60Oh, 6533668]
[flag, [352.0, 1617.0, 725.0, 36.0], lTiMZj60Oh, 6533668]
[flag, [352.0, 1653.0, 725.0, 36.0], lTiMZj60Oh, 6533668]
[flag, [352.0, 1689.0, 725.0, 36.0], lTiMZj60Oh, 6533668]
[paragraph, [483.0, 1814.0, 161.0, 36.0], 8OSA3wjdxg, 6533668]
[paragraph, [483.0, 1850.0, 161.0, 36.0], 8OSA3wjdxg, 6533668]
[paragraph, [748.0, 1814.0, 159.0, 36.0], 1F2F-EcDqY, 6533668]
[paragraph, [748.0, 1850.0, 159.0, 36.0], 1F2F-EcDqY, 6533668]
[paragraph, [130.0, 1824.0, 242.0, 36.0], 4R6vwBuHEz, 6533668]
[paragraph, [130.0, 1860.0, 242.0, 36.0], 4R6vwBuHEz, 6533668]
[paragraph, [969.0, 1826.0, 350.0, 36.0], OimWOUtqlo, 6533668]
