[2339, 1653]
[paragraph, [247.0, 245.0, 1152.0, 36.0], shoonya_2s0OPJ461F75GY, 5687263]
[paragraph, [247.0, 281.0, 1152.0, 36.0], shoonya_2s0OPJ461F75GY, 5687263]
[paragraph, [247.0, 317.0, 1152.0, 36.0], shoonya_2s0OPJ461F75GY, 5687263]
[paragraph, [247.0, 353.0, 1152.0, 36.0], shoonya_2s0OPJ461F75GY, 5687263]
[paragraph, [247.0, 389.0, 1152.0, 36.0], shoonya_2s0OPJ461F75GY, 5687263]
[paragraph, [247.0, 425.0, 1152.0, 36.0], shoonya_2s0OPJ461F75GY, 5687263]
[paragraph, [247.0, 461.0, 1152.0, 36.0], shoonya_2s0OPJ461F75GY, 5687263]
[paragraph, [249.0, 523.0, 1156.0, 36.0], shoonya_0s37MWFI40ASE9, 5687263]
[paragraph, [249.0, 559.0, 1156.0, 36.0], shoonya_0s37MWFI40ASE9, 5687263]
[paragraph, [249.0, 595.0, 1156.0, 36.0], shoonya_0s37MWFI40ASE9, 5687263]
[paragraph, [249.0, 631.0, 1156.0, 36.0], shoonya_0s37MWFI40ASE9, 5687263]
[paragraph, [249.0, 667.0, 1156.0, 36.0], shoonya_0s37MWFI40ASE9, 5687263]
[paragraph, [249.0, 703.0, 1156.0, 36.0], shoonya_0s37MWFI40ASE9, 5687263]
[paragraph, [249.0, 739.0, 1156.0, 36.0], shoonya_0s37MWFI40ASE9, 5687263]
[paragraph, [249.0, 775.0, 1156.0, 36.0], shoonya_0s37MWFI40ASE9, 5687263]
[paragraph, [249.0, 811.0, 1156.0, 36.0], shoonya_0s37MWFI40ASE9, 5687263]
[paragraph, [247.0, 873.0, 1159.0, 36.0], shoonya_1s28DIIA5223DS, 5687263]
[paragraph, [247.0, 909.0, 1159.0, 36.0], shoonya_1s28DIIA5223DS, 5687263]
[paragraph, [247.0, 945.0, 1159.0, 36.0], shoonya_1s28DIIA5223DS, 5687263]
[paragraph, [247.0, 981.0, 1159.0, 36.0], shoonya_1s28DIIA5223DS, 5687263]
[paragraph, [247.0, 1017.0, 1159.0, 36.0], shoonya_1s28DIIA5223DS, 5687263]
[paragraph, [247.0, 1053.0, 1159.0, 36.0], shoonya_1s28DIIA5223DS, 5687263]
[paragraph, [247.0, 1089.0, 1159.0, 36.0], shoonya_1s28DIIA5223DS, 5687263]
[paragraph, [247.0, 1125.0, 1159.0, 36.0], shoonya_1s28DIIA5223DS, 5687263]
[paragraph, [247.0, 1161.0, 1159.0, 36.0], shoonya_1s28DIIA5223DS, 5687263]
[paragraph, [247.0, 1197.0, 1159.0, 36.0], shoonya_1s28DIIA5223DS, 5687263]
[paragraph, [247.0, 1233.0, 1159.0, 36.0], shoonya_1s28DIIA5223DS, 5687263]
[paragraph, [247.0, 1269.0, 1159.0, 36.0], shoonya_1s28DIIA5223DS, 5687263]
[paragraph, [247.0, 1305.0, 1159.0, 36.0], shoonya_1s28DIIA5223DS, 5687263]
[paragraph, [247.0, 1341.0, 1159.0, 36.0], shoonya_1s28DIIA5223DS, 5687263]
[paragraph, [247.0, 1377.0, 1159.0, 36.0], shoonya_1s28DIIA5223DS, 5687263]
[paragraph, [247.0, 1413.0, 1159.0, 36.0], shoonya_1s28DIIA5223DS, 5687263]
[paragraph, [247.0, 1449.0, 1159.0, 36.0], shoonya_1s28DIIA5223DS, 5687263]
[paragraph, [247.0, 1485.0, 1159.0, 36.0], shoonya_1s28DIIA5223DS, 5687263]
[paragraph, [247.0, 1521.0, 1159.0, 36.0], shoonya_1s28DIIA5223DS, 5687263]
[paragraph, [247.0, 1557.0, 1159.0, 36.0], shoonya_1s28DIIA5223DS, 5687263]
[paragraph, [247.0, 1593.0, 1159.0, 36.0], shoonya_1s28DIIA5223DS, 5687263]
[paragraph, [247.0, 1629.0, 1159.0, 36.0], shoonya_1s28DIIA5223DS, 5687263]
[paragraph, [247.0, 1665.0, 1159.0, 36.0], shoonya_1s28DIIA5223DS, 5687263]
[paragraph, [247.0, 1701.0, 1159.0, 36.0], shoonya_1s28DIIA5223DS, 5687263]
[paragraph, [247.0, 1737.0, 1159.0, 36.0], shoonya_1s28DIIA5223DS, 5687263]
[paragraph, [247.0, 1773.0, 1159.0, 36.0], shoonya_1s28DIIA5223DS, 5687263]
[paragraph, [247.0, 1809.0, 1159.0, 36.0], shoonya_1s28DIIA5223DS, 5687263]
[paragraph, [247.0, 1845.0, 1159.0, 36.0], shoonya_1s28DIIA5223DS, 5687263]
[paragraph, [247.0, 1881.0, 1159.0, 36.0], shoonya_1s28DIIA5223DS, 5687263]
[paragraph, [247.0, 1917.0, 1159.0, 36.0], shoonya_1s28DIIA5223DS, 5687263]
[reference, [248.0, 2020.0, 334.0, 36.0], shoonya_3s8CTCYJITQXGR, 5687263]
[reference, [248.0, 2056.0, 334.0, 36.0], shoonya_3s8CTCYJITQXGR, 5687263]
