[1951, 1219]
[folio, [790.0, 121.0, 199.0, 36.0], shoonya_0sFNC8ILOW54FP, 5683045]
[paragraph, [120.0, 208.0, 964.0, 36.0], 0lGVu4Ma1L, 5683045]
[paragraph, [120.0, 244.0, 964.0, 36.0], 0lGVu4Ma1L, 5683045]
[paragraph, [120.0, 280.0, 964.0, 36.0], 0lGVu4Ma1L, 5683045]
[paragraph, [120.0, 316.0, 964.0, 36.0], 0lGVu4Ma1L, 5683045]
[paragraph, [120.0, 352.0, 964.0, 36.0], 0lGVu4Ma1L, 5683045]
[paragraph, [120.0, 388.0, 964.0, 36.0], 0lGVu4Ma1L, 5683045]
[paragraph, [120.0, 424.0, 964.0, 36.0], 0lGVu4Ma1L, 5683045]
[paragraph, [120.0, 460.0, 964.0, 36.0], 0lGVu4Ma1L, 5683045]
[paragraph, [120.0, 496.0, 964.0, 36.0], 0lGVu4Ma1L, 5683045]
[paragraph, [120.0, 532.0, 964.0, 36.0], 0lGVu4Ma1L, 5683045]
[paragraph, [120.0, 568.0, 964.0, 36.0], 0lGVu4Ma1L, 5683045]
[paragraph, [120.0, 604.0, 964.0, 36.0], 0lGVu4Ma1L, 5683045]
[paragraph, [120.0, 640.0, 964.0, 36.0], 0lGVu4Ma1L, 5683045]
[paragraph, [120.0, 676.0, 964.0, 36.0], 0lGVu4Ma1L, 5683045]
[paragraph, [120.0, 712.0, 964.0, 36.0], 0lGVu4Ma1L, 5683045]
[paragraph, [120.0, 748.0, 964.0, 36.0], 0lGVu4Ma1L, 5683045]
[paragraph, [120.0, 784.0, 964.0, 36.0], 0lGVu4Ma1L, 5683045]
[paragraph, [120.0, 820.0, 964.0, 36.0], 0lGVu4Ma1L, 5683045]
[paragraph, [120.0, 856.0, 964.0, 36.0], 0lGVu4Ma1L, 5683045]
[paragraph, [120.0, 892.0, 964.0, 36.0], 0lGVu4Ma1L, 5683045]
[paragraph, [120.0, 928.0, 964.0, 36.0], 0lGVu4Ma1L, 5683045]
[paragraph, [120.0, 964.0, 964.0, 36.0], 0lGVu4Ma1L, 5683045]
[paragraph, [120.0, 1000.0, 964.0, 36.0], 0lGVu4Ma1L, 5683045]
[paragraph, [120.0, 1036.0, 964.0, 36.0], 0lGVu4Ma1L, 5683045]
[paragraph, [120.0, 1072.0, 964.0, 36.0], 0lGVu4Ma1L, 5683045]
[paragraph, [117.0, 1143.0, 969.0, 36.0], 6VBL4QTrYV, 5683045]
[paragraph, [117.0, 1179.0, 969.0, 36.0], 6VBL4QTrYV, 5683045]
[paragraph, [117.0, 1215.0, 969.0, 36.0], 6VBL4QTrYV, 5683045]
[paragraph, [117.0, 1251.0, 969.0, 36.0], 6VBL4QTrYV, 5683045]
[paragraph, [117.0, 1287.0, 969.0, 36.0], 6VBL4QTrYV, 5683045]
[paragraph, [117.0, 1323.0, 969.0, 36.0], 6VBL4QTrYV, 5683045]
[paragraph, [117.0, 1359.0, 969.0, 36.0], 6VBL4QTrYV, 5683045]
[paragraph, [117.0, 1395.0, 969.0, 36.0], 6VBL4QTrYV, 5683045]
[paragraph, [117.0, 1431.0, 969.0, 36.0], 6VBL4QTrYV, 5683045]
[paragraph, [117.0, 1467.0, 969.0, 36.0], 6VBL4QTrYV, 5683045]
[paragraph, [117.0, 1503.0, 969.0, 36.0], 6VBL4QTrYV, 5683045]
[paragraph, [117.0, 1539.0, 969.0, 36.0], 6VBL4QTrYV, 5683045]
[paragraph, [117.0, 1575.0, 969.0, 36.0], 6VBL4QTrYV, 5683045]
[paragraph, [117.0, 1611.0, 969.0, 36.0], 6VBL4QTrYV, 5683045]
[paragraph, [117.0, 1647.0, 969.0, 36.0], 6VBL4QTrYV, 5683045]
[paragraph, [117.0, 1683.0, 969.0, 36.0], 6VBL4QTrYV, 5683045]
[paragraph, [117.0, 1719.0, 969.0, 36.0], 6VBL4QTrYV, 5683045]
[paragraph, [198.0, 1783.0, 886.0, 36.0], c7z2M3__YL, 5683045]
