[1650, 1275]
[paragraph, [185.0, 140.0, 906.0, 36.0], shoonya_2sZMF7BDFVIZF8, 5703929]
[paragraph, [185.0, 176.0, 906.0, 36.0], shoonya_2sZMF7BDFVIZF8, 5703929]
[paragraph, [185.0, 212.0, 906.0, 36.0], shoonya_2sZMF7BDFVIZF8, 5703929]
[paragraph, [185.0, 248.0, 906.0, 36.0], shoonya_2sZMF7BDFVIZF8, 5703929]
[paragraph, [185.0, 284.0, 906.0, 36.0], shoonya_2sZMF7BDFVIZF8, 5703929]
[paragraph, [185.0, 320.0, 906.0, 36.0], shoonya_2sZMF7BDFVIZF8, 5703929]
[paragraph, [185.0, 356.0, 906.0, 36.0], shoonya_2sZMF7BDFVIZF8, 5703929]
[paragraph, [185.0, 392.0, 906.0, 36.0], shoonya_2sZMF7BDFVIZF8, 5703929]
[paragraph, [185.0, 428.0, 906.0, 36.0], shoonya_2sZMF7BDFVIZF8, 5703929]
[paragraph, [185.0, 464.0, 906.0, 36.0], shoonya_2sZMF7BDFVIZF8, 5703929]
[paragraph, [185.0, 500.0, 906.0, 36.0], shoonya_2sZMF7BDFVIZF8, 5703929]
[paragraph, [185.0, 536.0, 906.0, 36.0], shoonya_2sZMF7BDFVIZF8, 5703929]
[paragraph, [185.0, 572.0, 906.0, 36.0], shoonya_2sZMF7BDFVIZF8, 5703929]
[paragraph, [185.0, 608.0, 906.0, 36.0], shoonya_2sZMF7BDFVIZF8, 5703929]
[paragraph, [185.0, 644.0, 906.0, 36.0], shoonya_2sZMF7BDFVIZF8, 5703929]
[paragraph, [185.0, 680.0, 906.0, 36.0], shoonya_2sZMF7BDFVIZF8, 5703929]
[paragraph, [189.0, 784.0, 897.0, 36.0], shoonya_1s4A5N2TQ1E4GP, 5703929]
[paragraph, [189.0, 820.0, 897.0, 36.0], shoonya_1s4A5N2TQ1E4GP, 5703929]
[paragraph, [189.0, 856.0, 897.0, 36.0], shoonya_1s4A5N2TQ1E4GP, 5703929]
[paragraph, [189.0, 892.0, 897.0, 36.0], shoonya_1s4A5N2TQ1E4GP, 5703929]
[paragraph, [186.0, 961.0, 902.0, 36.0], shoonya_0sBSW6FL81YIWX, 5703929]
[paragraph, [186.0, 997.0, 902.0, 36.0], shoonya_0sBSW6FL81YIWX, 5703929]
[paragraph, [186.0, 1033.0, 902.0, 36.0], shoonya_0sBSW6FL81YIWX, 5703929]
[paragraph, [186.0, 1069.0, 902.0, 36.0], shoonya_0sBSW6FL81YIWX, 5703929]
[paragraph, [186.0, 1105.0, 902.0, 36.0], shoonya_0sBSW6FL81YIWX, 5703929]
[paragraph, [186.0, 1141.0, 902.0, 36.0], shoonya_0sBSW6FL81YIWX, 5703929]
[paragraph, [186.0, 1177.0, 902.0, 36.0], shoonya_0sBSW6FL81YIWX, 5703929]
[paragraph, [186.0, 1213.0, 902.0, 36.0], shoonya_0sBSW6FL81YIWX, 5703929]
[paragraph, [186.0, 1249.0, 902.0, 36.0], shoonya_0sBSW6FL81YIWX, 5703929]
[paragraph, [186.0, 1285.0, 902.0, 36.0], shoonya_0sBSW6FL81YIWX, 5703929]
[paragraph, [186.0, 1321.0, 902.0, 36.0], shoonya_0sBSW6FL81YIWX, 5703929]
[paragraph, [186.0, 1357.0, 902.0, 36.0], shoonya_0sBSW6FL81YIWX, 5703929]
[paragraph, [186.0, 1393.0, 902.0, 36.0], shoonya_0sBSW6FL81YIWX, 5703929]
[paragraph, [186.0, 1429.0, 902.0, 36.0], shoonya_0sBSW6FL81YIWX, 5703929]
