[2339, 1653]
[paragraph, [324.0, 163.0, 1133.0, 36.0], shoonya_3sD5L0VK0SCEQB, 5733785]
[paragraph, [324.0, 199.0, 1133.0, 36.0], shoonya_3sD5L0VK0SCEQB, 5733785]
[paragraph, [324.0, 235.0, 1133.0, 36.0], shoonya_3sD5L0VK0SCEQB, 5733785]
[paragraph, [324.0, 271.0, 1133.0, 36.0], shoonya_3sD5L0VK0SCEQB, 5733785]
[paragraph, [324.0, 438.0, 1145.0, 36.0], shoonya_0sLY465RHY0QGM, 5733785]
[paragraph, [324.0, 474.0, 1145.0, 36.0], shoonya_0sLY465RHY0QGM, 5733785]
[paragraph, [324.0, 510.0, 1145.0, 36.0], shoonya_0sLY465RHY0QGM, 5733785]
[paragraph, [324.0, 546.0, 1145.0, 36.0], shoonya_0sLY465RHY0QGM, 5733785]
[paragraph, [324.0, 582.0, 1145.0, 36.0], shoonya_0sLY465RHY0QGM, 5733785]
[paragraph, [324.0, 618.0, 1145.0, 36.0], shoonya_0sLY465RHY0QGM, 5733785]
[paragraph, [324.0, 654.0, 1145.0, 36.0], shoonya_0sLY465RHY0QGM, 5733785]
[paragraph, [324.0, 690.0, 1145.0, 36.0], shoonya_0sLY465RHY0QGM, 5733785]
[paragraph, [324.0, 726.0, 1145.0, 36.0], shoonya_0sLY465RHY0QGM, 5733785]
[paragraph, [324.0, 762.0, 1145.0, 36.0], shoonya_0sLY465RHY0QGM, 5733785]
[paragraph, [324.0, 798.0, 1145.0, 36.0], shoonya_0sLY465RHY0QGM, 5733785]
[paragraph, [324.0, 834.0, 1145.0, 36.0], shoonya_0sLY465RHY0QGM, 5733785]
[paragraph, [324.0, 870.0, 1145.0, 36.0], shoonya_0sLY465RHY0QGM, 5733785]
[paragraph, [324.0, 906.0, 1145.0, 36.0], shoonya_0sLY465RHY0QGM, 5733785]
[paragraph, [324.0, 942.0, 1145.0, 36.0], shoonya_0sLY465RHY0QGM, 5733785]
[paragraph, [324.0, 978.0, 1145.0, 36.0], shoonya_0sLY465RHY0QGM, 5733785]
[paragraph, [324.0, 1014.0, 1145.0, 36.0], shoonya_0sLY465RHY0QGM, 5733785]
[paragraph, [324.0, 1050.0, 1145.0, 36.0], shoonya_0sLY465RHY0QGM, 5733785]
[paragraph, [324.0, 1086.0, 1145.0, 36.0], shoonya_0sLY465RHY0QGM, 5733785]
[paragraph, [326.0, 1159.0, 1143.0, 36.0], shoonya_2sOBQY2VNK0CF9, 5733785]
[paragraph, [326.0, 1195.0, 1143.0, 36.0], shoonya_2sOBQY2VNK0CF9, 5733785]
[paragraph, [326.0, 1231.0, 1143.0, 36.0], shoonya_2sOBQY2VNK0CF9, 5733785]
[paragraph, [326.0, 1267.0, 1143.0, 36.0], shoonya_2sOBQY2VNK0CF9, 5733785]
[paragraph, [326.0, 1303.0, 1143.0, 36.0], shoonya_2sOBQY2VNK0CF9, 5733785]
[paragraph, [326.0, 1339.0, 1143.0, 36.0], shoonya_2sOBQY2VNK0CF9, 5733785]
[paragraph, [326.0, 1375.0, 1143.0, 36.0], shoonya_2sOBQY2VNK0CF9, 5733785]
[paragraph, [326.0, 1411.0, 1143.0, 36.0], shoonya_2sOBQY2VNK0CF9, 5733785]
[paragraph, [326.0, 1447.0, 1143.0, 36.0], shoonya_2sOBQY2VNK0CF9, 5733785]
[paragraph, [326.0, 1483.0, 1143.0, 36.0], shoonya_2sOBQY2VNK0CF9, 5733785]
[paragraph, [326.0, 1519.0, 1143.0, 36.0], shoonya_2sOBQY2VNK0CF9, 5733785]
[paragraph, [326.0, 1555.0, 1143.0, 36.0], shoonya_2sOBQY2VNK0CF9, 5733785]
[paragraph, [326.0, 1591.0, 1143.0, 36.0], shoonya_2sOBQY2VNK0CF9, 5733785]
[paragraph, [326.0, 1627.0, 1143.0, 36.0], shoonya_2sOBQY2VNK0CF9, 5733785]
[paragraph, [326.0, 1663.0, 1143.0, 36.0], shoonya_2sOBQY2VNK0CF9, 5733785]
[paragraph, [326.0, 1713.0, 1136.0, 36.0], shoonya_1sLEUJK9EXNXQ6, 5733785]
[paragraph, [326.0, 1749.0, 1136.0, 36.0], shoonya_1sLEUJK9EXNXQ6, 5733785]
[paragraph, [326.0, 1785.0, 1136.0, 36.0], shoonya_1sLEUJK9EXNXQ6, 5733785]
[paragraph, [326.0, 1821.0, 1136.0, 36.0], shoonya_1sLEUJK9EXNXQ6, 5733785]
[paragraph, [326.0, 1857.0, 1136.0, 36.0], shoonya_1sLEUJK9EXNXQ6, 5733785]
[paragraph, [326.0, 1893.0, 1136.0, 36.0], shoonya_1sLEUJK9EXNXQ6, 5733785]
[paragraph, [326.0, 1929.0, 1136.0, 36.0], shoonya_1sLEUJK9EXNXQ6, 5733785]
[paragraph, [326.0, 1965.0, 1136.0, 36.0], shoonya_1sLEUJK9EXNXQ6, 5733785]
[paragraph, [326.0, 2001.0, 1136.0, 36.0], shoonya_1sLEUJK9EXNXQ6, 5733785]
[paragraph, [326.0, 2037.0, 1136.0, 36.0], shoonya_1sLEUJK9EXNXQ6, 5733785]
[folio, [1108.0, 2153.0, 283.0, 36.0], NIzEGduwVK, 5733785]
