[792, 613]
[folio, [21.0, 0.0, 129.0, 18.0], X2FZZ77lUd, 5772419]
[folio, [525.0, 0.0, 49.0, 18.0], G6o5GwyrKf, 5772419]
[headline, [205.0, 30.0, 222.0, 25.5], shoonya_0sK7SRI5XPQITT, 5772419]
[sub-headline, [237.0, 69.0, 155.0, 25.5], L-9R9294f5, 5772419]
[ordered-list, [96.0, 111.0, 403.0, 18.0], 41s6qXt9Ct, 5772419]
[ordered-list, [96.0, 129.0, 403.0, 18.0], 41s6qXt9Ct, 5772419]
[ordered-list, [96.0, 147.0, 403.0, 18.0], 41s6qXt9Ct, 5772419]
[ordered-list, [96.0, 165.0, 403.0, 18.0], 41s6qXt9Ct, 5772419]
[ordered-list, [96.0, 183.0, 403.0, 18.0], 41s6qXt9Ct, 5772419]
[ordered-list, [96.0, 201.0, 403.0, 18.0], 41s6qXt9Ct, 5772419]
[ordered-list, [96.0, 219.0, 403.0, 18.0], 41s6qXt9Ct, 5772419]
[ordered-list, [96.0, 237.0, 403.0, 18.0], 41s6qXt9Ct, 5772419]
[ordered-list, [96.0, 255.0, 403.0, 18.0], 41s6qXt9Ct, 5772419]
[ordered-list, [96.0, 273.0, 403.0, 18.0], 41s6qXt9Ct, 5772419]
[ordered-list, [96.0, 291.0, 403.0, 18.0], 41s6qXt9Ct, 5772419]
[ordered-list, [96.0, 309.0, 403.0, 18.0], 41s6qXt9Ct, 5772419]
[ordered-list, [96.0, 327.0, 403.0, 18.0], 41s6qXt9Ct, 5772419]
[ordered-list, [96.0, 345.0, 403.0, 18.0], 41s6qXt9Ct, 5772419]
[ordered-list, [96.0, 363.0, 403.0, 18.0], 41s6qXt9Ct, 5772419]
[ordered-list, [96.0, 381.0, 403.0, 18.0], 41s6qXt9Ct, 5772419]
[ordered-list, [96.0, 399.0, 403.0, 18.0], 41s6qXt9Ct, 5772419]
[ordered-list, [96.0, 417.0, 403.0, 18.0], 41s6qXt9Ct, 5772419]
[sub-ordered-list, [124.0, 144.0, 261.0, 18.0], d3VPUje3xc, 5772419]
[sub-ordered-list, [124.0, 162.0, 261.0, 18.0], d3VPUje3xc, 5772419]
[sub-ordered-list, [124.0, 180.0, 261.0, 18.0], d3VPUje3xc, 5772419]
[sub-ordered-list, [124.0, 198.0, 261.0, 18.0], d3VPUje3xc, 5772419]
[sub-ordered-list, [116.0, 249.0, 312.0, 18.0], qpdt6gv6Q0, 5772419]
[sub-ordered-list, [116.0, 267.0, 312.0, 18.0], qpdt6gv6Q0, 5772419]
[sub-ordered-list, [116.0, 285.0, 312.0, 18.0], qpdt6gv6Q0, 5772419]
[sub-ordered-list, [116.0, 303.0, 312.0, 18.0], qpdt6gv6Q0, 5772419]
[paragraph, [119.0, 354.0, 370.0, 18.0], vY8BnmfFoo, 5772419]
[paragraph, [119.0, 372.0, 370.0, 18.0], vY8BnmfFoo, 5772419]
[paragraph, [120.0, 392.0, 366.0, 18.0], 8VVfWLcwWL, 5772419]
[paragraph, [120.0, 410.0, 366.0, 18.0], 8VVfWLcwWL, 5772419]
[reference, [118.0, 462.0, 308.0, 18.0], ecU4Ja8kxM, 5772419]
