[1447, 1063]
[folio, [429.0, 54.0, 207.0, 18.0], bEPg8XDGda, 5762955]
[headline, [126.0, 95.0, 806.0, 25.5], shoonya_2sYZCKYQXY136S, 5762955]
[headline, [126.0, 120.5, 806.0, 25.5], shoonya_2sYZCKYQXY136S, 5762955]
[headline, [126.0, 146.0, 806.0, 25.5], shoonya_2sYZCKYQXY136S, 5762955]
[paragraph, [534.0, 209.0, 431.0, 18.0], Jlgd8EEJag, 5762955]
[paragraph, [534.0, 227.0, 431.0, 18.0], Jlgd8EEJag, 5762955]
[paragraph, [534.0, 245.0, 431.0, 18.0], Jlgd8EEJag, 5762955]
[paragraph, [535.0, 288.0, 432.0, 18.0], shoonya_4sODI7B3ALR3ZZ, 5762955]
[paragraph, [535.0, 306.0, 432.0, 18.0], shoonya_4sODI7B3ALR3ZZ, 5762955]
[paragraph, [535.0, 324.0, 432.0, 18.0], shoonya_4sODI7B3ALR3ZZ, 5762955]
[paragraph, [535.0, 342.0, 432.0, 18.0], shoonya_4sODI7B3ALR3ZZ, 5762955]
[paragraph, [535.0, 360.0, 432.0, 18.0], shoonya_4sODI7B3ALR3ZZ, 5762955]
[paragraph, [535.0, 378.0, 432.0, 18.0], shoonya_4sODI7B3ALR3ZZ, 5762955]
[paragraph, [535.0, 396.0, 432.0, 18.0], shoonya_4sODI7B3ALR3ZZ, 5762955]
[paragraph, [535.0, 414.0, 432.0, 18.0], shoonya_4sODI7B3ALR3ZZ, 5762955]
[paragraph, [535.0, 432.0, 432.0, 18.0], shoonya_4sODI7B3ALR3ZZ, 5762955]
[paragraph, [535.0, 450.0, 432.0, 18.0], shoonya_4sODI7B3ALR3ZZ, 5762955]
[paragraph, [535.0, 468.0, 432.0, 18.0], shoonya_4sODI7B3ALR3ZZ, 5762955]
[paragraph, [535.0, 486.0, 432.0, 18.0], shoonya_4sODI7B3ALR3ZZ, 5762955]
[paragraph, [535.0, 504.0, 432.0, 18.0], shoonya_4sODI7B3ALR3ZZ, 5762955]
[paragraph, [535.0, 522.0, 432.0, 18.0], shoonya_4sODI7B3ALR3ZZ, 5762955]
[paragraph, [535.0, 540.0, 432.0, 18.0], shoonya_4sODI7B3ALR3ZZ, 5762955]
[paragraph, [535.0, 558.0, 432.0, 18.0], shoonya_4sODI7B3ALR3ZZ, 5762955]
[paragraph, [535.0, 576.0, 432.0, 18.0], shoonya_4sODI7B3ALR3ZZ, 5762955]
[paragraph, [535.0, 594.0, 432.0, 18.0], shoonya_4sODI7B3ALR3ZZ, 5762955]
[paragraph, [535.0, 612.0, 432.0, 18.0], shoonya_4sODI7B3ALR3ZZ, 5762955]
[paragraph, [535.0, 630.0, 432.0, 18.0], shoonya_4sODI7B3ALR3ZZ, 5762955]
[paragraph, [535.0, 648.0, 432.0, 18.0], shoonya_4sODI7B3ALR3ZZ, 5762955]
[paragraph, [535.0, 666.0, 432.0, 18.0], shoonya_4sODI7B3ALR3ZZ, 5762955]
[paragraph, [92.0, 504.0, 432.0, 18.0], shoonya_3s8XIOWKZFSVR0, 5762955]
[paragraph, [92.0, 522.0, 432.0, 18.0], shoonya_3s8XIOWKZFSVR0, 5762955]
[paragraph, [92.0, 540.0, 432.0, 18.0], shoonya_3s8XIOWKZFSVR0, 5762955]
[paragraph, [92.0, 558.0, 432.0, 18.0], shoonya_3s8XIOWKZFSVR0, 5762955]
[paragraph, [92.0, 576.0, 432.0, 18.0], shoonya_3s8XIOWKZFSVR0, 5762955]
[paragraph, [92.0, 594.0, 432.0, 18.0], shoonya_3s8XIOWKZFSVR0, 5762955]
[paragraph, [92.0, 612.0, 432.0, 18.0], shoonya_3s8XIOWKZFSVR0, 5762955]
[paragraph, [92.0, 630.0, 432.0, 18.0], shoonya_3s8XIOWKZFSVR0, 5762955]
