[3960, 3060]
[ordered-list, [740.0, 362.0, 1998.0, 52.5], egT5KZ0KDn, 5698541]
[ordered-list, [740.0, 414.5, 1998.0, 52.5], egT5KZ0KDn, 5698541]
[ordered-list, [740.0, 467.0, 1998.0, 52.5], egT5KZ0KDn, 5698541]
[ordered-list, [740.0, 519.5, 1998.0, 52.5], egT5KZ0KDn, 5698541]
[ordered-list, [740.0, 572.0, 1998.0, 52.5], egT5KZ0KDn, 5698541]
[ordered-list, [740.0, 624.5, 1998.0, 52.5], egT5KZ0KDn, 5698541]
[answer, [713.0, 984.0, 2079.0, 52.5], h8xcTXhMDi, 5698541]
[answer, [713.0, 1036.5, 2079.0, 52.5], h8xcTXhMDi, 5698541]
[answer, [713.0, 1089.0, 2079.0, 52.5], h8xcTXhMDi, 5698541]
[answer, [713.0, 1141.5, 2079.0, 52.5], h8xcTXhMDi, 5698541]
[answer, [713.0, 1194.0, 2079.0, 52.5], h8xcTXhMDi, 5698541]
[answer, [713.0, 1246.5, 2079.0, 52.5], h8xcTXhMDi, 5698541]
[answer, [713.0, 1299.0, 2079.0, 52.5], h8xcTXhMDi, 5698541]
[answer, [713.0, 1351.5, 2079.0, 52.5], h8xcTXhMDi, 5698541]
[answer, [713.0, 1404.0, 2079.0, 52.5], h8xcTXhMDi, 5698541]
[answer, [713.0, 1456.5, 2079.0, 52.5], h8xcTXhMDi, 5698541]
[answer, [713.0, 1509.0, 2079.0, 52.5], h8xcTXhMDi, 5698541]
[answer, [713.0, 1561.5, 2079.0, 52.5], h8xcTXhMDi, 5698541]
[answer, [713.0, 1614.0, 2079.0, 52.5], h8xcTXhMDi, 5698541]
[answer, [713.0, 1666.5, 2079.0, 52.5], h8xcTXhMDi, 5698541]
[answer, [713.0, 1719.0, 2079.0, 52.5], h8xcTXhMDi, 5698541]
[answer, [713.0, 1771.5, 2079.0, 52.5], h8xcTXhMDi, 5698541]
[answer, [713.0, 1824.0, 2079.0, 52.5], h8xcTXhMDi, 5698541]
[answer, [713.0, 1876.5, 2079.0, 52.5], h8xcTXhMDi, 5698541]
[answer, [713.0, 1929.0, 2079.0, 52.5], h8xcTXhMDi, 5698541]
[answer, [713.0, 1981.5, 2079.0, 52.5], h8xcTXhMDi, 5698541]
[answer, [713.0, 2034.0, 2079.0, 52.5], h8xcTXhMDi, 5698541]
[answer, [713.0, 2086.5, 2079.0, 52.5], h8xcTXhMDi, 5698541]
[answer, [713.0, 2139.0, 2079.0, 52.5], h8xcTXhMDi, 5698541]
[ordered-list, [789.0, 987.0, 1952.0, 52.5], shoonya_1sLQSXWHYQPF17, 5698541]
[ordered-list, [789.0, 1039.5, 1952.0, 52.5], shoonya_1sLQSXWHYQPF17, 5698541]
[ordered-list, [789.0, 1092.0, 1952.0, 52.5], shoonya_1sLQSXWHYQPF17, 5698541]
[ordered-list, [789.0, 1144.5, 1952.0, 52.5], shoonya_1sLQSXWHYQPF17, 5698541]
[ordered-list, [789.0, 1197.0, 1952.0, 52.5], shoonya_1sLQSXWHYQPF17, 5698541]
[ordered-list, [789.0, 1249.5, 1952.0, 52.5], shoonya_1sLQSXWHYQPF17, 5698541]
[ordered-list, [789.0, 1302.0, 1952.0, 52.5], shoonya_1sLQSXWHYQPF17, 5698541]
[ordered-list, [789.0, 1354.5, 1952.0, 52.5], shoonya_1sLQSXWHYQPF17, 5698541]
[ordered-list, [789.0, 1407.0, 1952.0, 52.5], shoonya_1sLQSXWHYQPF17, 5698541]
[ordered-list, [789.0, 1459.5, 1952.0, 52.5], shoonya_1sLQSXWHYQPF17, 5698541]
[ordered-list, [789.0, 1512.0, 1952.0, 52.5], shoonya_1sLQSXWHYQPF17, 5698541]
[ordered-list, [789.0, 1564.5, 1952.0, 52.5], shoonya_1sLQSXWHYQPF17, 5698541]
