[1200, 825]
[paragraph, [143.0, 108.0, 538.0, 18.0], shoonya_1s7LSEEV6PRO85, 5691074]
[paragraph, [143.0, 126.0, 538.0, 18.0], shoonya_1s7LSEEV6PRO85, 5691074]
[paragraph, [143.0, 144.0, 538.0, 18.0], shoonya_1s7LSEEV6PRO85, 5691074]
[paragraph, [143.0, 162.0, 538.0, 18.0], shoonya_1s7LSEEV6PRO85, 5691074]
[paragraph, [143.0, 180.0, 538.0, 18.0], shoonya_1s7LSEEV6PRO85, 5691074]
[paragraph, [143.0, 198.0, 538.0, 18.0], shoonya_1s7LSEEV6PRO85, 5691074]
[paragraph, [143.0, 216.0, 538.0, 18.0], shoonya_1s7LSEEV6PRO85, 5691074]
[paragraph, [143.0, 234.0, 538.0, 18.0], shoonya_1s7LSEEV6PRO85, 5691074]
[paragraph, [145.0, 264.0, 535.0, 18.0], shoonya_2sYGC7TFDTBPN5, 5691074]
[paragraph, [145.0, 282.0, 535.0, 18.0], shoonya_2sYGC7TFDTBPN5, 5691074]
[paragraph, [145.0, 300.0, 535.0, 18.0], shoonya_2sYGC7TFDTBPN5, 5691074]
[paragraph, [145.0, 318.0, 535.0, 18.0], shoonya_2sYGC7TFDTBPN5, 5691074]
[paragraph, [145.0, 336.0, 535.0, 18.0], shoonya_2sYGC7TFDTBPN5, 5691074]
[paragraph, [145.0, 354.0, 535.0, 18.0], shoonya_2sYGC7TFDTBPN5, 5691074]
[paragraph, [145.0, 372.0, 535.0, 18.0], shoonya_2sYGC7TFDTBPN5, 5691074]
[paragraph, [145.0, 390.0, 535.0, 18.0], shoonya_2sYGC7TFDTBPN5, 5691074]
[paragraph, [145.0, 408.0, 535.0, 18.0], shoonya_2sYGC7TFDTBPN5, 5691074]
[paragraph, [145.0, 426.0, 535.0, 18.0], shoonya_2sYGC7TFDTBPN5, 5691074]
[paragraph, [145.0, 444.0, 535.0, 18.0], shoonya_2sYGC7TFDTBPN5, 5691074]
[paragraph, [145.0, 462.0, 535.0, 18.0], shoonya_2sYGC7TFDTBPN5, 5691074]
[paragraph, [145.0, 480.0, 535.0, 18.0], shoonya_2sYGC7TFDTBPN5, 5691074]
[paragraph, [145.0, 498.0, 535.0, 18.0], shoonya_2sYGC7TFDTBPN5, 5691074]
[paragraph, [145.0, 516.0, 535.0, 18.0], shoonya_2sYGC7TFDTBPN5, 5691074]
[paragraph, [145.0, 534.0, 535.0, 18.0], shoonya_2sYGC7TFDTBPN5, 5691074]
[paragraph, [145.0, 552.0, 535.0, 18.0], shoonya_2sYGC7TFDTBPN5, 5691074]
[paragraph, [145.0, 570.0, 535.0, 18.0], shoonya_2sYGC7TFDTBPN5, 5691074]
[paragraph, [145.0, 588.0, 535.0, 18.0], shoonya_2sYGC7TFDTBPN5, 5691074]
[paragraph, [145.0, 606.0, 535.0, 18.0], shoonya_2sYGC7TFDTBPN5, 5691074]
[paragraph, [145.0, 624.0, 535.0, 18.0], shoonya_2sYGC7TFDTBPN5, 5691074]
[paragraph, [145.0, 642.0, 535.0, 18.0], shoonya_2sYGC7TFDTBPN5, 5691074]
[paragraph, [145.0, 660.0, 535.0, 18.0], shoonya_2sYGC7TFDTBPN5, 5691074]
[paragraph, [145.0, 678.0, 535.0, 18.0], shoonya_2sYGC7TFDTBPN5, 5691074]
[paragraph, [145.0, 696.0, 535.0, 18.0], shoonya_2sYGC7TFDTBPN5, 5691074]
[paragraph, [145.0, 714.0, 535.0, 18.0], shoonya_2sYGC7TFDTBPN5, 5691074]
[paragraph, [145.0, 732.0, 535.0, 18.0], shoonya_2sYGC7TFDTBPN5, 5691074]
[paragraph, [143.0, 755.0, 539.0, 18.0], shoonya_0sKUHCKFXYCQZD, 5691074]
[paragraph, [143.0, 773.0, 539.0, 18.0], shoonya_0sKUHCKFXYCQZD, 5691074]
[paragraph, [143.0, 791.0, 539.0, 18.0], shoonya_0sKUHCKFXYCQZD, 5691074]
[paragraph, [143.0, 809.0, 539.0, 18.0], shoonya_0sKUHCKFXYCQZD, 5691074]
[paragraph, [143.0, 827.0, 539.0, 18.0], shoonya_0sKUHCKFXYCQZD, 5691074]
[paragraph, [143.0, 845.0, 539.0, 18.0], shoonya_0sKUHCKFXYCQZD, 5691074]
[paragraph, [143.0, 863.0, 539.0, 18.0], shoonya_0sKUHCKFXYCQZD, 5691074]
[paragraph, [143.0, 881.0, 539.0, 18.0], shoonya_0sKUHCKFXYCQZD, 5691074]
[paragraph, [143.0, 899.0, 539.0, 18.0], shoonya_0sKUHCKFXYCQZD, 5691074]
[paragraph, [143.0, 917.0, 539.0, 18.0], shoonya_0sKUHCKFXYCQZD, 5691074]
[paragraph, [143.0, 935.0, 539.0, 18.0], shoonya_0sKUHCKFXYCQZD, 5691074]
[paragraph, [143.0, 953.0, 539.0, 18.0], shoonya_0sKUHCKFXYCQZD, 5691074]
[paragraph, [143.0, 971.0, 539.0, 18.0], shoonya_0sKUHCKFXYCQZD, 5691074]
[paragraph, [143.0, 989.0, 539.0, 18.0], shoonya_0sKUHCKFXYCQZD, 5691074]
[paragraph, [143.0, 1007.0, 539.0, 18.0], shoonya_0sKUHCKFXYCQZD, 5691074]
[paragraph, [143.0, 1025.0, 539.0, 18.0], shoonya_0sKUHCKFXYCQZD, 5691074]
[paragraph, [143.0, 1043.0, 539.0, 18.0], shoonya_0sKUHCKFXYCQZD, 5691074]
