[3960, 3060]
[paragraph, [338.0, 251.0, 2385.0, 52.5], DAlySGZ9s2, 5698283]
[paragraph, [338.0, 303.5, 2385.0, 52.5], DAlySGZ9s2, 5698283]
[paragraph, [338.0, 356.0, 2385.0, 52.5], DAlySGZ9s2, 5698283]
[ordered-list, [295.0, 460.0, 2480.0, 52.5], shoonya_0sPD90V1OIIX4E, 5698283]
[ordered-list, [295.0, 512.5, 2480.0, 52.5], shoonya_0sPD90V1OIIX4E, 5698283]
[ordered-list, [295.0, 565.0, 2480.0, 52.5], shoonya_0sPD90V1OIIX4E, 5698283]
[ordered-list, [295.0, 617.5, 2480.0, 52.5], shoonya_0sPD90V1OIIX4E, 5698283]
[ordered-list, [295.0, 670.0, 2480.0, 52.5], shoonya_0sPD90V1OIIX4E, 5698283]
[ordered-list, [295.0, 722.5, 2480.0, 52.5], shoonya_0sPD90V1OIIX4E, 5698283]
[ordered-list, [295.0, 775.0, 2480.0, 52.5], shoonya_0sPD90V1OIIX4E, 5698283]
[ordered-list, [295.0, 827.5, 2480.0, 52.5], shoonya_0sPD90V1OIIX4E, 5698283]
[ordered-list, [295.0, 880.0, 2480.0, 52.5], shoonya_0sPD90V1OIIX4E, 5698283]
[ordered-list, [295.0, 932.5, 2480.0, 52.5], shoonya_0sPD90V1OIIX4E, 5698283]
[ordered-list, [295.0, 985.0, 2480.0, 52.5], shoonya_0sPD90V1OIIX4E, 5698283]
[ordered-list, [295.0, 1037.5, 2480.0, 52.5], shoonya_0sPD90V1OIIX4E, 5698283]
[ordered-list, [295.0, 1090.0, 2480.0, 52.5], shoonya_0sPD90V1OIIX4E, 5698283]
[ordered-list, [295.0, 1142.5, 2480.0, 52.5], shoonya_0sPD90V1OIIX4E, 5698283]
[ordered-list, [295.0, 1195.0, 2480.0, 52.5], shoonya_0sPD90V1OIIX4E, 5698283]
[ordered-list, [295.0, 1247.5, 2480.0, 52.5], shoonya_0sPD90V1OIIX4E, 5698283]
[ordered-list, [295.0, 1300.0, 2480.0, 52.5], shoonya_0sPD90V1OIIX4E, 5698283]
[ordered-list, [295.0, 1352.5, 2480.0, 52.5], shoonya_0sPD90V1OIIX4E, 5698283]
[ordered-list, [295.0, 1405.0, 2480.0, 52.5], shoonya_0sPD90V1OIIX4E, 5698283]
[ordered-list, [295.0, 1457.5, 2480.0, 52.5], shoonya_0sPD90V1OIIX4E, 5698283]
[ordered-list, [295.0, 1510.0, 2480.0, 52.5], shoonya_0sPD90V1OIIX4E, 5698283]
[ordered-list, [295.0, 1562.5, 2480.0, 52.5], shoonya_0sPD90V1OIIX4E, 5698283]
[ordered-list, [295.0, 1615.0, 2480.0, 52.5], shoonya_0sPD90V1OIIX4E, 5698283]
[ordered-list, [295.0, 1667.5, 2480.0, 52.5], shoonya_0sPD90V1OIIX4E, 5698283]
