[1425, 1088]
[chapter-title, [117.0, 113.0, 703.0, 30.0], shoonya_3sA6KI8F3Z9EGT, 5758762]
[chapter-title, [117.0, 143.0, 703.0, 30.0], shoonya_3sA6KI8F3Z9EGT, 5758762]
[chapter-title, [117.0, 173.0, 703.0, 30.0], shoonya_3sA6KI8F3Z9EGT, 5758762]
[paragraph, [192.0, 313.0, 675.0, 18.0], shoonya_4sHKB2KEM8132Y, 5758762]
[paragraph, [192.0, 331.0, 675.0, 18.0], shoonya_4sHKB2KEM8132Y, 5758762]
[paragraph, [192.0, 349.0, 675.0, 18.0], shoonya_4sHKB2KEM8132Y, 5758762]
[paragraph, [192.0, 367.0, 675.0, 18.0], shoonya_4sHKB2KEM8132Y, 5758762]
[paragraph, [192.0, 385.0, 675.0, 18.0], shoonya_4sHKB2KEM8132Y, 5758762]
[paragraph, [192.0, 403.0, 675.0, 18.0], shoonya_4sHKB2KEM8132Y, 5758762]
[paragraph, [192.0, 421.0, 675.0, 18.0], shoonya_4sHKB2KEM8132Y, 5758762]
[paragraph, [184.0, 455.0, 679.0, 18.0], PPRW9vANkV, 5758762]
[paragraph, [184.0, 473.0, 679.0, 18.0], PPRW9vANkV, 5758762]
[paragraph, [184.0, 491.0, 679.0, 18.0], PPRW9vANkV, 5758762]
[paragraph, [184.0, 509.0, 679.0, 18.0], PPRW9vANkV, 5758762]
[paragraph, [184.0, 527.0, 679.0, 18.0], PPRW9vANkV, 5758762]
[paragraph, [184.0, 545.0, 679.0, 18.0], PPRW9vANkV, 5758762]
[paragraph, [184.0, 563.0, 679.0, 18.0], PPRW9vANkV, 5758762]
[paragraph, [184.0, 581.0, 679.0, 18.0], PPRW9vANkV, 5758762]
[paragraph, [184.0, 599.0, 679.0, 18.0], PPRW9vANkV, 5758762]
[sidebar, [530.0, 743.0, 168.0, 18.0], 4Ka5E7O8HH, 5758762]
[sidebar, [530.0, 772.0, 165.0, 18.0], Rz_D3TRVbW, 5758762]
[paragraph, [102.0, 877.0, 855.0, 18.0], shoonya_1s18VA0LO2X88B, 5758762]
[paragraph, [102.0, 895.0, 855.0, 18.0], shoonya_1s18VA0LO2X88B, 5758762]
[paragraph, [102.0, 913.0, 855.0, 18.0], shoonya_1s18VA0LO2X88B, 5758762]
[paragraph, [102.0, 931.0, 855.0, 18.0], shoonya_1s18VA0LO2X88B, 5758762]
[paragraph, [102.0, 949.0, 855.0, 18.0], shoonya_1s18VA0LO2X88B, 5758762]
[paragraph, [102.0, 967.0, 855.0, 18.0], shoonya_1s18VA0LO2X88B, 5758762]
[paragraph, [102.0, 985.0, 855.0, 18.0], shoonya_1s18VA0LO2X88B, 5758762]
[paragraph, [102.0, 1003.0, 855.0, 18.0], shoonya_1s18VA0LO2X88B, 5758762]
[paragraph, [102.0, 1021.0, 855.0, 18.0], shoonya_1s18VA0LO2X88B, 5758762]
[paragraph, [102.0, 1039.0, 855.0, 18.0], shoonya_1s18VA0LO2X88B, 5758762]
[paragraph, [102.0, 1057.0, 855.0, 18.0], shoonya_1s18VA0LO2X88B, 5758762]
[paragraph, [102.0, 1075.0, 855.0, 18.0], shoonya_1s18VA0LO2X88B, 5758762]
[paragraph, [99.0, 1116.0, 851.0, 18.0], qnyb9lf96C, 5758762]
[paragraph, [99.0, 1134.0, 851.0, 18.0], qnyb9lf96C, 5758762]
[paragraph, [99.0, 1152.0, 851.0, 18.0], qnyb9lf96C, 5758762]
[paragraph, [99.0, 1170.0, 851.0, 18.0], qnyb9lf96C, 5758762]
[folio, [802.0, 1351.0, 146.0, 18.0], hQK-_yrzN0, 5758762]
[folio, [802.0, 1369.0, 146.0, 18.0], hQK-_yrzN0, 5758762]
