[681, 511]
[folio, [64.0, 25.0, 129.0, 18.0], iKOVUTYejR, 5761863]
[paragraph, [255.0, 52.0, 224.0, 18.0], aW3Gta0qvP, 5761863]
[paragraph, [255.0, 70.0, 224.0, 18.0], aW3Gta0qvP, 5761863]
[paragraph, [255.0, 88.0, 224.0, 18.0], aW3Gta0qvP, 5761863]
[paragraph, [255.0, 106.0, 224.0, 18.0], aW3Gta0qvP, 5761863]
[paragraph, [255.0, 124.0, 224.0, 18.0], aW3Gta0qvP, 5761863]
[paragraph, [255.0, 142.0, 224.0, 18.0], aW3Gta0qvP, 5761863]
[paragraph, [24.0, 53.0, 230.0, 18.0], shoonya_6sONI27TSX2WKA, 5761863]
[paragraph, [24.0, 71.0, 230.0, 18.0], shoonya_6sONI27TSX2WKA, 5761863]
[paragraph, [24.0, 89.0, 230.0, 18.0], shoonya_6sONI27TSX2WKA, 5761863]
[paragraph, [24.0, 107.0, 230.0, 18.0], shoonya_6sONI27TSX2WKA, 5761863]
[paragraph, [24.0, 125.0, 230.0, 18.0], shoonya_6sONI27TSX2WKA, 5761863]
[paragraph, [24.0, 143.0, 230.0, 18.0], shoonya_6sONI27TSX2WKA, 5761863]
[paragraph, [256.0, 162.0, 224.0, 18.0], Be8FMClGxS, 5761863]
[paragraph, [256.0, 180.0, 224.0, 18.0], Be8FMClGxS, 5761863]
[paragraph, [256.0, 198.0, 224.0, 18.0], Be8FMClGxS, 5761863]
[paragraph, [256.0, 216.0, 224.0, 18.0], Be8FMClGxS, 5761863]
[paragraph, [256.0, 234.0, 224.0, 18.0], Be8FMClGxS, 5761863]
[paragraph, [256.0, 252.0, 224.0, 18.0], Be8FMClGxS, 5761863]
[paragraph, [256.0, 270.0, 224.0, 18.0], Be8FMClGxS, 5761863]
[paragraph, [256.0, 288.0, 224.0, 18.0], Be8FMClGxS, 5761863]
[paragraph, [256.0, 306.0, 224.0, 18.0], Be8FMClGxS, 5761863]
[paragraph, [256.0, 324.0, 224.0, 18.0], Be8FMClGxS, 5761863]
[paragraph, [256.0, 342.0, 224.0, 18.0], Be8FMClGxS, 5761863]
[paragraph, [256.0, 360.0, 224.0, 18.0], Be8FMClGxS, 5761863]
[paragraph, [256.0, 378.0, 224.0, 18.0], Be8FMClGxS, 5761863]
[paragraph, [26.0, 190.0, 227.0, 18.0], shoonya_7sYL2MFZIH049W, 5761863]
[paragraph, [26.0, 208.0, 227.0, 18.0], shoonya_7sYL2MFZIH049W, 5761863]
[paragraph, [26.0, 226.0, 227.0, 18.0], shoonya_7sYL2MFZIH049W, 5761863]
[paragraph, [26.0, 244.0, 227.0, 18.0], shoonya_7sYL2MFZIH049W, 5761863]
[paragraph, [26.0, 262.0, 227.0, 18.0], shoonya_7sYL2MFZIH049W, 5761863]
[paragraph, [26.0, 280.0, 227.0, 18.0], shoonya_7sYL2MFZIH049W, 5761863]
[paragraph, [26.0, 298.0, 227.0, 18.0], shoonya_7sYL2MFZIH049W, 5761863]
[paragraph, [27.0, 334.0, 226.0, 18.0], zpgtkhGWB-, 5761863]
[paragraph, [27.0, 352.0, 226.0, 18.0], zpgtkhGWB-, 5761863]
[paragraph, [27.0, 370.0, 226.0, 18.0], zpgtkhGWB-, 5761863]
[paragraph, [27.0, 388.0, 226.0, 18.0], zpgtkhGWB-, 5761863]
[paragraph, [27.0, 406.0, 226.0, 18.0], zpgtkhGWB-, 5761863]
[paragraph, [27.0, 424.0, 226.0, 18.0], zpgtkhGWB-, 5761863]
[paragraph, [27.0, 442.0, 226.0, 18.0], zpgtkhGWB-, 5761863]
[paragraph, [27.0, 460.0, 226.0, 18.0], zpgtkhGWB-, 5761863]
[paragraph, [27.0, 478.0, 226.0, 18.0], zpgtkhGWB-, 5761863]
[paragraph, [27.0, 496.0, 226.0, 18.0], zpgtkhGWB-, 5761863]
[paragraph, [27.0, 514.0, 226.0, 18.0], zpgtkhGWB-, 5761863]
[paragraph, [27.0, 532.0, 226.0, 18.0], zpgtkhGWB-, 5761863]
[paragraph, [27.0, 550.0, 226.0, 18.0], zpgtkhGWB-, 5761863]
[paragraph, [27.0, 568.0, 226.0, 18.0], zpgtkhGWB-, 5761863]
[paragraph, [254.0, 405.0, 224.0, 18.0], shoonya_0sND2PAUN8YXNT, 5761863]
[paragraph, [254.0, 423.0, 224.0, 18.0], shoonya_0sND2PAUN8YXNT, 5761863]
[paragraph, [254.0, 441.0, 224.0, 18.0], shoonya_0sND2PAUN8YXNT, 5761863]
[paragraph, [254.0, 459.0, 224.0, 18.0], shoonya_0sND2PAUN8YXNT, 5761863]
[paragraph, [254.0, 477.0, 224.0, 18.0], shoonya_0sND2PAUN8YXNT, 5761863]
[paragraph, [254.0, 495.0, 224.0, 18.0], shoonya_0sND2PAUN8YXNT, 5761863]
[paragraph, [254.0, 513.0, 224.0, 18.0], shoonya_0sND2PAUN8YXNT, 5761863]
[paragraph, [254.0, 531.0, 224.0, 18.0], shoonya_0sND2PAUN8YXNT, 5761863]
[paragraph, [254.0, 549.0, 224.0, 18.0], shoonya_0sND2PAUN8YXNT, 5761863]
[paragraph, [254.0, 570.0, 226.0, 18.0], shoonya_5s8Z1MPXLIL2UK, 5761863]
[paragraph, [254.0, 588.0, 226.0, 18.0], shoonya_5s8Z1MPXLIL2UK, 5761863]
[paragraph, [254.0, 606.0, 226.0, 18.0], shoonya_5s8Z1MPXLIL2UK, 5761863]
[paragraph, [254.0, 624.0, 226.0, 18.0], shoonya_5s8Z1MPXLIL2UK, 5761863]
[paragraph, [29.0, 588.0, 223.0, 18.0], E642u24z25, 5761863]
[paragraph, [29.0, 606.0, 223.0, 18.0], E642u24z25, 5761863]
[paragraph, [29.0, 624.0, 223.0, 18.0], E642u24z25, 5761863]
