[1162, 749]
[paragraph, [83.0, 115.0, 583.0, 18.0], shoonya_1sLCPNBCPP6NSN, 5699979]
[paragraph, [83.0, 133.0, 583.0, 18.0], shoonya_1sLCPNBCPP6NSN, 5699979]
[paragraph, [83.0, 151.0, 583.0, 18.0], shoonya_1sLCPNBCPP6NSN, 5699979]
[paragraph, [83.0, 169.0, 583.0, 18.0], shoonya_1sLCPNBCPP6NSN, 5699979]
[paragraph, [83.0, 187.0, 583.0, 18.0], shoonya_1sLCPNBCPP6NSN, 5699979]
[paragraph, [83.0, 205.0, 583.0, 18.0], shoonya_1sLCPNBCPP6NSN, 5699979]
[paragraph, [83.0, 223.0, 583.0, 18.0], shoonya_1sLCPNBCPP6NSN, 5699979]
[paragraph, [83.0, 241.0, 583.0, 18.0], shoonya_1sLCPNBCPP6NSN, 5699979]
[paragraph, [83.0, 259.0, 583.0, 18.0], shoonya_1sLCPNBCPP6NSN, 5699979]
[paragraph, [83.0, 277.0, 583.0, 18.0], shoonya_1sLCPNBCPP6NSN, 5699979]
[paragraph, [83.0, 295.0, 583.0, 18.0], shoonya_1sLCPNBCPP6NSN, 5699979]
[paragraph, [83.0, 313.0, 583.0, 18.0], shoonya_1sLCPNBCPP6NSN, 5699979]
[paragraph, [83.0, 331.0, 583.0, 18.0], shoonya_1sLCPNBCPP6NSN, 5699979]
[paragraph, [83.0, 349.0, 583.0, 18.0], shoonya_1sLCPNBCPP6NSN, 5699979]
[paragraph, [83.0, 367.0, 583.0, 18.0], shoonya_1sLCPNBCPP6NSN, 5699979]
[paragraph, [83.0, 385.0, 583.0, 18.0], shoonya_1sLCPNBCPP6NSN, 5699979]
[paragraph, [83.0, 403.0, 583.0, 18.0], shoonya_1sLCPNBCPP6NSN, 5699979]
[paragraph, [83.0, 421.0, 583.0, 18.0], shoonya_1sLCPNBCPP6NSN, 5699979]
[paragraph, [83.0, 439.0, 583.0, 18.0], shoonya_1sLCPNBCPP6NSN, 5699979]
[paragraph, [83.0, 457.0, 583.0, 18.0], shoonya_1sLCPNBCPP6NSN, 5699979]
[paragraph, [83.0, 475.0, 583.0, 18.0], shoonya_1sLCPNBCPP6NSN, 5699979]
[paragraph, [83.0, 493.0, 583.0, 18.0], shoonya_1sLCPNBCPP6NSN, 5699979]
[paragraph, [83.0, 511.0, 583.0, 18.0], shoonya_1sLCPNBCPP6NSN, 5699979]
[paragraph, [83.0, 529.0, 583.0, 18.0], shoonya_1sLCPNBCPP6NSN, 5699979]
[paragraph, [83.0, 547.0, 583.0, 18.0], shoonya_1sLCPNBCPP6NSN, 5699979]
[paragraph, [83.0, 565.0, 583.0, 18.0], shoonya_1sLCPNBCPP6NSN, 5699979]
[paragraph, [83.0, 583.0, 583.0, 18.0], shoonya_1sLCPNBCPP6NSN, 5699979]
[paragraph, [83.0, 601.0, 583.0, 18.0], shoonya_1sLCPNBCPP6NSN, 5699979]
[paragraph, [83.0, 619.0, 583.0, 18.0], shoonya_1sLCPNBCPP6NSN, 5699979]
[paragraph, [83.0, 637.0, 583.0, 18.0], shoonya_1sLCPNBCPP6NSN, 5699979]
[paragraph, [83.0, 655.0, 583.0, 18.0], shoonya_1sLCPNBCPP6NSN, 5699979]
[paragraph, [83.0, 673.0, 583.0, 18.0], shoonya_1sLCPNBCPP6NSN, 5699979]
[paragraph, [83.0, 691.0, 583.0, 18.0], shoonya_1sLCPNBCPP6NSN, 5699979]
[paragraph, [83.0, 709.0, 583.0, 18.0], shoonya_1sLCPNBCPP6NSN, 5699979]
[paragraph, [83.0, 727.0, 583.0, 18.0], shoonya_1sLCPNBCPP6NSN, 5699979]
[paragraph, [83.0, 745.0, 583.0, 18.0], shoonya_1sLCPNBCPP6NSN, 5699979]
[paragraph, [83.0, 763.0, 583.0, 18.0], shoonya_1sLCPNBCPP6NSN, 5699979]
[paragraph, [83.0, 781.0, 583.0, 18.0], shoonya_1sLCPNBCPP6NSN, 5699979]
[paragraph, [83.0, 799.0, 583.0, 18.0], shoonya_1sLCPNBCPP6NSN, 5699979]
[paragraph, [83.0, 817.0, 583.0, 18.0], shoonya_1sLCPNBCPP6NSN, 5699979]
[paragraph, [83.0, 835.0, 583.0, 18.0], shoonya_1sLCPNBCPP6NSN, 5699979]
[paragraph, [83.0, 853.0, 583.0, 18.0], shoonya_1sLCPNBCPP6NSN, 5699979]
[paragraph, [83.0, 871.0, 583.0, 18.0], shoonya_1sLCPNBCPP6NSN, 5699979]
[paragraph, [83.0, 889.0, 583.0, 18.0], shoonya_1sLCPNBCPP6NSN, 5699979]
[paragraph, [83.0, 907.0, 583.0, 18.0], shoonya_1sLCPNBCPP6NSN, 5699979]
[paragraph, [86.0, 932.0, 580.0, 18.0], shoonya_0sT58RYJNKLU3A, 5699979]
[paragraph, [86.0, 950.0, 580.0, 18.0], shoonya_0sT58RYJNKLU3A, 5699979]
[paragraph, [86.0, 968.0, 580.0, 18.0], shoonya_0sT58RYJNKLU3A, 5699979]
[paragraph, [86.0, 986.0, 580.0, 18.0], shoonya_0sT58RYJNKLU3A, 5699979]
[paragraph, [86.0, 1004.0, 580.0, 18.0], shoonya_0sT58RYJNKLU3A, 5699979]
[paragraph, [86.0, 1022.0, 580.0, 18.0], shoonya_0sT58RYJNKLU3A, 5699979]
[paragraph, [86.0, 1040.0, 580.0, 18.0], shoonya_0sT58RYJNKLU3A, 5699979]
[paragraph, [86.0, 1058.0, 580.0, 18.0], shoonya_0sT58RYJNKLU3A, 5699979]
