[1818, 1374]
[folio, [638.0, 111.0, 79.0, 36.0], bVXZei---M, 5683371]
[paragraph, [104.0, 176.0, 565.0, 36.0], shoonya_1sF6D97J35JSOB, 5683371]
[paragraph, [104.0, 212.0, 565.0, 36.0], shoonya_1sF6D97J35JSOB, 5683371]
[paragraph, [104.0, 248.0, 565.0, 36.0], shoonya_1sF6D97J35JSOB, 5683371]
[paragraph, [104.0, 284.0, 565.0, 36.0], shoonya_1sF6D97J35JSOB, 5683371]
[paragraph, [104.0, 320.0, 565.0, 36.0], shoonya_1sF6D97J35JSOB, 5683371]
[paragraph, [104.0, 356.0, 565.0, 36.0], shoonya_1sF6D97J35JSOB, 5683371]
[paragraph, [104.0, 392.0, 565.0, 36.0], shoonya_1sF6D97J35JSOB, 5683371]
[paragraph, [104.0, 428.0, 565.0, 36.0], shoonya_1sF6D97J35JSOB, 5683371]
[paragraph, [104.0, 464.0, 565.0, 36.0], shoonya_1sF6D97J35JSOB, 5683371]
[paragraph, [104.0, 500.0, 565.0, 36.0], shoonya_1sF6D97J35JSOB, 5683371]
[paragraph, [104.0, 536.0, 565.0, 36.0], shoonya_1sF6D97J35JSOB, 5683371]
[paragraph, [104.0, 572.0, 565.0, 36.0], shoonya_1sF6D97J35JSOB, 5683371]
[paragraph, [104.0, 608.0, 565.0, 36.0], shoonya_1sF6D97J35JSOB, 5683371]
[paragraph, [104.0, 644.0, 565.0, 36.0], shoonya_1sF6D97J35JSOB, 5683371]
[paragraph, [104.0, 680.0, 565.0, 36.0], shoonya_1sF6D97J35JSOB, 5683371]
[paragraph, [104.0, 716.0, 565.0, 36.0], shoonya_1sF6D97J35JSOB, 5683371]
[paragraph, [104.0, 752.0, 565.0, 36.0], shoonya_1sF6D97J35JSOB, 5683371]
[paragraph, [104.0, 788.0, 565.0, 36.0], shoonya_1sF6D97J35JSOB, 5683371]
[paragraph, [104.0, 824.0, 565.0, 36.0], shoonya_1sF6D97J35JSOB, 5683371]
[paragraph, [104.0, 860.0, 565.0, 36.0], shoonya_1sF6D97J35JSOB, 5683371]
[paragraph, [104.0, 896.0, 565.0, 36.0], shoonya_1sF6D97J35JSOB, 5683371]
[paragraph, [690.0, 180.0, 568.0, 36.0], shoonya_2sMEB649EK4YN1, 5683371]
[paragraph, [690.0, 216.0, 568.0, 36.0], shoonya_2sMEB649EK4YN1, 5683371]
[paragraph, [690.0, 252.0, 568.0, 36.0], shoonya_2sMEB649EK4YN1, 5683371]
[paragraph, [690.0, 288.0, 568.0, 36.0], shoonya_2sMEB649EK4YN1, 5683371]
[paragraph, [690.0, 324.0, 568.0, 36.0], shoonya_2sMEB649EK4YN1, 5683371]
[paragraph, [690.0, 360.0, 568.0, 36.0], shoonya_2sMEB649EK4YN1, 5683371]
[paragraph, [690.0, 396.0, 568.0, 36.0], shoonya_2sMEB649EK4YN1, 5683371]
[paragraph, [690.0, 432.0, 568.0, 36.0], shoonya_2sMEB649EK4YN1, 5683371]
[paragraph, [690.0, 468.0, 568.0, 36.0], shoonya_2sMEB649EK4YN1, 5683371]
[paragraph, [690.0, 504.0, 568.0, 36.0], shoonya_2sMEB649EK4YN1, 5683371]
[paragraph, [690.0, 540.0, 568.0, 36.0], shoonya_2sMEB649EK4YN1, 5683371]
[paragraph, [690.0, 576.0, 568.0, 36.0], shoonya_2sMEB649EK4YN1, 5683371]
[paragraph, [690.0, 612.0, 568.0, 36.0], shoonya_2sMEB649EK4YN1, 5683371]
[paragraph, [690.0, 648.0, 568.0, 36.0], shoonya_2sMEB649EK4YN1, 5683371]
[paragraph, [688.0, 692.0, 570.0, 36.0], dwVuSwpkfH, 5683371]
[paragraph, [688.0, 728.0, 570.0, 36.0], dwVuSwpkfH, 5683371]
[paragraph, [688.0, 764.0, 570.0, 36.0], dwVuSwpkfH, 5683371]
[paragraph, [689.0, 817.0, 569.0, 36.0], x8dGc8ReS9, 5683371]
[paragraph, [689.0, 853.0, 569.0, 36.0], x8dGc8ReS9, 5683371]
[paragraph, [689.0, 889.0, 569.0, 36.0], x8dGc8ReS9, 5683371]
