[842, 595]
[folio, [371.0, 130.0, 75.0, 18.0], QPb_Q98C1v, 6513678]
[reference, [128.0, 161.0, 328.0, 18.0], shoonya_0sLJ4Q6OK75RSA, 6513678]
[reference, [128.0, 179.0, 328.0, 18.0], shoonya_0sLJ4Q6OK75RSA, 6513678]
[reference, [128.0, 197.0, 328.0, 18.0], shoonya_0sLJ4Q6OK75RSA, 6513678]
[reference, [128.0, 215.0, 328.0, 18.0], shoonya_0sLJ4Q6OK75RSA, 6513678]
[reference, [128.0, 233.0, 328.0, 18.0], shoonya_0sLJ4Q6OK75RSA, 6513678]
[reference, [128.0, 251.0, 328.0, 18.0], shoonya_0sLJ4Q6OK75RSA, 6513678]
[reference, [128.0, 269.0, 328.0, 18.0], shoonya_0sLJ4Q6OK75RSA, 6513678]
[reference, [128.0, 287.0, 328.0, 18.0], shoonya_0sLJ4Q6OK75RSA, 6513678]
[reference, [128.0, 305.0, 328.0, 18.0], shoonya_0sLJ4Q6OK75RSA, 6513678]
[reference, [128.0, 323.0, 328.0, 18.0], shoonya_0sLJ4Q6OK75RSA, 6513678]
[reference, [128.0, 341.0, 328.0, 18.0], shoonya_0sLJ4Q6OK75RSA, 6513678]
[reference, [128.0, 359.0, 328.0, 18.0], shoonya_0sLJ4Q6OK75RSA, 6513678]
[reference, [128.0, 377.0, 328.0, 18.0], shoonya_0sLJ4Q6OK75RSA, 6513678]
[reference, [128.0, 395.0, 328.0, 18.0], shoonya_0sLJ4Q6OK75RSA, 6513678]
[reference, [128.0, 413.0, 328.0, 18.0], shoonya_0sLJ4Q6OK75RSA, 6513678]
[reference, [128.0, 431.0, 328.0, 18.0], shoonya_0sLJ4Q6OK75RSA, 6513678]
[reference, [128.0, 449.0, 328.0, 18.0], shoonya_0sLJ4Q6OK75RSA, 6513678]
[reference, [128.0, 467.0, 328.0, 18.0], shoonya_0sLJ4Q6OK75RSA, 6513678]
[reference, [128.0, 485.0, 328.0, 18.0], shoonya_0sLJ4Q6OK75RSA, 6513678]
[reference, [128.0, 503.0, 328.0, 18.0], shoonya_0sLJ4Q6OK75RSA, 6513678]
[reference, [128.0, 521.0, 328.0, 18.0], shoonya_0sLJ4Q6OK75RSA, 6513678]
[reference, [128.0, 539.0, 328.0, 18.0], shoonya_0sLJ4Q6OK75RSA, 6513678]
[reference, [128.0, 557.0, 328.0, 18.0], shoonya_0sLJ4Q6OK75RSA, 6513678]
[reference, [128.0, 575.0, 328.0, 18.0], shoonya_0sLJ4Q6OK75RSA, 6513678]
[reference, [128.0, 593.0, 328.0, 18.0], shoonya_0sLJ4Q6OK75RSA, 6513678]
[reference, [128.0, 611.0, 328.0, 18.0], shoonya_0sLJ4Q6OK75RSA, 6513678]
[reference, [128.0, 629.0, 328.0, 18.0], shoonya_0sLJ4Q6OK75RSA, 6513678]
