[1050, 693]
[folio, [77.0, 78.0, 85.0, 18.0], shoonya_0sASDQ26S8QB9Y, 5702056]
[folio, [77.0, 96.0, 85.0, 18.0], shoonya_0sASDQ26S8QB9Y, 5702056]
[paragraph, [73.0, 131.0, 528.0, 18.0], yhH3P2d9y7, 5702056]
[paragraph, [73.0, 149.0, 528.0, 18.0], yhH3P2d9y7, 5702056]
[paragraph, [73.0, 167.0, 528.0, 18.0], yhH3P2d9y7, 5702056]
[paragraph, [73.0, 185.0, 528.0, 18.0], yhH3P2d9y7, 5702056]
[paragraph, [73.0, 203.0, 528.0, 18.0], yhH3P2d9y7, 5702056]
[paragraph, [130.0, 230.0, 469.0, 18.0], cpF6mCCe8B, 5702056]
[paragraph, [126.0, 260.0, 454.0, 18.0], tEGGJIiyvO, 5702056]
[paragraph, [131.0, 291.0, 146.0, 18.0], shoonya_1s4GZYM32XGH90, 5702056]
[paragraph, [68.0, 321.0, 533.0, 18.0], BNV3kKeTB0, 5702056]
[paragraph, [68.0, 339.0, 533.0, 18.0], BNV3kKeTB0, 5702056]
[paragraph, [68.0, 357.0, 533.0, 18.0], BNV3kKeTB0, 5702056]
[paragraph, [71.0, 388.0, 529.0, 18.0], Mw2rj8rFAr, 5702056]
[paragraph, [71.0, 406.0, 529.0, 18.0], Mw2rj8rFAr, 5702056]
[paragraph, [71.0, 424.0, 529.0, 18.0], Mw2rj8rFAr, 5702056]
[paragraph, [74.0, 461.0, 523.0, 18.0], DkNhfgJatv, 5702056]
[paragraph, [74.0, 479.0, 523.0, 18.0], DkNhfgJatv, 5702056]
[paragraph, [74.0, 497.0, 523.0, 18.0], DkNhfgJatv, 5702056]
[paragraph, [70.0, 523.0, 536.0, 18.0], T4Wx8p0tdd, 5702056]
[paragraph, [70.0, 541.0, 536.0, 18.0], T4Wx8p0tdd, 5702056]
[paragraph, [70.0, 559.0, 536.0, 18.0], T4Wx8p0tdd, 5702056]
[paragraph, [70.0, 577.0, 536.0, 18.0], T4Wx8p0tdd, 5702056]
[paragraph, [70.0, 595.0, 536.0, 18.0], T4Wx8p0tdd, 5702056]
[paragraph, [70.0, 613.0, 536.0, 18.0], T4Wx8p0tdd, 5702056]
[paragraph, [70.0, 631.0, 536.0, 18.0], T4Wx8p0tdd, 5702056]
[paragraph, [134.0, 653.0, 284.0, 18.0], O1Mmg_Fr5x, 5702056]
[paragraph, [84.0, 687.0, 518.0, 18.0], oXU1nKcsDP, 5702056]
[paragraph, [84.0, 705.0, 518.0, 18.0], oXU1nKcsDP, 5702056]
[paragraph, [84.0, 723.0, 518.0, 18.0], oXU1nKcsDP, 5702056]
[paragraph, [83.0, 756.0, 531.0, 18.0], Z4t8D4WSXy, 5702056]
[paragraph, [83.0, 774.0, 531.0, 18.0], Z4t8D4WSXy, 5702056]
[paragraph, [83.0, 792.0, 531.0, 18.0], Z4t8D4WSXy, 5702056]
[paragraph, [83.0, 810.0, 531.0, 18.0], Z4t8D4WSXy, 5702056]
[paragraph, [83.0, 828.0, 531.0, 18.0], Z4t8D4WSXy, 5702056]
[paragraph, [83.0, 846.0, 531.0, 18.0], Z4t8D4WSXy, 5702056]
[paragraph, [83.0, 864.0, 531.0, 18.0], Z4t8D4WSXy, 5702056]
[paragraph, [83.0, 882.0, 531.0, 18.0], Z4t8D4WSXy, 5702056]
[paragraph, [83.0, 900.0, 531.0, 18.0], Z4t8D4WSXy, 5702056]
[paragraph, [83.0, 918.0, 531.0, 18.0], Z4t8D4WSXy, 5702056]
[paragraph, [83.0, 936.0, 531.0, 18.0], Z4t8D4WSXy, 5702056]
[paragraph, [83.0, 954.0, 531.0, 18.0], Z4t8D4WSXy, 5702056]
