[842, 596]
[section-title, [32.0, 25.0, 419.0, 30.0], Rb9uT29O1u, 5705415]
[paragraph, [313.0, 75.0, 218.0, 18.0], shoonya_5s9HOJ384A73C1, 5705415]
[paragraph, [313.0, 93.0, 218.0, 18.0], shoonya_5s9HOJ384A73C1, 5705415]
[paragraph, [313.0, 111.0, 218.0, 18.0], shoonya_5s9HOJ384A73C1, 5705415]
[paragraph, [314.0, 157.0, 226.0, 18.0], shoonya_4s2CPFNYE1AJWT, 5705415]
[paragraph, [314.0, 175.0, 226.0, 18.0], shoonya_4s2CPFNYE1AJWT, 5705415]
[paragraph, [314.0, 193.0, 226.0, 18.0], shoonya_4s2CPFNYE1AJWT, 5705415]
[paragraph, [314.0, 294.0, 237.0, 18.0], 2SOhpkWdqf, 5705415]
[paragraph, [314.0, 312.0, 237.0, 18.0], 2SOhpkWdqf, 5705415]
[paragraph, [314.0, 330.0, 237.0, 18.0], 2SOhpkWdqf, 5705415]
[paragraph, [314.0, 348.0, 237.0, 18.0], 2SOhpkWdqf, 5705415]
[paragraph, [314.0, 366.0, 237.0, 18.0], 2SOhpkWdqf, 5705415]
[paragraph, [314.0, 384.0, 237.0, 18.0], 2SOhpkWdqf, 5705415]
[paragraph, [314.0, 402.0, 237.0, 18.0], 2SOhpkWdqf, 5705415]
[paragraph, [314.0, 420.0, 237.0, 18.0], 2SOhpkWdqf, 5705415]
[paragraph, [314.0, 438.0, 237.0, 18.0], 2SOhpkWdqf, 5705415]
[paragraph, [313.0, 589.0, 236.0, 18.0], 3aA4lecKH-, 5705415]
[paragraph, [313.0, 607.0, 236.0, 18.0], 3aA4lecKH-, 5705415]
[paragraph, [313.0, 625.0, 236.0, 18.0], 3aA4lecKH-, 5705415]
[paragraph, [313.0, 643.0, 236.0, 18.0], 3aA4lecKH-, 5705415]
[paragraph, [313.0, 661.0, 236.0, 18.0], 3aA4lecKH-, 5705415]
[paragraph, [313.0, 679.0, 236.0, 18.0], 3aA4lecKH-, 5705415]
[paragraph, [313.0, 697.0, 236.0, 18.0], 3aA4lecKH-, 5705415]
[paragraph, [313.0, 715.0, 236.0, 18.0], 3aA4lecKH-, 5705415]
[paragraph, [313.0, 733.0, 236.0, 18.0], 3aA4lecKH-, 5705415]
