[1200, 825]
[paragraph, [142.0, 107.0, 542.0, 18.0], shoonya_0sQKDDGF41YKSX, 5690757]
[paragraph, [142.0, 125.0, 542.0, 18.0], shoonya_0sQKDDGF41YKSX, 5690757]
[paragraph, [142.0, 143.0, 542.0, 18.0], shoonya_0sQKDDGF41YKSX, 5690757]
[paragraph, [142.0, 161.0, 542.0, 18.0], shoonya_0sQKDDGF41YKSX, 5690757]
[paragraph, [142.0, 179.0, 542.0, 18.0], shoonya_0sQKDDGF41YKSX, 5690757]
[paragraph, [142.0, 197.0, 542.0, 18.0], shoonya_0sQKDDGF41YKSX, 5690757]
[paragraph, [142.0, 215.0, 542.0, 18.0], shoonya_0sQKDDGF41YKSX, 5690757]
[paragraph, [142.0, 233.0, 542.0, 18.0], shoonya_0sQKDDGF41YKSX, 5690757]
[paragraph, [142.0, 251.0, 542.0, 18.0], shoonya_0sQKDDGF41YKSX, 5690757]
[paragraph, [142.0, 269.0, 542.0, 18.0], shoonya_0sQKDDGF41YKSX, 5690757]
[paragraph, [142.0, 287.0, 542.0, 18.0], shoonya_0sQKDDGF41YKSX, 5690757]
[paragraph, [142.0, 305.0, 542.0, 18.0], shoonya_0sQKDDGF41YKSX, 5690757]
[paragraph, [142.0, 323.0, 542.0, 18.0], shoonya_0sQKDDGF41YKSX, 5690757]
[paragraph, [142.0, 341.0, 542.0, 18.0], shoonya_0sQKDDGF41YKSX, 5690757]
[paragraph, [142.0, 359.0, 542.0, 18.0], shoonya_0sQKDDGF41YKSX, 5690757]
[paragraph, [142.0, 377.0, 542.0, 18.0], shoonya_0sQKDDGF41YKSX, 5690757]
[paragraph, [142.0, 395.0, 542.0, 18.0], shoonya_0sQKDDGF41YKSX, 5690757]
[paragraph, [142.0, 413.0, 542.0, 18.0], shoonya_0sQKDDGF41YKSX, 5690757]
[paragraph, [142.0, 431.0, 542.0, 18.0], shoonya_0sQKDDGF41YKSX, 5690757]
[paragraph, [142.0, 449.0, 542.0, 18.0], shoonya_0sQKDDGF41YKSX, 5690757]
[paragraph, [142.0, 467.0, 542.0, 18.0], shoonya_0sQKDDGF41YKSX, 5690757]
[paragraph, [142.0, 485.0, 542.0, 18.0], shoonya_0sQKDDGF41YKSX, 5690757]
[paragraph, [142.0, 503.0, 542.0, 18.0], shoonya_0sQKDDGF41YKSX, 5690757]
[paragraph, [142.0, 521.0, 542.0, 18.0], shoonya_0sQKDDGF41YKSX, 5690757]
[paragraph, [142.0, 539.0, 542.0, 18.0], shoonya_0sQKDDGF41YKSX, 5690757]
[paragraph, [142.0, 557.0, 542.0, 18.0], shoonya_0sQKDDGF41YKSX, 5690757]
[paragraph, [142.0, 575.0, 542.0, 18.0], shoonya_0sQKDDGF41YKSX, 5690757]
[paragraph, [142.0, 593.0, 542.0, 18.0], shoonya_0sQKDDGF41YKSX, 5690757]
[paragraph, [142.0, 611.0, 542.0, 18.0], shoonya_0sQKDDGF41YKSX, 5690757]
[paragraph, [142.0, 629.0, 542.0, 18.0], shoonya_0sQKDDGF41YKSX, 5690757]
[paragraph, [142.0, 647.0, 542.0, 18.0], shoonya_0sQKDDGF41YKSX, 5690757]
[paragraph, [142.0, 665.0, 542.0, 18.0], shoonya_0sQKDDGF41YKSX, 5690757]
[paragraph, [142.0, 683.0, 542.0, 18.0], shoonya_0sQKDDGF41YKSX, 5690757]
[paragraph, [142.0, 701.0, 542.0, 18.0], shoonya_0sQKDDGF41YKSX, 5690757]
[paragraph, [142.0, 719.0, 542.0, 18.0], shoonya_0sQKDDGF41YKSX, 5690757]
[paragraph, [142.0, 737.0, 542.0, 18.0], shoonya_0sQKDDGF41YKSX, 5690757]
[paragraph, [142.0, 755.0, 542.0, 18.0], shoonya_0sQKDDGF41YKSX, 5690757]
[paragraph, [135.0, 785.0, 549.0, 18.0], u41BWDGR_w, 5690757]
[paragraph, [135.0, 803.0, 549.0, 18.0], u41BWDGR_w, 5690757]
[paragraph, [135.0, 821.0, 549.0, 18.0], u41BWDGR_w, 5690757]
[paragraph, [135.0, 839.0, 549.0, 18.0], u41BWDGR_w, 5690757]
[paragraph, [135.0, 857.0, 549.0, 18.0], u41BWDGR_w, 5690757]
[paragraph, [135.0, 875.0, 549.0, 18.0], u41BWDGR_w, 5690757]
[paragraph, [135.0, 893.0, 549.0, 18.0], u41BWDGR_w, 5690757]
[paragraph, [135.0, 911.0, 549.0, 18.0], u41BWDGR_w, 5690757]
[paragraph, [135.0, 929.0, 549.0, 18.0], u41BWDGR_w, 5690757]
[paragraph, [135.0, 947.0, 549.0, 18.0], u41BWDGR_w, 5690757]
[paragraph, [135.0, 965.0, 549.0, 18.0], u41BWDGR_w, 5690757]
[paragraph, [135.0, 983.0, 549.0, 18.0], u41BWDGR_w, 5690757]
[paragraph, [135.0, 1001.0, 549.0, 18.0], u41BWDGR_w, 5690757]
[paragraph, [135.0, 1019.0, 549.0, 18.0], u41BWDGR_w, 5690757]
[paragraph, [135.0, 1037.0, 549.0, 18.0], u41BWDGR_w, 5690757]
