[1601, 1158]
[sidebar, [4.0, 30.0, 115.0, 36.0], -nDBDDlopT, 5695451]
[sidebar, [4.0, 66.0, 115.0, 36.0], -nDBDDlopT, 5695451]
[sidebar, [4.0, 102.0, 115.0, 36.0], -nDBDDlopT, 5695451]
[sidebar, [4.0, 138.0, 115.0, 36.0], -nDBDDlopT, 5695451]
[sidebar, [4.0, 174.0, 115.0, 36.0], -nDBDDlopT, 5695451]
[sidebar, [4.0, 210.0, 115.0, 36.0], -nDBDDlopT, 5695451]
[sidebar, [4.0, 246.0, 115.0, 36.0], -nDBDDlopT, 5695451]
[sidebar, [4.0, 282.0, 115.0, 36.0], -nDBDDlopT, 5695451]
[sidebar, [4.0, 318.0, 115.0, 36.0], -nDBDDlopT, 5695451]
[sidebar, [4.0, 354.0, 115.0, 36.0], -nDBDDlopT, 5695451]
[sidebar, [4.0, 390.0, 115.0, 36.0], -nDBDDlopT, 5695451]
[sidebar, [4.0, 426.0, 115.0, 36.0], -nDBDDlopT, 5695451]
[sidebar, [4.0, 462.0, 115.0, 36.0], -nDBDDlopT, 5695451]
[sidebar, [4.0, 498.0, 115.0, 36.0], -nDBDDlopT, 5695451]
[sidebar, [4.0, 534.0, 115.0, 36.0], -nDBDDlopT, 5695451]
[sidebar, [4.0, 570.0, 115.0, 36.0], -nDBDDlopT, 5695451]
[sidebar, [4.0, 606.0, 115.0, 36.0], -nDBDDlopT, 5695451]
[sidebar, [4.0, 642.0, 115.0, 36.0], -nDBDDlopT, 5695451]
[sidebar, [4.0, 678.0, 115.0, 36.0], -nDBDDlopT, 5695451]
[sidebar, [4.0, 714.0, 115.0, 36.0], -nDBDDlopT, 5695451]
[sidebar, [4.0, 750.0, 115.0, 36.0], -nDBDDlopT, 5695451]
[sidebar, [4.0, 786.0, 115.0, 36.0], -nDBDDlopT, 5695451]
[sidebar, [4.0, 822.0, 115.0, 36.0], -nDBDDlopT, 5695451]
[sidebar, [4.0, 858.0, 115.0, 36.0], -nDBDDlopT, 5695451]
[sidebar, [4.0, 894.0, 115.0, 36.0], -nDBDDlopT, 5695451]
[sidebar, [4.0, 930.0, 115.0, 36.0], -nDBDDlopT, 5695451]
[sidebar, [4.0, 966.0, 115.0, 36.0], -nDBDDlopT, 5695451]
[sidebar, [4.0, 1002.0, 115.0, 36.0], -nDBDDlopT, 5695451]
[sidebar, [4.0, 1038.0, 115.0, 36.0], -nDBDDlopT, 5695451]
[sidebar, [4.0, 1074.0, 115.0, 36.0], -nDBDDlopT, 5695451]
[sidebar, [4.0, 1110.0, 115.0, 36.0], -nDBDDlopT, 5695451]
[sidebar, [4.0, 1146.0, 115.0, 36.0], -nDBDDlopT, 5695451]
[sidebar, [4.0, 1182.0, 115.0, 36.0], -nDBDDlopT, 5695451]
[sidebar, [4.0, 1218.0, 115.0, 36.0], -nDBDDlopT, 5695451]
[sidebar, [4.0, 1254.0, 115.0, 36.0], -nDBDDlopT, 5695451]
[sidebar, [4.0, 1290.0, 115.0, 36.0], -nDBDDlopT, 5695451]
[sidebar, [4.0, 1326.0, 115.0, 36.0], -nDBDDlopT, 5695451]
[sidebar, [4.0, 1362.0, 115.0, 36.0], -nDBDDlopT, 5695451]
[sidebar, [4.0, 1398.0, 115.0, 36.0], -nDBDDlopT, 5695451]
[sidebar, [4.0, 1434.0, 115.0, 36.0], -nDBDDlopT, 5695451]
[sidebar, [4.0, 1470.0, 115.0, 36.0], -nDBDDlopT, 5695451]
[sidebar, [4.0, 1506.0, 115.0, 36.0], -nDBDDlopT, 5695451]
[sidebar, [4.0, 1542.0, 115.0, 36.0], -nDBDDlopT, 5695451]
[folio, [57.0, 121.0, 60.0, 36.0], 4ou-sCg27u, 5695451]
[folio, [57.0, 229.0, 60.0, 36.0], 4ou-sCg27u, 5695451]
[paragraph, [144.0, 101.0, 900.0, 36.0], shoonya_2sVXBIO5P507RX, 5695451]
[paragraph, [144.0, 137.0, 900.0, 36.0], shoonya_2sVXBIO5P507RX, 5695451]
[paragraph, [144.0, 173.0, 900.0, 36.0], shoonya_2sVXBIO5P507RX, 5695451]
[paragraph, [144.0, 209.0, 900.0, 36.0], shoonya_2sVXBIO5P507RX, 5695451]
[paragraph, [144.0, 245.0, 900.0, 36.0], shoonya_2sVXBIO5P507RX, 5695451]
[paragraph, [144.0, 281.0, 900.0, 36.0], shoonya_2sVXBIO5P507RX, 5695451]
[paragraph, [144.0, 317.0, 900.0, 36.0], shoonya_2sVXBIO5P507RX, 5695451]
[paragraph, [144.0, 353.0, 900.0, 36.0], shoonya_2sVXBIO5P507RX, 5695451]
[paragraph, [144.0, 389.0, 900.0, 36.0], shoonya_2sVXBIO5P507RX, 5695451]
[folio, [60.0, 549.0, 54.0, 36.0], GXJ6qs7jsg, 5695451]
[paragraph, [180.0, 595.0, 860.0, 36.0], shoonya_7s3STDJJ8N49P5, 5695451]
[paragraph, [182.0, 664.0, 324.0, 36.0], shoonya_5sXR28EWST6482, 5695451]
[paragraph, [182.0, 700.0, 324.0, 36.0], shoonya_5sXR28EWST6482, 5695451]
[paragraph, [182.0, 736.0, 324.0, 36.0], shoonya_5sXR28EWST6482, 5695451]
