[3509, 2482]
[folio, [920.0, 338.0, 410.0, 52.5], zVrzYMwqAL, 5692309]
[folio, [920.0, 390.5, 410.0, 52.5], zVrzYMwqAL, 5692309]
[paragraph, [212.0, 466.0, 1812.0, 52.5], shoonya_1s5ZGTSRA7YZOH, 5692309]
[paragraph, [212.0, 518.5, 1812.0, 52.5], shoonya_1s5ZGTSRA7YZOH, 5692309]
[paragraph, [212.0, 571.0, 1812.0, 52.5], shoonya_1s5ZGTSRA7YZOH, 5692309]
[paragraph, [212.0, 623.5, 1812.0, 52.5], shoonya_1s5ZGTSRA7YZOH, 5692309]
[paragraph, [212.0, 676.0, 1812.0, 52.5], shoonya_1s5ZGTSRA7YZOH, 5692309]
[paragraph, [212.0, 728.5, 1812.0, 52.5], shoonya_1s5ZGTSRA7YZOH, 5692309]
[paragraph, [212.0, 781.0, 1812.0, 52.5], shoonya_1s5ZGTSRA7YZOH, 5692309]
[section-title, [219.0, 892.0, 528.0, 93.0], VoN7cC0mDu, 5692309]
[paragraph, [328.0, 1017.0, 535.0, 52.5], 9Zo2pX0V1o, 5692309]
[paragraph, [231.0, 1101.0, 1777.0, 52.5], aEMqGNW6EK, 5692309]
[paragraph, [231.0, 1153.5, 1777.0, 52.5], aEMqGNW6EK, 5692309]
[paragraph, [231.0, 1206.0, 1777.0, 52.5], aEMqGNW6EK, 5692309]
[paragraph, [312.0, 1277.0, 816.0, 52.5], ncrKy1GVM4, 5692309]
[paragraph, [221.0, 1361.0, 1787.0, 52.5], shoonya_0sUU197IZYXWWQ, 5692309]
[paragraph, [221.0, 1413.5, 1787.0, 52.5], shoonya_0sUU197IZYXWWQ, 5692309]
[paragraph, [221.0, 1466.0, 1787.0, 52.5], shoonya_0sUU197IZYXWWQ, 5692309]
[paragraph, [221.0, 1518.5, 1787.0, 52.5], shoonya_0sUU197IZYXWWQ, 5692309]
[paragraph, [219.0, 1615.0, 1790.0, 52.5], m5aMaDr5Oo, 5692309]
[paragraph, [219.0, 1667.5, 1790.0, 52.5], m5aMaDr5Oo, 5692309]
[paragraph, [219.0, 1720.0, 1790.0, 52.5], m5aMaDr5Oo, 5692309]
[paragraph, [219.0, 1772.5, 1790.0, 52.5], m5aMaDr5Oo, 5692309]
[paragraph, [219.0, 1868.0, 1793.0, 52.5], 0Q_zZXSNut, 5692309]
[paragraph, [219.0, 1920.5, 1793.0, 52.5], 0Q_zZXSNut, 5692309]
[paragraph, [219.0, 1973.0, 1793.0, 52.5], 0Q_zZXSNut, 5692309]
[paragraph, [219.0, 2025.5, 1793.0, 52.5], 0Q_zZXSNut, 5692309]
[paragraph, [219.0, 2078.0, 1793.0, 52.5], 0Q_zZXSNut, 5692309]
[paragraph, [206.0, 2128.0, 1805.0, 52.5], sPUsWAIgbN, 5692309]
[paragraph, [206.0, 2180.5, 1805.0, 52.5], sPUsWAIgbN, 5692309]
[paragraph, [206.0, 2233.0, 1805.0, 52.5], sPUsWAIgbN, 5692309]
[paragraph, [206.0, 2285.5, 1805.0, 52.5], sPUsWAIgbN, 5692309]
[paragraph, [206.0, 2338.0, 1805.0, 52.5], sPUsWAIgbN, 5692309]
[paragraph, [206.0, 2390.5, 1805.0, 52.5], sPUsWAIgbN, 5692309]
[paragraph, [206.0, 2443.0, 1805.0, 52.5], sPUsWAIgbN, 5692309]
[paragraph, [206.0, 2495.5, 1805.0, 52.5], sPUsWAIgbN, 5692309]
[paragraph, [294.0, 2566.0, 541.0, 52.5], JhPzsMdI5F, 5692309]
[paragraph, [209.0, 2654.0, 1799.0, 52.5], jOgUZommig, 5692309]
[paragraph, [209.0, 2706.5, 1799.0, 52.5], jOgUZommig, 5692309]
[paragraph, [209.0, 2759.0, 1799.0, 52.5], jOgUZommig, 5692309]
[paragraph, [306.0, 2829.0, 535.0, 52.5], vMz4UCP6gd, 5692309]
[paragraph, [194.0, 2904.0, 1827.0, 52.5], Ul3wwa5jIm, 5692309]
[paragraph, [194.0, 2956.5, 1827.0, 52.5], Ul3wwa5jIm, 5692309]
[paragraph, [194.0, 3009.0, 1827.0, 52.5], Ul3wwa5jIm, 5692309]
[paragraph, [194.0, 3061.5, 1827.0, 52.5], Ul3wwa5jIm, 5692309]
[paragraph, [194.0, 3114.0, 1827.0, 52.5], Ul3wwa5jIm, 5692309]
[paragraph, [194.0, 3166.5, 1827.0, 52.5], Ul3wwa5jIm, 5692309]
[paragraph, [194.0, 3219.0, 1827.0, 52.5], Ul3wwa5jIm, 5692309]
[paragraph, [194.0, 3271.5, 1827.0, 52.5], Ul3wwa5jIm, 5692309]
