[612, 396]
[paragraph, [37.0, 61.0, 321.0, 18.0], WS3yCwE0m3, 6516306]
[paragraph, [37.0, 79.0, 321.0, 18.0], WS3yCwE0m3, 6516306]
[paragraph, [37.0, 97.0, 321.0, 18.0], WS3yCwE0m3, 6516306]
[paragraph, [37.0, 115.0, 321.0, 18.0], WS3yCwE0m3, 6516306]
[paragraph, [37.0, 133.0, 321.0, 18.0], WS3yCwE0m3, 6516306]
[paragraph, [37.0, 151.0, 321.0, 18.0], WS3yCwE0m3, 6516306]
[paragraph, [37.0, 169.0, 321.0, 18.0], WS3yCwE0m3, 6516306]
[paragraph, [37.0, 187.0, 321.0, 18.0], WS3yCwE0m3, 6516306]
[paragraph, [36.0, 246.0, 322.0, 18.0], shoonya_0s0B73WT54MZ99, 6516306]
[paragraph, [36.0, 264.0, 322.0, 18.0], shoonya_0s0B73WT54MZ99, 6516306]
[paragraph, [36.0, 282.0, 322.0, 18.0], shoonya_0s0B73WT54MZ99, 6516306]
[paragraph, [36.0, 300.0, 322.0, 18.0], shoonya_0s0B73WT54MZ99, 6516306]
[paragraph, [36.0, 318.0, 322.0, 18.0], shoonya_0s0B73WT54MZ99, 6516306]
[paragraph, [36.0, 336.0, 322.0, 18.0], shoonya_0s0B73WT54MZ99, 6516306]
[paragraph, [36.0, 354.0, 322.0, 18.0], shoonya_0s0B73WT54MZ99, 6516306]
[paragraph, [36.0, 372.0, 322.0, 18.0], shoonya_0s0B73WT54MZ99, 6516306]
[paragraph, [36.0, 390.0, 322.0, 18.0], shoonya_0s0B73WT54MZ99, 6516306]
[paragraph, [36.0, 408.0, 322.0, 18.0], shoonya_0s0B73WT54MZ99, 6516306]
[paragraph, [36.0, 426.0, 322.0, 18.0], shoonya_0s0B73WT54MZ99, 6516306]
[paragraph, [36.0, 444.0, 322.0, 18.0], shoonya_0s0B73WT54MZ99, 6516306]
[paragraph, [36.0, 462.0, 322.0, 18.0], shoonya_0s0B73WT54MZ99, 6516306]
[paragraph, [36.0, 480.0, 322.0, 18.0], shoonya_0s0B73WT54MZ99, 6516306]
[paragraph, [37.0, 524.0, 319.0, 18.0], 5yTc5f1wPw, 6516306]
[paragraph, [37.0, 542.0, 319.0, 18.0], 5yTc5f1wPw, 6516306]
