[1211, 798]
[folio, [349.0, 37.0, 99.0, 18.0], e3GgxlE27w, 5740982]
[folio, [349.0, 55.0, 99.0, 18.0], e3GgxlE27w, 5740982]
[paragraph, [50.0, 95.0, 690.0, 18.0], PR9aBNNKwq, 5740982]
[paragraph, [50.0, 113.0, 690.0, 18.0], PR9aBNNKwq, 5740982]
[paragraph, [50.0, 131.0, 690.0, 18.0], PR9aBNNKwq, 5740982]
[paragraph, [50.0, 149.0, 690.0, 18.0], PR9aBNNKwq, 5740982]
[paragraph, [50.0, 167.0, 690.0, 18.0], PR9aBNNKwq, 5740982]
[paragraph, [50.0, 185.0, 690.0, 18.0], PR9aBNNKwq, 5740982]
[paragraph, [52.0, 225.0, 693.0, 18.0], shoonya_1sB6QW2G8KJWA1, 5740982]
[paragraph, [52.0, 243.0, 693.0, 18.0], shoonya_1sB6QW2G8KJWA1, 5740982]
[paragraph, [52.0, 261.0, 693.0, 18.0], shoonya_1sB6QW2G8KJWA1, 5740982]
[paragraph, [52.0, 279.0, 693.0, 18.0], shoonya_1sB6QW2G8KJWA1, 5740982]
[paragraph, [52.0, 297.0, 693.0, 18.0], shoonya_1sB6QW2G8KJWA1, 5740982]
[paragraph, [52.0, 315.0, 693.0, 18.0], shoonya_1sB6QW2G8KJWA1, 5740982]
[paragraph, [52.0, 333.0, 693.0, 18.0], shoonya_1sB6QW2G8KJWA1, 5740982]
[paragraph, [52.0, 351.0, 693.0, 18.0], shoonya_1sB6QW2G8KJWA1, 5740982]
[paragraph, [52.0, 369.0, 693.0, 18.0], shoonya_1sB6QW2G8KJWA1, 5740982]
[paragraph, [52.0, 387.0, 693.0, 18.0], shoonya_1sB6QW2G8KJWA1, 5740982]
[paragraph, [52.0, 405.0, 693.0, 18.0], shoonya_1sB6QW2G8KJWA1, 5740982]
[paragraph, [52.0, 423.0, 693.0, 18.0], shoonya_1sB6QW2G8KJWA1, 5740982]
[paragraph, [52.0, 441.0, 693.0, 18.0], shoonya_1sB6QW2G8KJWA1, 5740982]
[paragraph, [52.0, 459.0, 693.0, 18.0], shoonya_1sB6QW2G8KJWA1, 5740982]
[paragraph, [52.0, 477.0, 693.0, 18.0], shoonya_1sB6QW2G8KJWA1, 5740982]
[paragraph, [52.0, 495.0, 693.0, 18.0], shoonya_1sB6QW2G8KJWA1, 5740982]
[paragraph, [52.0, 513.0, 693.0, 18.0], shoonya_1sB6QW2G8KJWA1, 5740982]
[paragraph, [52.0, 531.0, 693.0, 18.0], shoonya_1sB6QW2G8KJWA1, 5740982]
[paragraph, [52.0, 549.0, 693.0, 18.0], shoonya_1sB6QW2G8KJWA1, 5740982]
[paragraph, [54.0, 583.0, 694.0, 18.0], bG2gvqWlCs, 5740982]
[paragraph, [54.0, 601.0, 694.0, 18.0], bG2gvqWlCs, 5740982]
[paragraph, [54.0, 619.0, 694.0, 18.0], bG2gvqWlCs, 5740982]
[paragraph, [54.0, 637.0, 694.0, 18.0], bG2gvqWlCs, 5740982]
[paragraph, [54.0, 655.0, 694.0, 18.0], bG2gvqWlCs, 5740982]
[paragraph, [54.0, 673.0, 694.0, 18.0], bG2gvqWlCs, 5740982]
[paragraph, [54.0, 691.0, 694.0, 18.0], bG2gvqWlCs, 5740982]
[paragraph, [54.0, 709.0, 694.0, 18.0], bG2gvqWlCs, 5740982]
[paragraph, [54.0, 727.0, 694.0, 18.0], bG2gvqWlCs, 5740982]
[paragraph, [54.0, 745.0, 694.0, 18.0], bG2gvqWlCs, 5740982]
[paragraph, [54.0, 763.0, 694.0, 18.0], bG2gvqWlCs, 5740982]
[paragraph, [54.0, 781.0, 694.0, 18.0], bG2gvqWlCs, 5740982]
[paragraph, [54.0, 799.0, 694.0, 18.0], bG2gvqWlCs, 5740982]
[paragraph, [54.0, 817.0, 694.0, 18.0], bG2gvqWlCs, 5740982]
[paragraph, [54.0, 835.0, 694.0, 18.0], bG2gvqWlCs, 5740982]
[paragraph, [54.0, 853.0, 694.0, 18.0], bG2gvqWlCs, 5740982]
[paragraph, [54.0, 871.0, 694.0, 18.0], bG2gvqWlCs, 5740982]
[paragraph, [54.0, 889.0, 694.0, 18.0], bG2gvqWlCs, 5740982]
[paragraph, [54.0, 907.0, 694.0, 18.0], bG2gvqWlCs, 5740982]
[paragraph, [54.0, 925.0, 694.0, 18.0], bG2gvqWlCs, 5740982]
[paragraph, [55.0, 951.0, 695.0, 18.0], hS34ZNu3rh, 5740982]
[paragraph, [55.0, 969.0, 695.0, 18.0], hS34ZNu3rh, 5740982]
[paragraph, [55.0, 987.0, 695.0, 18.0], hS34ZNu3rh, 5740982]
[paragraph, [55.0, 1005.0, 695.0, 18.0], hS34ZNu3rh, 5740982]
[paragraph, [55.0, 1023.0, 695.0, 18.0], hS34ZNu3rh, 5740982]
[paragraph, [55.0, 1041.0, 695.0, 18.0], hS34ZNu3rh, 5740982]
[paragraph, [55.0, 1059.0, 695.0, 18.0], hS34ZNu3rh, 5740982]
[paragraph, [56.0, 1086.0, 697.0, 18.0], vM7h-4MXwL, 5740982]
[paragraph, [56.0, 1104.0, 697.0, 18.0], vM7h-4MXwL, 5740982]
[paragraph, [56.0, 1122.0, 697.0, 18.0], vM7h-4MXwL, 5740982]
[paragraph, [56.0, 1140.0, 697.0, 18.0], vM7h-4MXwL, 5740982]
[footnote, [416.0, 1174.0, 329.0, 18.0], RWIoS4JdfY, 5740982]
