[2200, 1700]
[section-title, [180.0, 188.0, 195.0, 52.5], jz_XwS1fUd, 5659118]
[unordered-list, [214.0, 271.0, 808.0, 36.0], WuZJF_QYjH, 5659118]
[unordered-list, [214.0, 307.0, 808.0, 36.0], WuZJF_QYjH, 5659118]
[unordered-list, [214.0, 343.0, 808.0, 36.0], WuZJF_QYjH, 5659118]
[unordered-list, [214.0, 379.0, 808.0, 36.0], WuZJF_QYjH, 5659118]
[unordered-list, [214.0, 415.0, 808.0, 36.0], WuZJF_QYjH, 5659118]
[unordered-list, [214.0, 451.0, 808.0, 36.0], WuZJF_QYjH, 5659118]
[unordered-list, [214.0, 487.0, 808.0, 36.0], WuZJF_QYjH, 5659118]
[unordered-list, [214.0, 523.0, 808.0, 36.0], WuZJF_QYjH, 5659118]
[unordered-list, [214.0, 559.0, 808.0, 36.0], WuZJF_QYjH, 5659118]
[unordered-list, [214.0, 595.0, 808.0, 36.0], WuZJF_QYjH, 5659118]
[unordered-list, [214.0, 631.0, 808.0, 36.0], WuZJF_QYjH, 5659118]
[unordered-list, [214.0, 667.0, 808.0, 36.0], WuZJF_QYjH, 5659118]
