[1545, 2000]
[section-title, [61.0, 140.0, 310.0, 49.5], shoonya_7sWZ8FCHXML5DP, 6513869]
[section-title, [725.0, 144.0, 388.0, 49.5], shoonya_1sFCCSLU96YPMK, 6513869]
[website-link, [1570.0, 144.0, 209.0, 18.0], aGPn2NXjAo, 6513869]
[website-link, [1570.0, 162.0, 209.0, 18.0], aGPn2NXjAo, 6513869]
[paragraph, [62.0, 217.0, 506.0, 36.0], shoonya_4sNWHIOEOC97NP, 6513869]
[paragraph, [62.0, 253.0, 506.0, 36.0], shoonya_4sNWHIOEOC97NP, 6513869]
[sub-section-title, [731.0, 264.0, 167.0, 36.0], g8gPUlbbmU, 6513869]
[paragraph, [68.0, 364.0, 487.0, 36.0], shoonya_6s82OX1Y3BUQOV, 6513869]
[paragraph, [68.0, 400.0, 487.0, 36.0], shoonya_6s82OX1Y3BUQOV, 6513869]
[paragraph, [733.0, 421.0, 554.0, 36.0], shoonya_2sZWNDHHTAHFG4, 6513869]
[paragraph, [733.0, 457.0, 554.0, 36.0], shoonya_2sZWNDHHTAHFG4, 6513869]
[paragraph, [733.0, 493.0, 554.0, 36.0], shoonya_2sZWNDHHTAHFG4, 6513869]
[paragraph, [733.0, 529.0, 554.0, 36.0], shoonya_2sZWNDHHTAHFG4, 6513869]
[paragraph, [733.0, 565.0, 554.0, 36.0], shoonya_2sZWNDHHTAHFG4, 6513869]
[paragraph, [733.0, 601.0, 554.0, 36.0], shoonya_2sZWNDHHTAHFG4, 6513869]
[paragraph, [733.0, 637.0, 554.0, 36.0], shoonya_2sZWNDHHTAHFG4, 6513869]
[paragraph, [62.0, 538.0, 499.0, 36.0], shoonya_0s50TIZJWD5OG6, 6513869]
[paragraph, [62.0, 574.0, 499.0, 36.0], shoonya_0s50TIZJWD5OG6, 6513869]
[headline, [1488.0, 556.0, 409.0, 37.5], x5YiGLpuKB, 6513869]
[headline, [1488.0, 593.5, 409.0, 37.5], x5YiGLpuKB, 6513869]
[headline, [1488.0, 631.0, 409.0, 37.5], x5YiGLpuKB, 6513869]
[headline, [1488.0, 668.5, 409.0, 37.5], x5YiGLpuKB, 6513869]
[paragraph, [1428.0, 935.0, 501.0, 36.0], 91AEvPBRbx, 6513869]
[paragraph, [1428.0, 971.0, 501.0, 36.0], 91AEvPBRbx, 6513869]
[figure-caption, [796.0, 988.0, 436.0, 36.0], aqbss1nyYA, 6513869]
[figure-caption, [796.0, 1024.0, 436.0, 36.0], aqbss1nyYA, 6513869]
[contact-info, [706.0, 1120.0, 581.0, 36.0], kID1YJYIJ1, 6513869]
[contact-info, [706.0, 1156.0, 581.0, 36.0], kID1YJYIJ1, 6513869]
[contact-info, [706.0, 1192.0, 581.0, 36.0], kID1YJYIJ1, 6513869]
[contact-info, [706.0, 1228.0, 581.0, 36.0], kID1YJYIJ1, 6513869]
[contact-info, [706.0, 1264.0, 581.0, 36.0], kID1YJYIJ1, 6513869]
[contact-info, [706.0, 1300.0, 581.0, 36.0], kID1YJYIJ1, 6513869]
[contact-info, [706.0, 1336.0, 581.0, 36.0], kID1YJYIJ1, 6513869]
[contact-info, [706.0, 1372.0, 581.0, 36.0], kID1YJYIJ1, 6513869]
[website-link, [731.0, 1272.0, 372.0, 18.0], Mk53-2ucpn, 6513869]
[website-link, [731.0, 1290.0, 372.0, 18.0], Mk53-2ucpn, 6513869]
[website-link, [1513.0, 1338.0, 314.0, 18.0], shoonya_9s8VTQXE8B4AKC, 6513869]
[website-link, [1513.0, 1356.0, 314.0, 18.0], shoonya_9s8VTQXE8B4AKC, 6513869]
[website-link, [1513.0, 1374.0, 314.0, 18.0], shoonya_9s8VTQXE8B4AKC, 6513869]
[website-link, [1513.0, 1392.0, 314.0, 18.0], shoonya_9s8VTQXE8B4AKC, 6513869]
[website-link, [1513.0, 1410.0, 314.0, 18.0], shoonya_9s8VTQXE8B4AKC, 6513869]
[contact-info, [65.0, 1405.0, 509.0, 36.0], shoonya_8sXQ3CQIWA5UDW, 6513869]
