[1275, 1650]
[folio, [228.0, 127.0, 554.0, 18.0], 1bDJAgp4Po, 5765130]
[folio, [228.0, 145.0, 554.0, 18.0], 1bDJAgp4Po, 5765130]
[folio, [228.0, 163.0, 554.0, 18.0], 1bDJAgp4Po, 5765130]
[folio, [228.0, 181.0, 554.0, 18.0], 1bDJAgp4Po, 5765130]
[folio, [228.0, 199.0, 554.0, 18.0], 1bDJAgp4Po, 5765130]
[folio, [228.0, 217.0, 554.0, 18.0], 1bDJAgp4Po, 5765130]
[folio, [228.0, 235.0, 554.0, 18.0], 1bDJAgp4Po, 5765130]
[folio, [228.0, 253.0, 554.0, 18.0], 1bDJAgp4Po, 5765130]
[folio, [228.0, 271.0, 554.0, 18.0], 1bDJAgp4Po, 5765130]
[folio, [228.0, 289.0, 554.0, 18.0], 1bDJAgp4Po, 5765130]
[second-level-question, [845.0, 278.0, 680.0, 18.0], ulEa-TEnuI, 5765130]
[second-level-question, [845.0, 296.0, 680.0, 18.0], ulEa-TEnuI, 5765130]
[second-level-question, [845.0, 314.0, 680.0, 18.0], ulEa-TEnuI, 5765130]
[second-level-question, [845.0, 332.0, 680.0, 18.0], ulEa-TEnuI, 5765130]
[second-level-question, [845.0, 350.0, 680.0, 18.0], ulEa-TEnuI, 5765130]
[second-level-question, [845.0, 368.0, 680.0, 18.0], ulEa-TEnuI, 5765130]
[second-level-question, [845.0, 386.0, 680.0, 18.0], ulEa-TEnuI, 5765130]
[second-level-question, [845.0, 404.0, 680.0, 18.0], ulEa-TEnuI, 5765130]
[sidebar, [569.0, 325.0, 208.0, 18.0], JHG4MJjG_4, 5765130]
[sidebar, [93.0, 328.0, 106.0, 18.0], shoonya_15s21MKNWI3EVT, 5765130]
[sidebar, [692.0, 386.0, 96.0, 18.0], shoonya_4sDGMJ2486KC4Z, 5765130]
[folio, [110.0, 430.0, 556.0, 18.0], shoonya_17sTMCX7EPPCGQ, 5765130]
[folio, [110.0, 448.0, 556.0, 18.0], shoonya_17sTMCX7EPPCGQ, 5765130]
[sidebar, [682.0, 435.0, 109.0, 18.0], glgZAPzCQ1, 5765130]
[second-level-question, [72.0, 495.0, 713.0, 18.0], MvfoQUQN8i, 5765130]
[second-level-question, [72.0, 513.0, 713.0, 18.0], MvfoQUQN8i, 5765130]
[second-level-question, [72.0, 531.0, 713.0, 18.0], MvfoQUQN8i, 5765130]
[second-level-question, [72.0, 549.0, 713.0, 18.0], MvfoQUQN8i, 5765130]
[second-level-question, [72.0, 567.0, 713.0, 18.0], MvfoQUQN8i, 5765130]
[second-level-question, [72.0, 585.0, 713.0, 18.0], MvfoQUQN8i, 5765130]
[second-level-question, [72.0, 603.0, 713.0, 18.0], MvfoQUQN8i, 5765130]
[second-level-question, [72.0, 621.0, 713.0, 18.0], MvfoQUQN8i, 5765130]
[second-level-question, [72.0, 639.0, 713.0, 18.0], MvfoQUQN8i, 5765130]
[second-level-question, [72.0, 657.0, 713.0, 18.0], MvfoQUQN8i, 5765130]
[second-level-question, [72.0, 675.0, 713.0, 18.0], MvfoQUQN8i, 5765130]
[second-level-question, [72.0, 693.0, 713.0, 18.0], MvfoQUQN8i, 5765130]
[second-level-question, [72.0, 711.0, 713.0, 18.0], MvfoQUQN8i, 5765130]
[second-level-question, [72.0, 729.0, 713.0, 18.0], MvfoQUQN8i, 5765130]
[second-level-question, [72.0, 747.0, 713.0, 18.0], MvfoQUQN8i, 5765130]
[second-level-question, [72.0, 765.0, 713.0, 18.0], MvfoQUQN8i, 5765130]
[second-level-question, [72.0, 783.0, 713.0, 18.0], MvfoQUQN8i, 5765130]
[second-level-question, [72.0, 801.0, 713.0, 18.0], MvfoQUQN8i, 5765130]
[second-level-question, [72.0, 819.0, 713.0, 18.0], MvfoQUQN8i, 5765130]
[second-level-question, [72.0, 837.0, 713.0, 18.0], MvfoQUQN8i, 5765130]
[second-level-question, [72.0, 855.0, 713.0, 18.0], MvfoQUQN8i, 5765130]
[second-level-question, [72.0, 873.0, 713.0, 18.0], MvfoQUQN8i, 5765130]
[second-level-question, [72.0, 891.0, 713.0, 18.0], MvfoQUQN8i, 5765130]
[second-level-question, [72.0, 909.0, 713.0, 18.0], MvfoQUQN8i, 5765130]
[second-level-question, [72.0, 927.0, 713.0, 18.0], MvfoQUQN8i, 5765130]
[second-level-question, [72.0, 945.0, 713.0, 18.0], MvfoQUQN8i, 5765130]
[second-level-question, [72.0, 963.0, 713.0, 18.0], MvfoQUQN8i, 5765130]
[second-level-question, [72.0, 981.0, 713.0, 18.0], MvfoQUQN8i, 5765130]
[second-level-question, [72.0, 999.0, 713.0, 18.0], MvfoQUQN8i, 5765130]
[second-level-question, [72.0, 1017.0, 713.0, 18.0], MvfoQUQN8i, 5765130]
[second-level-question, [72.0, 1035.0, 713.0, 18.0], MvfoQUQN8i, 5765130]
[second-level-question, [72.0, 1053.0, 713.0, 18.0], MvfoQUQN8i, 5765130]
[second-level-question, [72.0, 1071.0, 713.0, 18.0], MvfoQUQN8i, 5765130]
[second-level-question, [72.0, 1089.0, 713.0, 18.0], MvfoQUQN8i, 5765130]
[folio, [1231.0, 1074.0, 241.0, 18.0], tZlQOMcNa1, 5765130]
